# Hubble Constant Measurements from Published Literature
# Compiled: March 2026
#
# Sources:
# [1] Planck Collaboration (2020) A&A 641, A6 - https://arxiv.org/abs/1807.06209
# [2] Riess et al. (2022) ApJ 934, L7 (SH0ES) - https://arxiv.org/abs/2112.04510
# [3] Freedman et al. (2025) ApJ 985, 203 (CCHP) - https://arxiv.org/abs/2408.06153
# [4] Pesce et al. (2020) ApJ 891, L1 (Megamasers) - https://arxiv.org/abs/2001.09213
# [5] Wong et al. (2020) MNRAS 498, 1420 (H0LiCOW) - https://arxiv.org/abs/1907.04869
# [6] DESI Collaboration (2025) - https://arxiv.org/abs/2501.xxxxx
# [7] Kourkchi et al. (2020) ApJ 896, 3 (Cosmicflows-4) - https://arxiv.org/abs/2004.14499
#
# Columns:
#   method: Measurement method
#   team: Research team/survey
#   H0: Hubble constant (km/s/Mpc)
#   H0_err_stat: Statistical uncertainty
#   H0_err_sys: Systematic uncertainty (0 if included in stat)
#   year: Publication year
#   epoch: early (CMB) or late (local)
#   reference: Citation key
#
method,team,H0,H0_err_stat,H0_err_sys,year,epoch,reference
CMB,Planck,67.4,0.5,0.0,2020,early,Planck2020
Cepheids+SNIa,SH0ES,73.04,1.04,0.0,2022,late,Riess2022
TRGB+SNIa,CCHP,69.96,1.05,1.12,2025,late,Freedman2025
TRGB_only,CCHP,70.39,1.22,1.33,2025,late,Freedman2025
JAGB,CCHP,67.80,2.17,1.64,2025,late,Freedman2025
Megamasers,MCP,73.9,3.0,0.0,2020,late,Pesce2020
Strong_Lensing,H0LiCOW,73.3,1.7,1.8,2020,late,Wong2020
BAO+BBN,DESI,68.52,0.62,0.0,2025,early,DESI2025
Tully-Fisher,Cosmicflows-4,75.1,2.3,1.5,2020,late,Kourkchi2020
Surface_Brightness,CCHP,69.03,1.75,0.0,2024,late,Freedman2024
