Step,Time_ps,Z_COM_nm,Z_Target_nm,Force_kJ_mol_nm
27500,55.0,-0.6454,-0.0852,560.19
52500,105.0,-1.2048,-0.1852,1019.63
77500,155.0,-1.3116,-0.2852,1026.37
102500,205.0,-1.1959,-0.3852,810.65
127500,255.0,-1.3931,-0.4852,907.89
152500,305.0,-1.5068,-0.5852,921.58
177500,355.0,-1.9040,-0.6852,1218.75
202500,405.0,-2.0358,-0.7852,1250.62
227500,455.0,-2.0303,-0.8852,1145.07
252500,505.0,-2.1548,-0.9852,1169.54
277500,555.0,-1.8694,-1.0852,784.19
302500,605.0,-2.2324,-1.1852,1047.21
327500,655.0,-2.2319,-1.2852,946.64
352500,705.0,-2.3719,-1.3852,986.71
377500,755.0,-2.6301,-1.4852,1144.84
402500,805.0,-2.8228,-1.5852,1237.54
427500,855.0,-2.1511,-1.6852,465.85
452500,905.0,-2.1392,-1.7852,353.99
477500,955.0,-2.2236,-1.8852,338.35
502500,1005.0,-2.4095,-1.9852,424.32
527500,1055.0,-2.8874,-2.0852,802.15
552500,1105.0,-2.9587,-2.1852,773.50
577500,1155.0,-3.0422,-2.2852,756.98
602500,1205.0,-3.2405,-2.3852,855.28
627500,1255.0,-3.5327,-2.4852,1047.46
652500,1305.0,-3.2242,-2.5852,638.98
677500,1355.0,-3.3810,-2.6852,695.78
702500,1405.0,-3.4092,-2.7852,624.03
727500,1455.0,-3.3039,-2.8852,418.64
752500,1505.0,-3.3074,-2.9852,322.20
