Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
1,CHEMBL1200825,METHADONE HYDROCHLORIDE,345.9,0.928,0.9656,0.9416,0.8256,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1.Cl
2,CHEMBL651,METHADONE,309.4,0.9256,0.9745,0.9042,0.8706,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
3,CHEMBL449,BUTABARBITAL,212.2,0.9215,0.9617,0.9604,0.7634,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
4,CHEMBL104,CLOTRIMAZOLE,344.9,0.9205,0.9766,0.9056,0.838,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
5,CHEMBL1200817,LEVOMETHADYL ACETATE HYDROCHLORIDE,390.0,0.9107,0.9883,0.8322,0.9123,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1.Cl
6,CHEMBL454,BUTALBITAL,224.3,0.905,0.9216,0.9985,0.685,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
7,CHEMBL1200790,METHYPRYLON,183.2,0.9048,0.9724,0.8953,0.7888,CCC1(CC)C(=O)NCC(C)C1=O
8,CHEMBL3989949,CENOBAMATE,267.7,0.8955,0.9011,0.9884,0.6987,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl
9,CHEMBL580,LORAZEPAM,321.2,0.8951,0.9109,0.9679,0.7178,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
10,CHEMBL566534,ARTEMETHER,298.4,0.8914,0.8963,0.9997,0.6652,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3
11,CHEMBL16,PHENYTOIN,252.3,0.8914,0.9003,0.985,0.6862,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
12,CHEMBL1200903,SECOBARBITAL SODIUM,260.3,0.8892,0.9086,0.9857,0.6573,C=CCC1(C(C)CCC)C(=O)[N-]C(=O)NC1=O.[Na+]
13,CHEMBL1200472,QUAZEPAM,386.8,0.8891,0.9245,0.9471,0.7021,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21
14,CHEMBL1611,PHENYTOIN SODIUM,274.2,0.8854,0.8942,0.9805,0.6773,O=C1N=C([O-])NC1(c1ccccc1)c1ccccc1.[Na+]
15,CHEMBL447,SECOBARBITAL,238.3,0.8834,0.8869,0.9945,0.654,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
16,CHEMBL452,CLONAZEPAM,315.7,0.8805,0.8863,0.9661,0.698,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
17,CHEMBL2106556,CYCLOBARBITAL CALCIUM,510.6,0.8804,0.8888,0.9915,0.6414,CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.[Ca+2]
