Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
1,CHEMBL449,BUTABARBITAL,212.2,0.9297,0.9617,0.9908,0.7434,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
2,CHEMBL1200790,METHYPRYLON,183.2,0.9215,0.9724,0.9468,0.7688,CCC1(CC)C(=O)NCC(C)C1=O
3,CHEMBL454,BUTALBITAL,224.3,0.8994,0.9216,0.9945,0.665,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
4,CHEMBL671,THIOTEPA,189.2,0.8993,0.9802,0.869,0.7979,S=P(N1CC1)(N1CC1)N1CC1
5,CHEMBL1200825,METHADONE HYDROCHLORIDE,345.9,0.8956,0.9656,0.8706,0.8056,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1.Cl
6,CHEMBL807,MEMANTINE,179.3,0.8912,0.9697,0.8648,0.7871,CC12CC3CC(C)(C1)CC(N)(C3)C2
7,CHEMBL1200903,SECOBARBITAL SODIUM,260.3,0.8908,0.9086,0.9999,0.6373,C=CCC1(C(C)CCC)C(=O)[N-]C(=O)NC1=O.[Na+]
8,CHEMBL651,METHADONE,309.4,0.8872,0.9745,0.8183,0.8506,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
9,CHEMBL1200802,TALBUTAL,224.3,0.8825,0.8934,0.9983,0.6289,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O
10,CHEMBL104,CLOTRIMAZOLE,344.9,0.8823,0.9766,0.8202,0.818,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
11,CHEMBL566534,ARTEMETHER,298.4,0.8805,0.8963,0.9824,0.6452,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3
12,CHEMBL2106556,CYCLOBARBITAL CALCIUM,510.6,0.8797,0.8888,0.9997,0.6214,CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.[Ca+2]
13,CHEMBL1699,MEMANTINE HYDROCHLORIDE,215.8,0.8792,0.9676,0.8466,0.7676,CC12CC3CC(C)(C1)CC(N)(C3)C2.Cl
14,CHEMBL40,PHENOBARBITAL,232.2,0.8781,0.8869,0.9993,0.6179,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
15,CHEMBL3989949,CENOBAMATE,267.7,0.8758,0.9011,0.9491,0.6787,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl
16,CHEMBL403,SULBACTAM,233.2,0.8748,0.9505,0.8913,0.6904,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
17,CHEMBL2105233,PROXIBARBAL,226.2,0.8741,0.8813,0.9989,0.6101,C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O
18,CHEMBL870,ALENDRONIC ACID,249.1,0.8734,0.879,0.9997,0.6097,NCCCC(O)(P(=O)(O)O)P(=O)(O)O
19,CHEMBL2105613,DIVALPROEX SODIUM,310.4,0.8708,0.8725,0.991,0.6271,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+]
20,CHEMBL16,PHENYTOIN,252.3,0.8702,0.9003,0.9422,0.6662,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
21,CHEMBL149972,PHENOBARBITAL SODIUM,254.2,0.8686,0.9031,0.9593,0.6182,CCC1(c2ccccc2)C(=O)N=C([O-])NC1=O.[Na+]
22,CHEMBL580,LORAZEPAM,321.2,0.8685,0.9109,0.9114,0.6978,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
23,CHEMBL447,SECOBARBITAL,238.3,0.867,0.8869,0.9636,0.634,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
24,CHEMBL738,THIOPENTAL SODIUM,264.3,0.8657,0.8699,0.9982,0.5926,CCCC(C)C1(CC)C(=O)[N-]C(=S)NC1=O.[Na+]
25,CHEMBL7863,APROBARBITAL,210.2,0.8653,0.8677,0.9987,0.5934,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
26,CHEMBL1200817,LEVOMETHADYL ACETATE HYDROCHLORIDE,390.0,0.8647,0.9883,0.7272,0.8923,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1.Cl
27,CHEMBL675,ALENDRONATE SODIUM,271.1,0.8634,0.881,0.9759,0.6033,NCCCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+]
28,CHEMBL979,MEPROBAMATE,218.2,0.8632,0.8531,0.9832,0.6435,CCCC(C)(COC(N)=O)COC(N)=O
29,CHEMBL7728,HEXOBARBITAL,236.3,0.8631,0.8596,0.9992,0.5976,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
30,CHEMBL1611,PHENYTOIN SODIUM,274.2,0.8626,0.8942,0.9336,0.6573,O=C1N=C([O-])NC1(c1ccccc1)c1ccccc1.[Na+]
31,CHEMBL1200982,BUTABARBITAL SODIUM,234.2,0.8621,0.8985,0.9502,0.6132,CCC(C)C1(CC)C(=O)[N-]C(=O)NC1=O.[Na+]
32,CHEMBL2105941,AMOBARBITAL SODIUM,248.3,0.8585,0.8612,0.9916,0.5868,CCC1(CCC(C)C)C(=O)N=C([O-])NC1=O.[Na+]
33,CHEMBL1068,OXCARBAZEPINE,252.3,0.858,0.8703,0.9614,0.6268,NC(=O)N1c2ccccc2CC(=O)c2ccccc21
34,CHEMBL1200472,QUAZEPAM,386.8,0.8578,0.9245,0.8788,0.6821,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21
35,CHEMBL1199080,BRETYLIUM,243.2,0.8548,0.8462,0.9934,0.5948,CC[N+](C)(C)Cc1ccccc1Br
36,CHEMBL1576,ETHINAMATE,167.2,0.8547,0.8773,0.9658,0.5875,C#CC1(OC(N)=O)CCCCC1
37,CHEMBL924,ZOLEDRONIC ACID ANHYDROUS,272.1,0.8547,0.8776,0.962,0.5943,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
38,CHEMBL1029,MIGLUSTAT,219.3,0.8544,0.8522,0.9865,0.5948,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
39,CHEMBL452,CLONAZEPAM,315.7,0.8535,0.8863,0.9085,0.678,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
40,CHEMBL1200796,CYCLOPHOSPHAMIDE,279.1,0.8528,0.8516,0.9899,0.5809,O.O=P1(N(CCCl)CCCl)NCCCO1
41,CHEMBL592,LEVORPHANOL,257.4,0.8525,0.8736,0.9453,0.6247,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13
42,CHEMBL88,CYCLOPHOSPHAMIDE ANHYDROUS,261.1,0.8525,0.8512,0.9899,0.5803,O=P1(N(CCCl)CCCl)NCCCO1
43,CHEMBL963,OXYMORPHONE,301.3,0.8523,0.864,0.9596,0.6144,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
44,CHEMBL2364609,ESKETAMINE HYDROCHLORIDE,274.2,0.8522,0.8431,0.997,0.5808,CN[C@]1(c2ccccc2Cl)CCCCC1=O.Cl
45,CHEMBL450,METHARBITAL,198.2,0.8509,0.9024,0.9219,0.6061,CCC1(CC)C(=O)NC(=O)N(C)C1=O
46,CHEMBL700,SULFAPYRIDINE,249.3,0.8502,0.8454,0.9814,0.5974,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1
47,CHEMBL1542,AZATHIOPRINE,277.3,0.8499,0.838,1.0,0.5738,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12
48,CHEMBL395091,ESKETAMINE,237.7,0.8495,0.8492,0.9768,0.5953,CN[C@]1(c2ccccc2Cl)CCCCC1=O
49,CHEMBL1220,TINIDAZOLE,247.3,0.8489,0.8922,0.9321,0.5957,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C
50,CHEMBL468837,HEPTABARBITAL,250.3,0.8487,0.8472,0.9752,0.5988,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O
51,CHEMBL267936,MECAMYLAMINE,167.3,0.8474,0.9474,0.8337,0.675,CNC1(C)C2CCC(C2)C1(C)C
52,CHEMBL3989401,PAMIDRONATE DISODIUM,369.1,0.8441,0.8584,0.9657,0.5722,NCCC(O)(P(=O)([O-])O)P(=O)([O-])O.O.O.O.O.O.[Na+].[Na+]
53,CHEMBL3989768,LEVORPHANOL TARTRATE,443.5,0.8439,0.8567,0.9486,0.6091,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13.O.O.O=C(O)C(O)C(O)C(=O)O
54,CHEMBL1095292,BRETYLIUM TOSYLATE,414.4,0.8437,0.8263,0.9934,0.579,CC[N+](C)(C)Cc1ccccc1Br.Cc1ccc(S(=O)(=O)[O-])cc1
55,CHEMBL268164,CYCLOBARBITAL,236.3,0.843,0.8262,0.9942,0.5744,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
56,CHEMBL2096631,CLORAZEPATE DIPOTASSIUM,408.9,0.8387,0.8812,0.8902,0.6506,O=C([O-])C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O.[K+].[K+].[OH-]
57,CHEMBL4303669,ZOLEDRONIC ACID,290.1,0.8386,0.854,0.9595,0.5664,O.O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
58,CHEMBL777,CLAVULANIC ACID,199.2,0.8383,0.8196,0.9969,0.5582,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21
59,CHEMBL970,HALAZEPAM,352.7,0.8381,0.9054,0.8623,0.6555,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F
60,CHEMBL856,PRIMIDONE,218.3,0.8363,0.8258,0.9709,0.5881,CCC1(c2ccccc2)C(=O)NCNC1=O
61,CHEMBL971,PENTOBARBITAL SODIUM,248.3,0.8356,0.8277,0.9636,0.5956,CCCC(C)C1(CC)C(=O)N=C([O-])NC1=O.[Na+]
62,CHEMBL568,OXAZEPAM,286.7,0.8355,0.8506,0.9117,0.6529,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
63,CHEMBL433,VALPROATE SODIUM,166.2,0.8352,0.8431,0.9579,0.5738,CCCC(CCC)C(=O)[O-].[Na+]
64,CHEMBL1003,CLAVULANATE POTASSIUM,237.2,0.8351,0.8757,0.9181,0.5878,O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21.[K+]
65,CHEMBL1286,LEVETIRACETAM,170.2,0.8344,0.8901,0.9012,0.5895,CC[C@@H](C(N)=O)N1CCCC1=O
66,CHEMBL1237082,MECAMYLAMINE HYDROCHLORIDE,203.8,0.8333,0.9396,0.8138,0.6596,CNC1(C)C2CCC(C2)C1(C)C.Cl
67,CHEMBL3990694,PIPERAZINE CITRATE ANHYDROUS,642.7,0.833,0.8331,0.9723,0.5542,C1CNCCN1.C1CNCCN1.C1CNCCN1.O=C(O)CC(O)(CC(=O)O)C(=O)O.O=C(O)CC(O)(CC(=O)O)C(=O)O
68,CHEMBL25,ASPIRIN,180.2,0.8328,0.8027,0.9984,0.5617,CC(=O)Oc1ccccc1C(=O)O
69,CHEMBL267894,AMOBARBITAL,226.3,0.8318,0.8191,0.9718,0.5772,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
70,CHEMBL3989678,PIPERAZINE CITRATE,660.7,0.8308,0.8311,0.9697,0.5522,C1CNCCN1.C1CNCCN1.C1CNCCN1.O.O=C(O)CC(O)(CC(=O)O)C(=O)O.O=C(O)CC(O)(CC(=O)O)C(=O)O
71,CHEMBL146095,GLAFENINE,372.8,0.8272,0.9235,0.8102,0.6687,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
72,CHEMBL1514,LEVOMETHADYL ACETATE,353.5,0.8254,0.9915,0.6079,0.9282,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1
73,CHEMBL1200944,SULBACTAM SODIUM,255.2,0.8248,0.9003,0.8552,0.6128,CC1(C)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O.[Na+]
74,CHEMBL139367,PERAMIVIR ANHYDROUS,328.4,0.8242,0.8897,0.8502,0.6411,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N
75,CHEMBL3989402,PERAMIVIR,382.5,0.8235,0.889,0.8484,0.6425,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N.O.O.O
76,CHEMBL1059,PREGABALIN,159.2,0.8212,0.8367,0.9404,0.5517,CC(C)C[C@H](CN)CC(=O)O
77,CHEMBL861,MEPHENYTOIN,218.3,0.8211,0.8017,0.9617,0.5786,CCC1(c2ccccc2)NC(=O)N(C)C1=O
78,CHEMBL1561,MIGLITOL,207.2,0.8204,0.7751,1.0,0.5521,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
79,CHEMBL1024,IFOSFAMIDE,261.1,0.8201,0.7849,0.9967,0.5372,O=P1(NCCCl)OCCCN1CCCl
80,CHEMBL108,CARBAMAZEPINE,236.3,0.8198,0.8175,0.9377,0.5884,NC(=O)N1c2ccccc2C=Cc2ccccc21
81,CHEMBL2103744,MORPHINE SULFATE,758.8,0.8188,0.8644,0.8775,0.6099,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5.CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5.O.O.O.O.O.O=S(=O)(O)O
82,CHEMBL109,VALPROIC ACID,144.2,0.8186,0.8486,0.9074,0.5808,CCCC(CCC)C(=O)O
83,CHEMBL404,TAZOBACTAM,300.3,0.8182,0.8755,0.8589,0.6223,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
84,CHEMBL1200569,CAFFEINE CITRATE,386.3,0.8173,0.7899,0.9858,0.5351,Cn1c(=O)c2c(ncn2C)n(C)c1=O.O=C(O)CC(O)(CC(=O)O)C(=O)O
85,CHEMBL1200922,MEBUTAMATE,232.3,0.8169,0.8499,0.8836,0.6174,CCC(C)C(C)(COC(N)=O)COC(N)=O
86,CHEMBL398707,HYDROMORPHONE,285.3,0.8168,0.8752,0.8568,0.62,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5
87,CHEMBL1201777,TAPENTADOL HYDROCHLORIDE,257.8,0.816,0.8221,0.9224,0.5912,CC[C@@H](c1cccc(O)c1)[C@@H](C)CN(C)C.Cl
88,CHEMBL1701,MEPERIDINE HYDROCHLORIDE,283.8,0.8159,0.8486,0.8774,0.6275,CCOC(=O)C1(c2ccccc2)CCN(C)CC1.Cl
89,CHEMBL1200770,IOCETAMIC ACID,614.0,0.8159,0.8638,0.869,0.6137,CC(=O)N(CC(C)C(=O)O)c1c(I)cc(I)c(N)c1I
90,CHEMBL1200972,CHLOPHEDIANOL HYDROCHLORIDE,326.3,0.8151,0.9125,0.7971,0.6561,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl.Cl
91,CHEMBL940,GABAPENTIN,171.2,0.815,0.7725,0.9978,0.5343,NCC1(CC(=O)O)CCCCC1
92,CHEMBL1455,ALTRETAMINE,210.3,0.8145,0.7658,0.9661,0.6086,CN(C)c1nc(N(C)C)nc(N(C)C)n1
93,CHEMBL1200330,PILOCARPINE HYDROCHLORIDE,244.7,0.8138,0.7871,0.9814,0.532,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C.Cl
94,CHEMBL1200578,THEOPHYLLINE SODIUM GLYCINATE,277.2,0.8126,0.7996,0.9557,0.5523,Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCC(=O)[O-].[Na+]
95,CHEMBL448,PENTOBARBITAL,226.3,0.8124,0.8031,0.939,0.5778,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
96,CHEMBL1266,TETRAHYDROZOLINE,200.3,0.8115,0.7752,0.977,0.5531,c1ccc2c(c1)CCCC2C1=NCCN1
97,CHEMBL959,RIMANTADINE,179.3,0.8115,0.8056,0.9537,0.5389,CC(N)C12CC3CC(CC(C3)C1)C2
98,CHEMBL70,MORPHINE,285.3,0.8115,0.8554,0.8723,0.602,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
99,CHEMBL1434513,NOREPINEPHRINE BITARTRATE,337.3,0.811,0.767,0.9863,0.5484,NC[C@H](O)c1ccc(O)c(O)c1.O.O=C(O)C(O)C(O)C(=O)O
100,CHEMBL1200434,OXTRIPHYLLINE,283.3,0.8105,0.7798,0.978,0.5369,C[N+](C)(C)CCO.Cn1c(=O)c2[n-]cnc2n(C)c1=O
