Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
1,CHEMBL1514,LEVOMETHADYL ACETATE,353.5,0.9744,0.9915,0.9704,0.9482,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1
2,CHEMBL1200817,LEVOMETHADYL ACETATE HYDROCHLORIDE,390.0,0.9489,0.9883,0.9277,0.9123,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1.Cl
3,CHEMBL4297526,REMIMAZOLAM,439.3,0.9413,0.9712,0.9972,0.7698,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21
4,CHEMBL4594301,REMIMAZOLAM BESYLATE,597.5,0.9306,0.9602,0.9982,0.7361,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21.O=S(=O)(O)c1ccccc1
5,CHEMBL2216870,IDELALISIB,415.4,0.9207,0.9429,0.999,0.7198,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1
6,CHEMBL1201119,LIOTHYRONINE SODIUM,673.0,0.9207,0.9572,0.9874,0.7141,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-].[Na+]
7,CHEMBL1237104,PROPOXYPHENE HYDROCHLORIDE,375.9,0.9198,0.9444,0.9989,0.7125,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C.Cl
8,CHEMBL651,METHADONE,309.4,0.916,0.9745,0.8803,0.8706,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
9,CHEMBL1544,LIOTHYRONINE,651.0,0.915,0.9624,0.9604,0.7294,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
10,CHEMBL104,CLOTRIMAZOLE,344.9,0.9099,0.9766,0.8791,0.838,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
11,CHEMBL3989716,PROPOXYPHENE NAPSYLATE,565.7,0.9036,0.933,0.9964,0.6591,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C.O.O=S(=O)(O)c1ccc2ccccc2c1
12,CHEMBL1213351,PROPOXYPHENE,339.5,0.898,0.9202,0.9959,0.6578,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C
13,CHEMBL1008,BEPRIDIL,366.6,0.8918,0.9174,0.9966,0.6313,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1
14,CHEMBL3544908,AZATADINE MALEATE,522.5,0.8905,0.9325,0.9492,0.6894,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
15,CHEMBL1200825,METHADONE HYDROCHLORIDE,345.9,0.8892,0.9656,0.8446,0.8256,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1.Cl
