Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
1,CHEMBL1514,LEVOMETHADYL ACETATE,353.5,0.9593,0.9915,0.9325,0.9482,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1
2,CHEMBL4297526,REMIMAZOLAM,439.3,0.9415,0.9712,0.9978,0.7698,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21
3,CHEMBL4594301,REMIMAZOLAM BESYLATE,597.5,0.93,0.9602,0.9967,0.7361,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21.O=S(=O)(O)c1ccccc1
4,CHEMBL1200817,LEVOMETHADYL ACETATE HYDROCHLORIDE,390.0,0.929,0.9883,0.878,0.9123,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1.Cl
5,CHEMBL1544,LIOTHYRONINE,651.0,0.9273,0.9624,0.9911,0.7294,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
6,CHEMBL1201119,LIOTHYRONINE SODIUM,673.0,0.9256,0.9572,0.9999,0.7141,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-].[Na+]
7,CHEMBL2216870,IDELALISIB,415.4,0.9146,0.9429,0.9838,0.7198,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1
8,CHEMBL1237104,PROPOXYPHENE HYDROCHLORIDE,375.9,0.9135,0.9444,0.9832,0.7125,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C.Cl
9,CHEMBL3989716,PROPOXYPHENE NAPSYLATE,565.7,0.9044,0.933,0.9984,0.6591,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C.O.O=S(=O)(O)c1ccc2ccccc2c1
10,CHEMBL1213351,PROPOXYPHENE,339.5,0.8991,0.9202,0.9987,0.6578,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C
11,CHEMBL651,METHADONE,309.4,0.8934,0.9745,0.8237,0.8706,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
12,CHEMBL1008,BEPRIDIL,366.6,0.8925,0.9174,0.9982,0.6313,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1
13,CHEMBL104,CLOTRIMAZOLE,344.9,0.8872,0.9766,0.8224,0.838,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
14,CHEMBL1200382,BEPRIDIL HYDROCHLORIDE,421.0,0.8856,0.9076,0.9984,0.6159,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1.Cl.O
15,CHEMBL2181927,FINERENONE,378.4,0.8809,0.9018,0.9891,0.6224,CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2
16,CHEMBL1414320,SUXIBUZONE,438.5,0.8786,0.9015,0.9945,0.6008,CCCCC1(COC(=O)CCC(=O)O)C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
17,CHEMBL1201118,CEFMETAZOLE SODIUM,493.5,0.8769,0.8921,0.9919,0.6164,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21.[Na+]
18,CHEMBL1738990,LEVOPROPOXYPHENE,339.5,0.875,0.8918,0.9932,0.6048,CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C
19,CHEMBL3989519,DOXAPRAM HYDROCHLORIDE,433.0,0.8738,0.8907,0.9874,0.613,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O.Cl.O
20,CHEMBL3544908,AZATADINE MALEATE,522.5,0.8726,0.9325,0.9043,0.6894,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
21,CHEMBL2364608,DORAVIRINE,425.8,0.8709,0.8772,0.9996,0.601,Cn1c(Cn2ccc(C(F)(F)F)c(Oc3cc(Cl)cc(C#N)c3)c2=O)n[nH]c1=O
22,CHEMBL1726,NISOLDIPINE,388.4,0.8658,0.875,0.9985,0.582,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
23,CHEMBL1200825,METHADONE HYDROCHLORIDE,345.9,0.8654,0.9656,0.785,0.8256,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1.Cl
24,CHEMBL245807,OXYPHENISATINE,317.3,0.8651,0.8935,0.95,0.6386,O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1
25,CHEMBL193,NIFEDIPINE,346.3,0.8645,0.9121,0.9053,0.6876,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
26,CHEMBL1201764,FESOTERODINE,411.6,0.8644,0.8723,0.9955,0.5864,CC(C)C(=O)Oc1ccc(CO)cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1
27,CHEMBL426559,LAROPIPRANT,435.9,0.862,0.8823,0.97,0.6056,CS(=O)(=O)c1cc(F)cc2c3c(n(Cc4ccc(Cl)cc4)c12)[C@@H](CC(=O)O)CC3
28,CHEMBL1648,ISRADIPINE,371.4,0.8597,0.8592,0.9978,0.5843,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12
29,CHEMBL515914,AZARIBINE,371.3,0.8586,0.8878,0.948,0.6213,CC(=O)OC[C@H]1O[C@@H](n2ncc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O
30,CHEMBL1201345,TETRADECYL SULFURIC ACID,294.5,0.8576,0.8702,0.9767,0.5945,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)O
31,CHEMBL1754,DOXAPRAM,378.5,0.8546,0.855,0.9983,0.5665,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O
32,CHEMBL1201232,ISOPROPAMIDE,353.5,0.8546,0.8913,0.934,0.6226,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C
33,CHEMBL2325741,CAPIVASERTIB,428.9,0.8537,0.8598,0.9952,0.5583,NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2nc[nH]c3nccc2-3)CC1
34,CHEMBL7413,METHOHEXITAL,262.3,0.8537,0.9096,0.8906,0.6679,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
35,CHEMBL3304486,DIFEMERINE,327.4,0.8514,0.8643,0.9707,0.5869,CN(C)CC(C)(C)OC(=O)C(O)(c1ccccc1)c1ccccc1
36,CHEMBL227529,ALOGLIPTIN BENZOATE,461.5,0.8513,0.887,0.9098,0.6629,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O.O=C(O)c1ccccc1
37,CHEMBL1201765,FESOTERODINE FUMARATE,527.7,0.8511,0.8503,0.9937,0.5678,CC(C)C(=O)Oc1ccc(CO)cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1.O=C(O)/C=C/C(=O)O
38,CHEMBL1480,FELODIPINE,384.3,0.8506,0.8776,0.9309,0.6357,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
39,CHEMBL1201020,DISOPYRAMIDE PHOSPHATE,437.5,0.8503,0.8634,0.9692,0.5863,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C.O=P(O)(O)O
40,CHEMBL63857,PHENOLPHTHALEIN,318.3,0.8498,0.8963,0.8952,0.6659,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
41,CHEMBL3989960,SELADELPAR LYSINE,626.7,0.8485,0.8742,0.9611,0.5719,CCO[C@H](COc1ccc(C(F)(F)F)cc1)CSc1ccc(OCC(=O)O)c(C)c1.NCCCC[C@H](N)C(=O)O.O.O
42,CHEMBL3989677,HYDROCODONE BITARTRATE,485.5,0.8483,0.8658,0.9579,0.5944,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314.O.O.O=C(O)C(O)C(O)C(=O)O
43,CHEMBL3183075,NIZATIDINE,331.5,0.8479,0.8925,0.9125,0.6292,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1
44,CHEMBL2364574,DOXYCYCLINE CALCIUM,926.9,0.8476,0.8417,0.9971,0.5605,C[C@H]1c2cccc([O-])c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.C[C@H]1c2cccc([O-])c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.[Ca+2]
45,CHEMBL1072,BUMETANIDE,364.4,0.8471,0.8386,0.997,0.5642,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
46,CHEMBL372795,STREPTOMYCIN,581.6,0.8465,0.8943,0.9346,0.5749,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O
47,CHEMBL3301670,DIFEMERINE HYDROCHLORIDE,363.9,0.8462,0.8813,0.9272,0.614,CN(C)CC(C)(C)OC(=O)C(O)(c1ccccc1)c1ccccc1.Cl
48,CHEMBL1206,ETHOPROPAZINE,312.5,0.8453,0.8592,0.9568,0.5945,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21
49,CHEMBL440,THIAMYLAL,254.3,0.8453,0.8962,0.8957,0.6426,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O
50,CHEMBL517,DISOPYRAMIDE,339.5,0.8451,0.8522,0.9723,0.5766,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
51,CHEMBL1200699,DOXYCYCLINE,462.5,0.8448,0.8388,0.994,0.5584,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O
52,CHEMBL1201313,CHLOPHEDIANOL,289.8,0.8448,0.9146,0.8593,0.6761,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl
53,CHEMBL1200769,TRIPELENNAMINE CITRATE,447.5,0.8448,0.8633,0.9246,0.648,CN(C)CCN(Cc1ccccc1)c1ccccn1.O=C(O)CC(O)(CC(=O)O)C(=O)O
54,CHEMBL1433,DOXYCYCLINE ANHYDROUS,444.4,0.8448,0.8386,0.9942,0.5581,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21
55,CHEMBL1697708,MEZLOCILLIN SODIUM,561.6,0.8443,0.8725,0.9453,0.5858,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(S(C)(=O)=O)C3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+]
56,CHEMBL32479,BROTIZOLAM,393.7,0.8442,0.8535,0.9475,0.6187,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2
57,CHEMBL1208422,ROSE BENGAL FREE ACID,973.7,0.844,0.8253,0.9841,0.6013,O=C(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12
58,CHEMBL1214124,PERAMPANEL,349.4,0.844,0.8225,1.0,0.5749,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O
