Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
1,CHEMBL1514,LEVOMETHADYL ACETATE,353.5,0.9818,0.9915,0.9988,0.9282,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1
2,CHEMBL1200817,LEVOMETHADYL ACETATE HYDROCHLORIDE,390.0,0.9715,0.9883,0.9943,0.8923,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1.Cl
3,CHEMBL651,METHADONE,309.4,0.949,0.9745,0.9726,0.8506,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
4,CHEMBL104,CLOTRIMAZOLE,344.9,0.943,0.9766,0.972,0.818,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
5,CHEMBL1200825,METHADONE HYDROCHLORIDE,345.9,0.9275,0.9656,0.9504,0.8056,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1.Cl
6,CHEMBL4297526,REMIMAZOLAM,439.3,0.9077,0.9712,0.9232,0.7498,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21
7,CHEMBL3544908,AZATADINE MALEATE,522.5,0.9066,0.9325,0.9993,0.6694,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
8,CHEMBL2216870,IDELALISIB,415.4,0.9028,0.9429,0.9643,0.6998,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1
9,CHEMBL1237104,PROPOXYPHENE HYDROCHLORIDE,375.9,0.9024,0.9444,0.9653,0.6925,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C.Cl
10,CHEMBL4594301,REMIMAZOLAM BESYLATE,597.5,0.8989,0.9602,0.9291,0.7161,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21.O=S(=O)(O)c1ccccc1
11,CHEMBL193,NIFEDIPINE,346.3,0.8981,0.9121,0.9994,0.6676,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
12,CHEMBL146095,GLAFENINE,372.8,0.8933,0.9235,0.9753,0.6687,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
13,CHEMBL1201313,CHLOPHEDIANOL,289.8,0.8924,0.9146,0.9883,0.6561,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl
14,CHEMBL7413,METHOHEXITAL,262.3,0.8923,0.9096,0.9973,0.6479,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
15,CHEMBL1200972,CHLOPHEDIANOL HYDROCHLORIDE,326.3,0.888,0.9125,0.9794,0.6561,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl.Cl
16,CHEMBL223228,EFAVIRENZ,315.7,0.8871,0.8945,0.9862,0.6742,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1
17,CHEMBL63857,PHENOLPHTHALEIN,318.3,0.887,0.8963,0.9981,0.6459,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
18,CHEMBL1712842,MEPAZINE ACETATE,370.5,0.8863,0.8987,0.992,0.6501,CC(=O)O.CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
19,CHEMBL395110,MEPAZINE,310.5,0.8853,0.8974,0.992,0.6476,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
20,CHEMBL1200472,QUAZEPAM,386.8,0.8846,0.9245,0.946,0.6821,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21
