Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
1,CHEMBL1200790,METHYPRYLON,183.2,0.935,0.9724,0.9956,0.7388,CCC1(CC)C(=O)NCC(C)C1=O
2,CHEMBL671,THIOTEPA,189.2,0.9271,0.9802,0.9535,0.7679,S=P(N1CC1)(N1CC1)N1CC1
3,CHEMBL449,BUTABARBITAL,212.2,0.9247,0.9617,0.9932,0.7134,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
4,CHEMBL807,MEMANTINE,179.3,0.9195,0.9697,0.9506,0.7571,CC12CC3CC(C)(C1)CC(N)(C3)C2
5,CHEMBL1699,MEMANTINE HYDROCHLORIDE,215.8,0.9095,0.9676,0.9374,0.7376,CC12CC3CC(C)(C1)CC(N)(C3)C2.Cl
6,CHEMBL403,SULBACTAM,233.2,0.8996,0.9505,0.9682,0.6604,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
7,CHEMBL267936,MECAMYLAMINE,167.3,0.879,0.9474,0.9276,0.645,CNC1(C)C2CCC(C2)C1(C)C
8,CHEMBL149972,PHENOBARBITAL SODIUM,254.2,0.8784,0.9031,0.9989,0.5882,CCC1(c2ccccc2)C(=O)N=C([O-])NC1=O.[Na+]
9,CHEMBL1200982,BUTABARBITAL SODIUM,234.2,0.8747,0.8985,0.9967,0.5832,CCC(C)C1(CC)C(=O)[N-]C(=O)NC1=O.[Na+]
10,CHEMBL1200903,SECOBARBITAL SODIUM,260.3,0.8729,0.9086,0.9701,0.6073,C=CCC1(C(C)CCC)C(=O)[N-]C(=O)NC1=O.[Na+]
11,CHEMBL450,METHARBITAL,198.2,0.8703,0.9024,0.9853,0.5761,CCC1(CC)C(=O)NC(=O)N(C)C1=O
12,CHEMBL1200802,TALBUTAL,224.3,0.8692,0.8934,0.9801,0.5989,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O
13,CHEMBL454,BUTALBITAL,224.3,0.8683,0.9216,0.9317,0.635,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
14,CHEMBL675,ALENDRONATE SODIUM,271.1,0.8669,0.881,0.9997,0.5733,NCCCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+]
15,CHEMBL1237082,MECAMYLAMINE HYDROCHLORIDE,203.8,0.8665,0.9396,0.9119,0.6296,CNC1(C)C2CCC(C2)C1(C)C.Cl
16,CHEMBL1220,TINIDAZOLE,247.3,0.8661,0.8922,0.9901,0.5657,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C
17,CHEMBL2105613,DIVALPROEX SODIUM,310.4,0.8657,0.8725,0.9931,0.5971,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+]
18,CHEMBL924,ZOLEDRONIC ACID ANHYDROUS,272.1,0.8636,0.8776,0.9993,0.5643,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
19,CHEMBL40,PHENOBARBITAL,232.2,0.8625,0.8869,0.9754,0.5879,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
20,CHEMBL1576,ETHINAMATE,167.2,0.8623,0.8773,0.9998,0.5575,C#CC1(OC(N)=O)CCCCC1
21,CHEMBL2105233,PROXIBARBAL,226.2,0.8597,0.8813,0.9779,0.5801,C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O
22,CHEMBL1286,LEVETIRACETAM,170.2,0.8576,0.8901,0.9741,0.5595,CC[C@@H](C(N)=O)N1CCCC1=O
23,CHEMBL2106556,CYCLOBARBITAL CALCIUM,510.6,0.8573,0.8888,0.9587,0.5914,CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.[Ca+2]
24,CHEMBL870,ALENDRONIC ACID,249.1,0.8565,0.879,0.9725,0.5797,NCCCC(O)(P(=O)(O)O)P(=O)(O)O
25,CHEMBL1003,CLAVULANATE POTASSIUM,237.2,0.8552,0.8757,0.9834,0.5578,O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21.[K+]
26,CHEMBL1200944,SULBACTAM SODIUM,255.2,0.8542,0.9003,0.9437,0.5828,CC1(C)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O.[Na+]
27,CHEMBL2105941,AMOBARBITAL SODIUM,248.3,0.8528,0.8612,0.9925,0.5568,CCC1(CCC(C)C)C(=O)N=C([O-])NC1=O.[Na+]
28,CHEMBL738,THIOPENTAL SODIUM,264.3,0.8527,0.8699,0.9806,0.5626,CCCC(C)C1(CC)C(=O)[N-]C(=S)NC1=O.[Na+]
29,CHEMBL3989401,PAMIDRONATE DISODIUM,369.1,0.8517,0.8584,0.9998,0.5422,NCCC(O)(P(=O)([O-])O)P(=O)([O-])O.O.O.O.O.O.[Na+].[Na+]
30,CHEMBL7863,APROBARBITAL,210.2,0.8512,0.8677,0.9786,0.5634,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
31,CHEMBL1200796,CYCLOPHOSPHAMIDE,279.1,0.8484,0.8516,0.994,0.5509,O.O=P1(N(CCCl)CCCl)NCCCO1
32,CHEMBL4303669,ZOLEDRONIC ACID,290.1,0.8484,0.854,0.9989,0.5364,O.O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
33,CHEMBL88,CYCLOPHOSPHAMIDE ANHYDROUS,261.1,0.8481,0.8512,0.994,0.5503,O=P1(N(CCCl)CCCl)NCCCO1
34,CHEMBL433,VALPROATE SODIUM,166.2,0.8454,0.8431,0.9986,0.5438,CCCC(CCC)C(=O)[O-].[Na+]
35,CHEMBL834,PAMIDRONIC ACID,235.1,0.8417,0.912,0.9042,0.5761,NCCC(O)(P(=O)(O)O)P(=O)(O)O
36,CHEMBL109,VALPROIC ACID,144.2,0.8407,0.8486,0.9777,0.5508,CCCC(CCC)C(=O)O
37,CHEMBL566534,ARTEMETHER,298.4,0.8403,0.8963,0.8969,0.6152,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3
38,CHEMBL7728,HEXOBARBITAL,236.3,0.8392,0.8596,0.9545,0.5676,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
39,CHEMBL3990694,PIPERAZINE CITRATE ANHYDROUS,642.7,0.8381,0.8331,1.0,0.5242,C1CNCCN1.C1CNCCN1.C1CNCCN1.O=C(O)CC(O)(CC(=O)O)C(=O)O.O=C(O)CC(O)(CC(=O)O)C(=O)O
40,CHEMBL3989678,PIPERAZINE CITRATE,660.7,0.8369,0.8311,1.0,0.5222,C1CNCCN1.C1CNCCN1.C1CNCCN1.O.O=C(O)CC(O)(CC(=O)O)C(=O)O.O=C(O)CC(O)(CC(=O)O)C(=O)O
41,CHEMBL1059,PREGABALIN,159.2,0.8364,0.8367,0.9934,0.5217,CC(C)C[C@H](CN)CC(=O)O
42,CHEMBL1542,AZATHIOPRINE,277.3,0.8313,0.838,0.9684,0.5438,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12
43,CHEMBL600,ACETYLCYSTEINE,163.2,0.8295,0.8534,0.9468,0.5468,CC(=O)N[C@@H](CS)C(=O)O
