Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
1,CHEMBL1740513,ISAXONINE,137.2,0.8819,0.9852,0.9951,0.4487,CC(C)Nc1ncccn1
2,CHEMBL19393,LEVAMFETAMINE,135.2,0.8787,0.9898,0.9792,0.4556,C[C@@H](N)Cc1ccccc1
3,CHEMBL3989843,TRANYLCYPROMINE,266.4,0.8768,0.9731,0.9945,0.4488,N[C@@H]1C[C@H]1c1ccccc1.N[C@H]1C[C@@H]1c1ccccc1
4,CHEMBL612,DEXTROAMPHETAMINE,135.2,0.8754,0.9823,0.9772,0.4581,C[C@H](N)Cc1ccccc1
5,CHEMBL405,AMPHETAMINE,135.2,0.8754,0.9823,0.9772,0.4581,CC(N)Cc1ccccc1
6,CHEMBL1096562,METHYL AMINOLEVULINATE,145.2,0.8739,0.9653,0.9925,0.4538,COC(=O)CCC(=O)CN
7,CHEMBL930,GLUTAMINE,146.2,0.872,0.965,0.9874,0.4555,NC(=O)CC[C@H](N)C(=O)O
8,CHEMBL5095505,AMPHETAMINE/DEXTROAMPHETAMINE,405.6,0.8705,0.9727,0.9735,0.4599,CC(N)Cc1ccccc1.C[C@H](N)Cc1ccccc1.C[C@H](N)Cc1ccccc1
9,CHEMBL21,SULFANILAMIDE,172.2,0.868,0.9499,0.9999,0.4403,Nc1ccc(S(N)(=O)=O)cc1
10,CHEMBL1184,ACETYLCHOLINE CHLORIDE,181.7,0.8604,0.9332,0.9892,0.4573,CC(=O)OCC[N+](C)(C)C.[Cl-]
11,CHEMBL2096642,INAMRINONE LACTATE,277.3,0.859,0.9793,0.9333,0.4697,CC(O)C(=O)O.Nc1cc(-c2ccncc2)c[nH]c1=O
12,CHEMBL667,ACETYLCHOLINE,146.2,0.8589,0.9293,0.9892,0.4576,CC(=O)OCC[N+](C)(C)C
13,CHEMBL1909283,MEBANAZINE,136.2,0.8561,0.9167,0.9957,0.4557,CC(NN)c1ccccc1
14,CHEMBL1201093,METHYL AMINOLEVULINATE HYDROCHLORIDE,181.6,0.8541,0.9191,0.9867,0.4588,COC(=O)CCC(=O)CN.Cl
