Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
1,CHEMBL1200817,LEVOMETHADYL ACETATE HYDROCHLORIDE,390.0,0.9772,0.9883,0.9985,0.9123,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1.Cl
2,CHEMBL1514,LEVOMETHADYL ACETATE,353.5,0.9768,0.9915,0.9765,0.9482,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1
3,CHEMBL651,METHADONE,309.4,0.9626,0.9745,0.9967,0.8706,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
4,CHEMBL104,CLOTRIMAZOLE,344.9,0.9568,0.9766,0.9965,0.838,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
5,CHEMBL1200825,METHADONE HYDROCHLORIDE,345.9,0.9458,0.9656,0.9859,0.8256,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1.Cl
6,CHEMBL3544908,AZATADINE MALEATE,522.5,0.9076,0.9325,0.9918,0.6894,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
7,CHEMBL146095,GLAFENINE,372.8,0.9062,0.9235,0.9977,0.6887,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
8,CHEMBL1200472,QUAZEPAM,386.8,0.9036,0.9245,0.9833,0.7021,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21
9,CHEMBL1201313,CHLOPHEDIANOL,289.8,0.901,0.9146,1.0,0.6761,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl
10,CHEMBL1200972,CHLOPHEDIANOL HYDROCHLORIDE,326.3,0.8998,0.9125,0.9989,0.6761,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl.Cl
11,CHEMBL193,NIFEDIPINE,346.3,0.8989,0.9121,0.9914,0.6876,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
12,CHEMBL223228,EFAVIRENZ,315.7,0.8966,0.8945,1.0,0.6942,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1
13,CHEMBL580,LORAZEPAM,321.2,0.8959,0.9109,0.97,0.7178,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
14,CHEMBL7413,METHOHEXITAL,262.3,0.8959,0.9096,0.996,0.6679,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
15,CHEMBL1201338,CYCLOPENTOLATE,291.4,0.8933,0.9007,0.9997,0.6656,CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1
16,CHEMBL1712842,MEPAZINE ACETATE,370.5,0.8933,0.8987,0.9994,0.6701,CC(=O)O.CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
17,CHEMBL970,HALAZEPAM,352.7,0.8925,0.9054,0.9883,0.6755,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F
18,CHEMBL395110,MEPAZINE,310.5,0.8922,0.8974,0.9994,0.6676,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
19,CHEMBL63857,PHENOLPHTHALEIN,318.3,0.8896,0.8963,0.9948,0.6659,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
20,CHEMBL1057,FLUORESCEIN,332.3,0.8894,0.8851,0.9983,0.68,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21
21,CHEMBL2062276,LEVALLORPHAN TARTRATE,433.5,0.8864,0.8915,0.9991,0.6506,C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13.O=C(O)C(O)C(O)C(=O)O
22,CHEMBL440,THIAMYLAL,254.3,0.8849,0.8962,0.9947,0.6426,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O
23,CHEMBL3989402,PERAMIVIR,382.5,0.8847,0.889,0.9916,0.6625,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N.O.O.O
24,CHEMBL139367,PERAMIVIR ANHYDROUS,328.4,0.8846,0.8897,0.9912,0.6611,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N
25,CHEMBL87992,ESLICARBAZEPINE ACETATE,296.3,0.884,0.8927,0.9973,0.6401,CC(=O)O[C@H]1Cc2ccccc2N(C(N)=O)c2ccccc21
26,CHEMBL1213252,CLORAZEPIC ACID,314.7,0.8839,0.8826,0.9993,0.6557,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O
27,CHEMBL227529,ALOGLIPTIN BENZOATE,461.5,0.8832,0.887,0.9895,0.6629,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O.O=C(O)c1ccccc1
28,CHEMBL1254682,LEVALLORPHAN,283.4,0.8829,0.8826,0.9991,0.651,C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13
29,CHEMBL452,CLONAZEPAM,315.7,0.8827,0.8863,0.9714,0.698,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
30,CHEMBL2216870,IDELALISIB,415.4,0.8826,0.9429,0.9038,0.7198,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1
31,CHEMBL1237104,PROPOXYPHENE HYDROCHLORIDE,375.9,0.8824,0.9444,0.9054,0.7125,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C.Cl
32,CHEMBL1628233,FLUORESCEIN SODIUM,376.3,0.8802,0.8708,0.9968,0.6658,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12.[Na+].[Na+]
33,CHEMBL1200521,ALMOTRIPTAN MALATE,469.6,0.8799,0.8819,0.9987,0.6384,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12.O=C(O)CC(O)C(=O)O
34,CHEMBL4297526,REMIMAZOLAM,439.3,0.8793,0.9712,0.8421,0.7698,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21
35,CHEMBL967,TEMAZEPAM,300.8,0.8788,0.8694,0.999,0.6573,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
36,CHEMBL3989949,CENOBAMATE,267.7,0.8784,0.9011,0.9454,0.6987,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl
37,CHEMBL2096631,CLORAZEPATE DIPOTASSIUM,408.9,0.8783,0.8812,0.9793,0.6706,O=C([O-])C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O.[K+].[K+].[OH-]
38,CHEMBL3183075,NIZATIDINE,331.5,0.8782,0.8925,0.9883,0.6292,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1
39,CHEMBL1200347,ISOPROPAMIDE IODIDE,480.4,0.8779,0.8884,0.9923,0.6281,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C.[I-]
40,CHEMBL16,PHENYTOIN,252.3,0.8777,0.9003,0.951,0.6862,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
41,CHEMBL607,MEPERIDINE,247.3,0.8777,0.8709,0.9999,0.6471,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
