Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
1,CHEMBL1514,LEVOMETHADYL ACETATE,353.5,0.984,0.9915,0.9945,0.9482,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1
2,CHEMBL1200817,LEVOMETHADYL ACETATE HYDROCHLORIDE,390.0,0.9652,0.9883,0.9684,0.9123,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1.Cl
3,CHEMBL651,METHADONE,309.4,0.9366,0.9745,0.9316,0.8706,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
4,CHEMBL4297526,REMIMAZOLAM,439.3,0.932,0.9712,0.9739,0.7698,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21
5,CHEMBL104,CLOTRIMAZOLE,344.9,0.9305,0.9766,0.9306,0.838,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
6,CHEMBL4594301,REMIMAZOLAM BESYLATE,597.5,0.9222,0.9602,0.9772,0.7361,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21.O=S(=O)(O)c1ccccc1
7,CHEMBL2216870,IDELALISIB,415.4,0.9189,0.9429,0.9944,0.7198,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1
8,CHEMBL1237104,PROPOXYPHENE HYDROCHLORIDE,375.9,0.9182,0.9444,0.9948,0.7125,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C.Cl
9,CHEMBL1200825,METHADONE HYDROCHLORIDE,345.9,0.9119,0.9656,0.9012,0.8256,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1.Cl
10,CHEMBL1201119,LIOTHYRONINE SODIUM,673.0,0.906,0.9572,0.9508,0.7141,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-].[Na+]
11,CHEMBL3544908,AZATADINE MALEATE,522.5,0.904,0.9325,0.9828,0.6894,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
12,CHEMBL193,NIFEDIPINE,346.3,0.8957,0.9121,0.9833,0.6876,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
13,CHEMBL3989716,PROPOXYPHENE NAPSYLATE,565.7,0.8936,0.933,0.9715,0.6591,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C.O.O=S(=O)(O)c1ccc2ccccc2c1
14,CHEMBL1544,LIOTHYRONINE,651.0,0.8925,0.9624,0.9042,0.7294,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
15,CHEMBL7413,METHOHEXITAL,262.3,0.8877,0.9096,0.9756,0.6679,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
16,CHEMBL1213351,PROPOXYPHENE,339.5,0.8877,0.9202,0.9701,0.6578,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C
17,CHEMBL245807,OXYPHENISATINE,317.3,0.8847,0.8935,0.9989,0.6386,O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1
