Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
1,CHEMBL651,METHADONE,309.4,0.9384,0.9745,0.9363,0.8706,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
2,CHEMBL1200825,METHADONE HYDROCHLORIDE,345.9,0.9378,0.9656,0.9659,0.8256,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1.Cl
3,CHEMBL104,CLOTRIMAZOLE,344.9,0.9332,0.9766,0.9375,0.838,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
4,CHEMBL1200817,LEVOMETHADYL ACETATE HYDROCHLORIDE,390.0,0.9278,0.9883,0.8751,0.9123,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1.Cl
5,CHEMBL449,BUTABARBITAL,212.2,0.9131,0.9617,0.9394,0.7634,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
6,CHEMBL454,BUTALBITAL,224.3,0.9023,0.9216,0.9916,0.685,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
7,CHEMBL580,LORAZEPAM,321.2,0.9019,0.9109,0.985,0.7178,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
8,CHEMBL3989949,CENOBAMATE,267.7,0.8991,0.9011,0.9973,0.6987,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl
9,CHEMBL1514,LEVOMETHADYL ACETATE,353.5,0.8988,0.9915,0.7813,0.9482,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1
10,CHEMBL1200472,QUAZEPAM,386.8,0.8983,0.9245,0.9701,0.7021,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21
11,CHEMBL16,PHENYTOIN,252.3,0.8956,0.9003,0.9956,0.6862,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
12,CHEMBL1200790,METHYPRYLON,183.2,0.8933,0.9724,0.8664,0.7888,CCC1(CC)C(=O)NCC(C)C1=O
13,CHEMBL566534,ARTEMETHER,298.4,0.891,0.8963,0.9987,0.6652,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3
14,CHEMBL1611,PHENYTOIN SODIUM,274.2,0.8904,0.8942,0.9931,0.6773,O=C1N=C([O-])NC1(c1ccccc1)c1ccccc1.[Na+]
15,CHEMBL452,CLONAZEPAM,315.7,0.8876,0.8863,0.9838,0.698,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
16,CHEMBL447,SECOBARBITAL,238.3,0.8854,0.8869,0.9996,0.654,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
17,CHEMBL1200903,SECOBARBITAL SODIUM,260.3,0.8834,0.9086,0.9712,0.6573,C=CCC1(C(C)CCC)C(=O)[N-]C(=O)NC1=O.[Na+]
18,CHEMBL970,HALAZEPAM,352.7,0.8819,0.9054,0.9615,0.6755,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F
19,CHEMBL146095,GLAFENINE,372.8,0.8797,0.9235,0.9313,0.6887,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
20,CHEMBL1068,OXCARBAZEPINE,252.3,0.8772,0.8703,0.9994,0.6468,NC(=O)N1c2ccccc2CC(=O)c2ccccc21
21,CHEMBL592,LEVORPHANOL,257.4,0.8769,0.8736,0.9964,0.6447,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13
22,CHEMBL2096631,CLORAZEPATE DIPOTASSIUM,408.9,0.8768,0.8812,0.9756,0.6706,O=C([O-])C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O.[K+].[K+].[OH-]
23,CHEMBL2106556,CYCLOBARBITAL CALCIUM,510.6,0.8756,0.8888,0.9795,0.6414,CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.[Ca+2]
24,CHEMBL979,MEPROBAMATE,218.2,0.8733,0.8531,0.9984,0.6635,CCCC(C)(COC(N)=O)COC(N)=O
25,CHEMBL963,OXYMORPHONE,301.3,0.8721,0.864,0.9992,0.6344,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
26,CHEMBL1200802,TALBUTAL,224.3,0.8716,0.8934,0.9612,0.6489,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O
27,CHEMBL139367,PERAMIVIR ANHYDROUS,328.4,0.8701,0.8897,0.955,0.6611,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N
28,CHEMBL3989402,PERAMIVIR,382.5,0.8697,0.889,0.954,0.6625,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N.O.O.O
29,CHEMBL1200972,CHLOPHEDIANOL HYDROCHLORIDE,326.3,0.8694,0.9125,0.923,0.6761,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl.Cl
30,CHEMBL40,PHENOBARBITAL,232.2,0.8689,0.8869,0.9663,0.6379,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
31,CHEMBL568,OXAZEPAM,286.7,0.8689,0.8506,0.9851,0.6729,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
