Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
1,CHEMBL1514,LEVOMETHADYL ACETATE,353.5,0.9738,0.9915,0.989,0.9082,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1
2,CHEMBL1200817,LEVOMETHADYL ACETATE HYDROCHLORIDE,390.0,0.9698,0.9883,0.9999,0.8723,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1.Cl
3,CHEMBL651,METHADONE,309.4,0.9518,0.9745,0.9896,0.8306,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
4,CHEMBL104,CLOTRIMAZOLE,344.9,0.9459,0.9766,0.9892,0.798,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
5,CHEMBL1200825,METHADONE HYDROCHLORIDE,345.9,0.9329,0.9656,0.9738,0.7856,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1.Cl
6,CHEMBL3544908,AZATADINE MALEATE,522.5,0.9021,0.9325,0.9982,0.6494,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
7,CHEMBL146095,GLAFENINE,372.8,0.8957,0.9235,0.9913,0.6487,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
8,CHEMBL193,NIFEDIPINE,346.3,0.8936,0.9121,0.998,0.6476,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
9,CHEMBL1201313,CHLOPHEDIANOL,289.8,0.8923,0.9146,0.9982,0.6361,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl
10,CHEMBL1200472,QUAZEPAM,386.8,0.8904,0.9245,0.9704,0.6621,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21
11,CHEMBL1200972,CHLOPHEDIANOL HYDROCHLORIDE,326.3,0.8897,0.9125,0.9937,0.6361,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl.Cl
