Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
1,CHEMBL1200817,LEVOMETHADYL ACETATE HYDROCHLORIDE,390.0,0.9747,0.9883,0.9924,0.9123,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1.Cl
2,CHEMBL1514,LEVOMETHADYL ACETATE,353.5,0.9697,0.9915,0.9586,0.9482,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1
3,CHEMBL651,METHADONE,309.4,0.9639,0.9745,0.9999,0.8706,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
4,CHEMBL104,CLOTRIMAZOLE,344.9,0.9582,0.9766,0.9998,0.838,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
5,CHEMBL1200825,METHADONE HYDROCHLORIDE,345.9,0.9492,0.9656,0.9946,0.8256,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1.Cl
6,CHEMBL1200472,QUAZEPAM,386.8,0.9074,0.9245,0.9929,0.7021,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21
7,CHEMBL146095,GLAFENINE,372.8,0.9071,0.9235,1.0,0.6887,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
8,CHEMBL3544908,AZATADINE MALEATE,522.5,0.903,0.9325,0.9804,0.6894,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
9,CHEMBL580,LORAZEPAM,321.2,0.9012,0.9109,0.9832,0.7178,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
10,CHEMBL1200972,CHLOPHEDIANOL HYDROCHLORIDE,326.3,0.9001,0.9125,0.9998,0.6761,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl.Cl
11,CHEMBL1201313,CHLOPHEDIANOL,289.8,0.9,0.9146,0.9973,0.6761,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl
12,CHEMBL223228,EFAVIRENZ,315.7,0.8959,0.8945,0.9982,0.6942,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1
13,CHEMBL970,HALAZEPAM,352.7,0.8957,0.9054,0.9961,0.6755,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F
14,CHEMBL193,NIFEDIPINE,346.3,0.8943,0.9121,0.9798,0.6876,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
15,CHEMBL1201338,CYCLOPENTOLATE,291.4,0.8931,0.9007,0.9991,0.6656,CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1
