Rank,ChEMBL_ID,Name,MW,Original_Indication,Combined_Score,Shape_Score,Size_Score,Allosteric_Score,SMILES
1,CHEMBL449,BUTABARBITAL,212.2,Unknown,0.9385,1.0,0.9696,0.7534,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
2,CHEMBL454,BUTALBITAL,224.3,Migraine Disorders,0.9218,0.9673,0.9999,0.675,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
3,CHEMBL40,PHENOBARBITAL,232.2,Epilepsy; Seizures; Neonatal Abstinence Syndrome,0.904,0.9576,0.9883,0.6279,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
4,CHEMBL16,PHENYTOIN,252.3,Epilepsy; Seizures; Wounds and Injuries,0.9009,0.937,0.9771,0.6762,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
5,CHEMBL447,SECOBARBITAL,238.3,Unknown,0.8976,0.9326,0.9895,0.644,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
6,CHEMBL7863,APROBARBITAL,210.2,Unknown,0.8883,0.9329,0.9861,0.6034,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
7,CHEMBL452,CLONAZEPAM,315.7,Neuralgia; Epilepsy; Pain,0.8869,0.9186,0.9546,0.688,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
8,CHEMBL268164,CYCLOBARBITAL,236.3,Unknown,0.8776,0.9019,0.9999,0.5844,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
9,CHEMBL403,SULBACTAM,233.2,Infections; Osteomyelitis; Cleft Palate,0.8761,0.9951,0.845,0.7004,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
10,CHEMBL404,TAZOBACTAM,300.3,Infections; Pseudomonas Infections; Abscess,0.8719,0.9458,0.9177,0.6323,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
11,CHEMBL267894,AMOBARBITAL,226.3,Osteoarthritis,0.8697,0.8869,0.9936,0.5872,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
12,CHEMBL448,PENTOBARBITAL,226.3,Heart Diseases; Substance-Related Disorders; Status Epilepticus,0.8589,0.8782,0.9751,0.5878,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
13,CHEMBL450,METHARBITAL,198.2,Epilepsy,0.8573,0.9556,0.8796,0.6161,CCC1(CC)C(=O)NC(=O)N(C)C1=O
14,CHEMBL267936,MECAMYLAMINE,167.3,Hypertension; Macular Degeneration; Tobacco Use Disorder,0.8502,1.0,0.7829,0.685,CNC1(C)C2CCC(C2)C1(C)C
15,CHEMBL25,ASPIRIN,180.2,Atrial Fibrillation; Duodenal Ulcer; Fever,0.8483,0.8498,0.9852,0.5717,CC(=O)Oc1ccccc1C(=O)O
16,CHEMBL433,VALPROATE SODIUM,166.2,Epilepsy; Seizures; Neuralgia,0.8392,0.8832,0.9229,0.5838,CCCC(CCC)C(=O)[O-].[Na+]
17,CHEMBL268869,SULFAMETHOXYPYRIDAZINE,280.3,Bacterial Infections,0.8368,0.8601,0.936,0.592,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
18,CHEMBL441,THIOPENTAL,242.3,"Shock, Septic; Status Epilepticus; Strabismus",0.8317,0.846,0.9509,0.5647,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
19,CHEMBL7728,HEXOBARBITAL,236.3,Unknown,0.8263,0.8188,0.9698,0.5544,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
20,CHEMBL17,DICHLORPHENAMIDE,305.2,"Myotonic Disorders; Hypokalemic Periodic Paralysis; Paralysis, Hyperkalemic Periodic",0.8255,0.8129,0.9798,0.5421,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
21,CHEMBL12,DIAZEPAM,284.8,Epilepsy; Seizures; Anxiety,0.8205,0.8756,0.8621,0.6271,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
22,CHEMBL440,THIAMYLAL,254.3,Unknown,0.8123,0.9371,0.7773,0.6326,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O
23,CHEMBL459,METHYLDOPA,211.2,"Pre-Eclampsia; Hypertension; Diabetes Mellitus, Type 1",0.8011,0.747,0.9976,0.5163,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
24,CHEMBL435,HYDROCHLOROTHIAZIDE,297.8,"Hypertension; Cardiovascular Diseases; Kidney Failure, Chronic",0.7979,0.7419,0.9909,0.5238,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
25,CHEMBL3,NICOTINE,162.2,Tobacco Use Disorder; Smoking Cessation; Memory Disorders,0.7949,0.7456,0.9917,0.4998,CN1CCC[C@H]1c1cccnc1
