Rank,ChEMBL_ID,Name,MW,Original_Indication,Combined_Score,Shape_Score,Size_Score,Allosteric_Score,SMILES
1,CHEMBL442,ERGOTAMINE,581.7,"Hypotension, Orthostatic; Migraine Disorders",0.8531,0.8507,0.981,0.6019,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
2,CHEMBL440,THIAMYLAL,254.3,Unknown,0.8216,0.8371,0.8957,0.6426,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O
3,CHEMBL7413,METHOHEXITAL,262.3,Unknown,0.81,0.8079,0.9269,0.5805,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
4,CHEMBL266349,MELAGATRAN,429.5,Thrombosis,0.7957,0.7522,0.9811,0.5116,N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1
5,CHEMBL415,CLOMIPRAMINE,314.9,Obsessive-Compulsive Disorder; Anxiety; Dementia,0.7917,0.7918,0.8853,0.6041,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
6,CHEMBL451,CHLORDIAZEPOXIDE,299.8,"Anxiety; Substance Withdrawal Syndrome; Depressive Disorder, Major",0.7916,0.7746,0.892,0.6246,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
7,CHEMBL445,NORTRIPTYLINE,263.4,Irritable Bowel Syndrome; Tobacco Use Disorder; Psoriasis,0.7915,0.7635,0.9208,0.5887,CNCCC=C1c2ccccc2CCc2ccccc21
8,CHEMBL404,TAZOBACTAM,300.3,Infections; Pseudomonas Infections; Abscess,0.7845,0.8458,0.7943,0.6423,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
9,CHEMBL11,IMIPRAMINE,280.4,Gastroesophageal Reflux; Anxiety; Dementia,0.7835,0.7598,0.9093,0.5794,CN(C)CCCN1c2ccccc2CCc2ccccc21
10,CHEMBL12,DIAZEPAM,284.8,Epilepsy; Seizures; Anxiety,0.7745,0.7756,0.8421,0.6371,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
11,CHEMBL6437,MIANSERIN,264.4,Anxiety; Dementia; Depressive Disorder,0.7726,0.7556,0.8733,0.6051,CN1CCN2c3ccccc3Cc3ccccc3C2C1
12,CHEMBL452,CLONAZEPAM,315.7,Neuralgia; Epilepsy; Pain,0.7676,0.8186,0.7513,0.698,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
13,CHEMBL42,CLOZAPINE,326.8,Psychotic Disorders; Anxiety; Dementia,0.7673,0.6893,0.9735,0.511,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
14,CHEMBL456,ETHACRYNIC ACID,303.1,Cardiovascular Diseases; Urinary Bladder Neoplasms; Heart Failure,0.7658,0.7129,0.9422,0.5188,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
15,CHEMBL446,SULFAMETHAZINE,278.3,Bacterial Infections,0.7634,0.683,0.975,0.5011,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
16,CHEMBL16,PHENYTOIN,252.3,Epilepsy; Seizures; Wounds and Injuries,0.7579,0.837,0.7146,0.6862,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
17,CHEMBL443,SULFAMETHOXAZOLE,253.3,Infections; Neoplasms; Idiopathic Pulmonary Fibrosis,0.7528,0.7129,0.9015,0.5351,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
18,CHEMBL46,ONDANSETRON,293.4,Lecithin Cholesterol Acyltransferase Deficiency; Nausea; Obsessive-Compulsive Disorder,0.7523,0.6462,0.9962,0.4769,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
19,CHEMBL22,TRIMETHOPRIM,290.3,Infections; Neoplasms; Idiopathic Pulmonary Fibrosis,0.7503,0.641,0.9993,0.4707,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
20,CHEMBL29,PENICILLIN G,334.4,Osteomyelitis; Rheumatic Heart Disease; Syphilis,0.7502,0.7215,0.8869,0.5342,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
21,CHEMBL438,SULFAMERAZINE,264.3,Bacterial Infections,0.7457,0.6443,0.9771,0.4856,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
22,CHEMBL460,MOLINDONE,276.4,Psychotic Disorders; Attention Deficit Disorder with Hyperactivity,0.743,0.6306,0.9892,0.4753,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2
23,CHEMBL453,SULFISOXAZOLE,267.3,Osteomyelitis; Bacterial Infections; Eye Infections,0.7428,0.6395,0.9753,0.4844,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
24,CHEMBL422,TRIFLUOPERAZINE,407.5,"Psychotic Disorders; Anemia, Diamond-Blackfan",0.7418,0.6963,0.9173,0.4817,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
25,CHEMBL439,SULFADIAZINE,250.3,"Osteomyelitis; Toxoplasmosis, Cerebral; Toxoplasmosis, Congenital",0.7403,0.6915,0.8967,0.5249,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
26,CHEMBL447,SECOBARBITAL,238.3,Unknown,0.738,0.8326,0.6853,0.654,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
27,CHEMBL268869,SULFAMETHOXYPYRIDAZINE,280.3,Bacterial Infections,0.7343,0.7601,0.7747,0.602,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
28,CHEMBL9,NORFLOXACIN,319.3,Liver Cirrhosis; Osteomyelitis; Bacterial Infections,0.7308,0.5991,0.9993,0.4571,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
29,CHEMBL454,BUTALBITAL,224.3,Migraine Disorders,0.7304,0.8673,0.6162,0.685,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
30,CHEMBL267744,TICRYNAFEN,331.2,Cardiovascular Diseases,0.7291,0.619,0.9797,0.4483,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl
31,CHEMBL8,CIPROFLOXACIN,331.4,Anthrax; Infections; Urinary Tract Infections,0.7277,0.5937,0.9981,0.4549,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
32,CHEMBL449,BUTABARBITAL,212.2,Unknown,0.7231,0.9087,0.5172,0.7634,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
33,CHEMBL7568,QUINACRINE,400.0,"Colorectal Neoplasms; Carcinoma, Renal Cell; Carcinoma, Non-Small-Cell Lung",0.7228,0.7194,0.8521,0.4709,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12
34,CHEMBL30,CIMETIDINE,252.3,Gastroesophageal Reflux; Peptic Ulcer; Hemorrhage,0.7221,0.6555,0.8949,0.5098,CN/C(=N\CCSCc1nc[nH]c1C)NC#N
35,CHEMBL420,GUANABENZ,231.1,"Multiple Sclerosis, Relapsing-Remitting; Multiple Sclerosis",0.7191,0.631,0.9134,0.5068,N=C(N)N/N=C/c1c(Cl)cccc1Cl
36,CHEMBL457,GEMFIBROZIL,250.3,Coronary Disease; Tobacco Use Disorder; Anemia,0.7187,0.608,0.9468,0.484,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
37,CHEMBL448,PENTOBARBITAL,226.3,Heart Diseases; Substance-Related Disorders; Status Epilepticus,0.7182,0.7782,0.7185,0.5978,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
38,CHEMBL406,INDAPAMIDE,365.8,Hypertension; Cardiovascular Diseases; Heart Failure,0.7168,0.5667,0.9975,0.4557,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
39,CHEMBL441,THIOPENTAL,242.3,"Shock, Septic; Status Epilepticus; Strabismus",0.7158,0.746,0.7563,0.5747,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
40,CHEMBL409,BICALUTAMIDE,430.4,Prostatic Neoplasms; Prostatic Neoplasms; Prostatic Neoplasms,0.714,0.6658,0.8944,0.4493,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
