time_ns,z_nm
0.01,2.1726183869361346
0.02,2.177285530298686
0.03,2.287835519797893
0.04,2.2891042304231646
0.05,2.2317650907442603
0.06,2.296942547814058
0.07,2.4346553525364647
0.08,2.330857474719925
0.09,2.203868352267733
0.1,2.305346144149343
0.11,2.1689137157854637
0.12,2.1972267331932933
0.13,2.2062370885336255
0.14,2.298289865701533
0.15,2.2518931084690434
0.16,2.150516347678489
0.17,2.123299042657799
0.18,2.0679655317958745
0.19,2.213379001296212
0.2,2.2013474885045103
