#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1500500,3000.9999999428596,-80673.029866067,305.3338202532366,0.9852834035826135
1501000,3001.999999942836,-80899.07691275602,314.8294467841188,0.9900338451539339
1501500,3002.9999999428123,-80234.9568282247,313.90684446850685,0.988711651144623
1502000,3003.9999999427887,-80656.87846476061,316.48244932370477,0.9958026143859225
1502500,3004.999999942765,-80380.70530657301,309.97428639119545,0.9821998648207678
1503000,3005.9999999427414,-80607.48105547443,313.8299878386643,0.9873222812239497
1503500,3006.9999999427177,-80664.82427563332,311.92428634841207,0.9898287322159725
1504000,3007.999999942694,-80712.8702108651,314.2986720742976,0.9873709029898722
1504500,3008.9999999426705,-80382.96027340152,308.25189098896936,0.9870224806584625
1505000,3009.999999942647,-80704.31160415796,311.8773856490987,0.9830907683342395
1505500,3010.999999942623,-80513.53020798898,314.07562646900374,0.9781064407159505
1506000,3011.9999999425995,-80868.59513473668,317.29363978456064,0.9891004740150315
1506500,3012.999999942576,-80898.90273390745,310.5880501233716,0.9947931430858754
1507000,3013.999999942552,-80948.37319867156,310.37878222888673,0.9905518653628651
1507500,3014.9999999425286,-80567.5639698988,316.71925246746395,0.9917979687020261
1508000,3015.999999942505,-80578.36445956002,310.88649994975515,0.9871645569996136
1508500,3016.9999999424813,-80670.16004061891,313.06688824540544,0.9975642613234329
1509000,3017.9999999424576,-80389.28679036186,312.9918672988478,0.9918508515231361
1509500,3018.999999942434,-80632.67347456218,316.3796712320911,0.9970851231869247
1510000,3019.9999999424103,-80354.81733854365,314.31731131996025,0.9905042460821719
1510500,3020.9999999423867,-80556.58700266102,309.5715858921015,0.9816570101699194
1511000,3021.999999942363,-80703.28348894836,315.6370263954361,0.9955185123290616
1511500,3022.9999999423394,-80718.92764493334,309.0981006386459,0.9917061322423801
1512000,3023.9999999423158,-80659.22030042147,316.36494542112393,0.990665274699753
1512500,3024.999999942292,-80310.9870614807,318.2908595998544,0.9950899815363465
1513000,3025.9999999422685,-79925.4292075095,311.9405250851636,0.989277975644274
1513500,3026.999999942245,-80188.14378375682,307.41841008822485,0.988785759570566
1514000,3027.999999942221,-80734.14852478629,303.2161477744316,0.9892127117991988
1514500,3028.9999999421975,-80526.21886003367,303.0920475154311,0.9831935665686451
1515000,3029.999999942174,-80795.97878818144,314.259214969843,0.9842078291609178
1515500,3030.99999994215,-81002.5152539527,312.1207044599022,0.9933893035253134
1516000,3031.9999999421266,-80942.31835031993,314.6210261280732,0.9927724811952113
1516500,3032.999999942103,-80825.34518272302,315.2638178629642,0.9941317500325302
1517000,3033.9999999420793,-80644.14781600208,315.14837153944995,0.9991014077888696
1517500,3034.9999999420556,-80931.02263204427,314.7615063302317,0.9978563722922149
1518000,3035.999999942032,-80753.79169453023,315.72526022717665,0.9859845440982473
1518500,3036.9999999420083,-80518.06973647123,314.3928567474565,0.9925605061465271
1519000,3037.9999999419847,-80853.80307625327,305.6995246738184,0.9816949615960715
1519500,3038.999999941961,-80451.53197375027,302.9982057721167,0.986060962323475
1520000,3039.9999999419374,-80899.41238342022,309.41664211944504,0.9968755311057316
1520500,3040.9999999419138,-81218.14399450069,310.0232244972317,1.0008014350998975
1521000,3041.99999994189,-80964.71772455331,308.7804467409736,0.9858826336221375
1521500,3042.9999999418665,-80867.97397209174,305.8214059750018,0.9804079576141655
1522000,3043.999999941843,-80639.74684912508,307.64619619430954,0.9863160822784509
1522500,3044.999999941819,-80658.14487791486,312.81447170755234,0.9973533157937607
1523000,3045.9999999417955,-80825.3376373637,310.8597715942324,0.9917070656183594
1523500,3046.999999941772,-80593.57437361294,312.12602995866297,0.9835034174707181
1524000,3047.9999999417482,-81188.14765484794,313.00859017185036,0.9810218915165309
1524500,3048.9999999417246,-80466.2239169004,315.683785888343,0.9806834583973644
1525000,3049.999999941701,-80464.76314344222,311.8464009290361,0.9721962497955547
1525500,3050.9999999416773,-80383.75920912507,307.2815810802924,0.9930418252747295
1526000,3051.9999999416536,-80434.53701317532,311.09715973596155,0.9890415208556381
1526500,3052.99999994163,-81225.79480496602,307.5883419123178,0.9888408618942307
1527000,3053.9999999416063,-80955.80630751379,303.520588786921,0.9871502010846677
1527500,3054.9999999415827,-80499.34098453069,301.1642774810719,0.9919783075911598
1528000,3055.999999941559,-81041.6841335902,308.17116126911895,0.9987269018778521
1528500,3056.9999999415354,-80728.0851078793,310.3090666087461,0.9926198247724333
1529000,3057.9999999415118,-80415.52132993372,306.36059255218373,0.9874342756844494
1529500,3058.999999941488,-80465.20938672108,310.27662947993065,0.9943844294634478
1530000,3059.9999999414645,-80896.48100432812,317.0339208582552,0.9920764712499446
1530500,3060.999999941441,-80691.00703353836,308.864746965675,0.9958533516957441
1531000,3061.999999941417,-80783.12954969367,313.7113744571749,0.9981095118222838
1531500,3062.9999999413935,-80970.15198000707,308.91925263859747,0.9985490743740325
1532000,3063.99999994137,-80757.38698495651,314.4446189816234,0.9995757431067047
1532500,3064.9999999413462,-80631.35522710136,305.07736924662527,0.9916537229074001
1533000,3065.9999999413226,-80737.73990655033,305.45921154223964,0.9925529679246707
1533500,3066.999999941299,-81016.52928842697,310.87288361769646,0.9977259270624974
1534000,3067.9999999412753,-80716.07629091106,305.0907636829023,0.9920581540019227
1534500,3068.9999999412516,-80977.6511483189,305.9695920124884,0.9959333590824673
1535000,3069.999999941228,-80850.71193150134,309.6579638682133,0.9897194084017431
1535500,3070.9999999412044,-80427.75388570363,310.12154450086757,0.9899402657195514
1536000,3071.9999999411807,-80808.15034752211,320.5621444766257,0.9898215092029151
1536500,3072.999999941157,-80270.0749034381,305.7108615310288,0.9940862300716256
1537000,3073.9999999411334,-80609.58765161631,314.1772345646776,0.9979909153401566
1537500,3074.9999999411098,-80852.21872732101,314.4322735072235,0.9920853122866802
1538000,3075.999999941086,-80786.0166173231,307.06833923408084,0.9915039041171213
1538500,3076.9999999410625,-81284.0290804982,311.103090405036,1.0012226936342359
1539000,3077.999999941039,-80761.09174446145,303.17991824498347,0.996224948455273
1539500,3078.999999941015,-80704.4395768693,306.71302357055123,0.9959555897735147
1540000,3079.9999999409915,-80742.84612813446,309.4450447795024,0.9946109919976085
1540500,3080.999999940968,-80770.25861776154,313.6551339626864,0.9925981909247911
1541000,3081.9999999409442,-80830.74097609962,305.48832023432965,0.9897534473870884
1541500,3082.9999999409206,-80914.71036815172,303.1604721055692,0.9892987003196334
1542000,3083.999999940897,-81449.60885208927,306.48693194134495,0.9953116359283006
1542500,3084.9999999408733,-81279.73085067485,305.53610851676984,1.0035323172962907
1543000,3085.9999999408496,-80778.75905709836,319.2282078987774,0.9979505860699235
1543500,3086.999999940826,-80871.97516826808,315.4521266922505,0.9893905256953969
1544000,3087.9999999408024,-81002.81563492835,302.02840017203454,0.9990153818678642
1544500,3088.9999999407787,-81124.48008153215,313.9662721933143,0.9948399812400688
1545000,3089.999999940755,-80633.27825440018,313.14907037400883,0.9923800734061448
1545500,3090.9999999407314,-80131.04325245606,311.84020801949237,0.9840094565895056
1546000,3091.9999999407078,-80564.17771993304,306.50440119106776,0.995012067870998
1546500,3092.999999940684,-80951.67773439409,316.6654931712617,0.9946048532098917
1547000,3093.9999999406605,-80924.65452746715,316.7527183858128,0.991739710636832
1547500,3094.999999940637,-80986.19412523351,313.9571744662647,0.9884663447282147
1548000,3095.999999940613,-81196.09125643258,311.66285277288443,0.9962813101470264
1548500,3096.9999999405895,-81242.18231021392,311.76702275621966,0.9998660826736753
1549000,3097.999999940566,-80894.61568999337,306.5437776061472,0.9944678073147967
1549500,3098.9999999405422,-80986.96883740544,307.06811733829915,0.9935155470473154
1550000,3099.9999999405186,-80676.88367721596,314.0727014791541,0.9836557554073508
1550500,3100.999999940495,-80494.92425059353,312.285633542735,0.9829905299529917
1551000,3101.9999999404713,-80606.33055424236,306.8436193242523,0.9882892295827644
1551500,3102.9999999404477,-80780.49768877757,307.605569093915,0.9799961493150765
1552000,3103.999999940424,-80606.5127995605,305.2565803488619,0.9769116725763407
1552500,3104.9999999404004,-80557.1365380314,310.89196665492244,0.9893527554561313
1553000,3105.9999999403767,-80057.74441794516,309.2021697602622,0.9830335682906156
1553500,3106.999999940353,-80376.799158738,307.79837635586665,0.9857563425130536
1554000,3107.9999999403294,-80930.47556963708,312.22689167761655,0.9921487147748196
1554500,3108.9999999403058,-80897.22114148532,311.78499631453724,0.9921236857936521
1555000,3109.999999940282,-80924.37501178752,313.8992596672416,0.9909969951556519
1555500,3110.9999999402585,-80827.07972197764,311.67562186650395,0.9939705139774205
1556000,3111.999999940235,-80580.26956357498,309.7435752952611,0.9873597527890613
1556500,3112.999999940211,-80688.07019629632,308.6174542031447,0.9851015508845811
1557000,3113.9999999401875,-80561.09111845086,309.5450189153291,0.9769691180427601
1557500,3114.999999940164,-80635.98871883459,310.97447154102645,0.9776097692214839
1558000,3115.9999999401402,-80612.25361410232,308.0383869022885,0.9862474899976845
1558500,3116.9999999401166,-80847.42396546504,303.0216258632578,0.9969436137867169
1559000,3117.999999940093,-80875.45019478496,303.85278694446646,0.9932996826712065
1559500,3118.9999999400693,-81031.13700917858,303.70815123948705,0.9991114054524217
1560000,3119.9999999400457,-80797.20991955511,305.8341952409652,0.9979228323313234
1560500,3120.999999940022,-80517.23876961856,307.9426086139702,0.9849521162475103
1561000,3121.9999999399984,-80882.15721071628,312.12320583053224,0.9909221188663937
1561500,3122.9999999399747,-80500.39982182387,310.60507558153097,0.9861929668753345
1562000,3123.999999939951,-81216.61387523962,315.87907434858084,0.9983748455085185
1562500,3124.9999999399274,-81053.67803882295,317.6568024898248,1.0002555207105772
1563000,3125.999999939904,-80941.8679071751,304.6095725941187,1.00307985527415
1563500,3126.99999993988,-80858.80937597429,307.52514195922146,0.9935587191804167
1564000,3127.9999999398565,-80512.73615694209,313.3965245152895,0.9906860445466297
1564500,3128.999999939833,-80338.04535380396,307.8265772924861,0.9854807110472672
1565000,3129.999999939809,-80666.40028345503,310.4671169223463,0.9835021369448165
1565500,3130.9999999397855,-80846.69829773257,309.00980628987395,0.9824225287634458
1566000,3131.999999939762,-80841.27267295867,313.75446258351184,0.9894871499605736
1566500,3132.9999999397382,-80761.97503399028,307.89746290856664,0.9870937373332525
1567000,3133.9999999397146,-80922.39860820473,314.8630539088741,0.9942304823456652
1567500,3134.999999939691,-80847.78035544168,310.2637191799045,0.9851313550262927
1568000,3135.9999999396673,-80891.24919351959,315.8518215121196,0.9818425685582647
1568500,3136.9999999396437,-80770.93064294488,309.5973056304346,0.9891426949596449
1569000,3137.99999993962,-80898.74415246776,309.0950747870773,1.001874749474184
1569500,3138.9999999395964,-80889.84643146774,301.37025728351887,0.995240438603222
1570000,3139.9999999395727,-81320.06492207991,310.83102600433074,1.001512088489229
1570500,3140.999999939549,-80910.84716799209,306.3196628666324,0.9889649817017216
1571000,3141.9999999395254,-80718.88111864327,304.81843704172775,0.9899425630843673
1571500,3142.999999939502,-80832.88289706549,308.58691327464555,0.9877587315219977
1572000,3143.999999939478,-80904.45186562662,312.995700044168,0.990465985893162
1572500,3144.9999999394545,-80913.08048204985,308.61465024735776,0.9837474868994676
1573000,3145.999999939431,-80748.8850950849,309.60158216731827,0.9877722532989838
