#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1500500,3000.9999999428596,-95850.9981540246,307.9052125348825,0.9929756794900176
1501000,3001.999999942836,-95063.32576022338,306.17538241776447,0.9930782043252083
1501500,3002.9999999428123,-95300.55348083226,306.0588653632436,0.9923077954287164
1502000,3003.9999999427887,-95270.4880527056,308.5184320273323,0.9932948578257583
1502500,3004.999999942765,-95450.50749513181,315.7489105541459,0.9956170226640972
1503000,3005.9999999427414,-95084.26823039976,309.86225759701045,0.9888034371579146
1503500,3006.9999999427177,-95010.78717378958,310.00623174158926,0.9914248517059244
1504000,3007.999999942694,-95318.89025523979,314.51344183195556,0.9832219664526466
1504500,3008.9999999426705,-95562.82050606498,307.96407304462895,0.9923281302193339
1505000,3009.999999942647,-95289.34346169693,317.5124182470109,0.984593542393377
1505500,3010.999999942623,-95000.9420797617,303.0774467706979,0.9842789554023629
1506000,3011.9999999425995,-95071.57386985491,305.4279877178698,0.9884911765790373
1506500,3012.999999942576,-94890.32964288088,307.5524507980609,0.988738688180887
1507000,3013.999999942552,-94990.58493233641,309.90289141481844,0.9821035701932306
1507500,3014.9999999425286,-95369.83518067352,303.5267598095866,0.9856850461906776
1508000,3015.999999942505,-95179.10639967618,307.71291257406295,0.9799030640934856
1508500,3016.9999999424813,-94866.351762835,303.80189924918005,0.9801712414624156
1509000,3017.9999999424576,-95006.76546778879,308.12975200217676,0.973342417552949
1509500,3018.999999942434,-95426.6907700178,309.18395710912506,0.9843449856825547
1510000,3019.9999999424103,-94961.98934947152,305.63216011105294,0.9775951534625847
1510500,3020.9999999423867,-95360.87732908432,316.27116380426025,0.9936752726038421
1511000,3021.999999942363,-95528.71241488052,306.77709735603656,0.9859103078441341
1511500,3022.9999999423394,-94845.52390925866,307.3339980425699,0.9916056176779356
1512000,3023.9999999423158,-95192.65836634208,308.24927896912783,0.9879684013054478
1512500,3024.999999942292,-95792.84451770945,309.4676246339374,0.9940788236611503
1513000,3025.9999999422685,-95506.83116819354,305.4779522642114,0.9873064970448919
1513500,3026.999999942245,-95219.75031931256,305.54196306856073,0.9813232430848984
1514000,3027.999999942221,-94785.98125280312,304.5787576474194,0.9812698676406396
1514500,3028.9999999421975,-95514.49072127062,310.291872431217,0.9912454952088439
1515000,3029.999999942174,-95126.25615422387,310.2791973555386,0.9868715700894208
1515500,3030.99999994215,-95467.12290884479,305.34133568335096,0.9896964243575747
1516000,3031.9999999421266,-95827.35085223516,307.01595062911014,0.9956824685856386
1516500,3032.999999942103,-96256.22565596143,310.71861112687907,0.9922154668619231
1517000,3033.9999999420793,-95588.78202646761,311.81773081598044,0.9872060083005824
1517500,3034.9999999420556,-95171.95508294331,311.81080801739097,0.9857459998214297
1518000,3035.999999942032,-95044.61157417111,303.3366002309397,0.9822941150806442
1518500,3036.9999999420083,-95180.32598591188,308.2761006332282,0.9704853864417999
1519000,3037.9999999419847,-95497.25566397072,312.60438815135376,0.9838142540228207
