#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1500500,3000.9999999428596,-50383.48628066713,305.7343463237322,0.9754267496827577
1501000,3001.999999942836,-50661.36087557295,316.6039518925625,0.9807391871531613
1501500,3002.9999999428123,-50436.37459201348,309.6738682351218,0.9805095625144525
1502000,3003.9999999427887,-50612.00030639791,314.9521185851588,0.9855284283235857
1502500,3004.999999942765,-50348.428998849064,304.3321075156272,0.9789105072591067
1503000,3005.9999999427414,-50715.79600616539,316.8266766201676,0.9755592471816017
1503500,3006.9999999427177,-50585.60592350905,311.9802842557427,0.9912081378292836
1504000,3007.999999942694,-50564.967054635694,316.2086405544637,0.9889748999813479
1504500,3008.9999999426705,-50442.294285698736,313.61154245824815,0.9884681187524806
1505000,3009.999999942647,-50678.23458559794,303.54245565868666,0.9765841753832665
1505500,3010.999999942623,-50771.61797894118,310.03585855098044,0.9815506817183525
1506000,3011.9999999425995,-50303.42365963332,314.95133566640317,0.9656177245264475
1506500,3012.999999942576,-50452.08271719224,312.4258276612034,0.9756335143243264
1507000,3013.999999942552,-50415.785796407145,317.7912325271185,0.9795916823564415
1507500,3014.9999999425286,-50305.593710280955,309.103840747514,0.9760012100267781
1508000,3015.999999942505,-50431.87033834634,309.3408459132219,0.992276995654964
1508500,3016.9999999424813,-50904.88375317067,305.4051759621101,0.9923258131704638
1509000,3017.9999999424576,-50785.57732843305,308.4756580547371,0.9938244918737791
1509500,3018.999999942434,-50791.608365664666,313.07759186690026,1.0035116111329707
1510000,3019.9999999424103,-50566.74284589448,316.90327739121955,1.0069025131498504
1510500,3020.9999999423867,-50452.067132942146,312.81149344023265,0.9969937054484617
1511000,3021.999999942363,-51042.68087298685,324.4384006630204,0.9887456788965768
1511500,3022.9999999423394,-50321.67393175542,308.02416446673345,0.9847629425642314
1512000,3023.9999999423158,-50464.83598674252,310.5716568305916,0.9854994013732427
1512500,3024.999999942292,-50069.63637908886,308.82991313328995,0.9794192302180855
1513000,3025.9999999422685,-49878.693393285386,312.52939215419974,0.9750759253694878
1513500,3026.999999942245,-49990.003829115536,313.24269377409007,0.9911502794101266
1514000,3027.999999942221,-49934.47315789835,310.2013049424227,0.9804293580636734
1514500,3028.9999999421975,-50232.303552456375,302.16949801204265,0.9837633832637466
1515000,3029.999999942174,-50301.99344183109,311.82608057763144,0.9811040971687037
1515500,3030.99999994215,-50236.09559249645,307.1280043422754,0.9830193440490617
1516000,3031.9999999421266,-50239.839875285455,315.1671393922083,0.9888374149997615
1516500,3032.999999942103,-50442.95492918382,308.70051232135745,0.994401830909965
1517000,3033.9999999420793,-50246.976582102536,311.09940670539476,0.9773881159632901
1517500,3034.9999999420556,-50286.22489586787,305.4226820254862,0.9822672657384272
1518000,3035.999999942032,-50573.86663905182,312.4366319400313,0.9880522471181854
1518500,3036.9999999420083,-50385.03627270559,315.9047428102738,0.9719452064047016
1519000,3037.9999999419847,-50573.278783049434,319.9808370693976,0.981571993264861
1519500,3038.999999941961,-50578.115353150235,303.7993156440377,0.9925187163741852
1520000,3039.9999999419374,-50467.01997867494,300.19510217731437,0.9896339262702103
1520500,3040.9999999419138,-50802.57484013465,306.3505973346731,0.9819686542152768
1521000,3041.99999994189,-49941.05129017407,301.9562309430057,0.9775642649916745
1521500,3042.9999999418665,-50190.936929976684,312.2254630932595,0.9889295768148837
1522000,3043.999999941843,-50321.51204319461,316.3774691549304,0.9930719633080023
1522500,3044.999999941819,-50337.01036627777,319.878212078908,0.9906358788408818
1523000,3045.9999999417955,-50901.46703168459,322.31462392971565,0.9914318936923764
1523500,3046.999999941772,-50429.100472665334,304.34043777118717,0.9976129531996702
1524000,3047.9999999417482,-50407.34840587404,303.3436882450042,0.9808978121964012
1524500,3048.9999999417246,-50560.52216796618,318.64473923776916,0.9864484646972459
1525000,3049.999999941701,-50455.31751081074,316.8903122566261,0.9793422544872548
1525500,3050.9999999416773,-50552.93011292914,315.2142397845477,0.9718590365957149
1526000,3051.9999999416536,-50399.34235696879,315.17324615850237,0.9811898012422366
1526500,3052.99999994163,-50688.881278586225,315.75918255522475,0.9838856999069229
1527000,3053.9999999416063,-50719.91356388078,311.93922799619685,0.9968813806821004
1527500,3054.9999999415827,-50736.1401094498,306.16745697935335,0.9927156211012933
