# Simulation 3: Shear Transport
# Lattice: 4 x 4 = 16
# Date: 2026-05-11T22:21:10.408
theta=0.0 Jx=1.0 Jy=0.0 E=-7.999999999999998 E_N=-0.4999999999999999
theta=15.0 Jx=0.9330127018922194 Jy=0.06698729810778066 E=-7.478117283815026 E_N=-0.4673823302384391
theta=30.0 Jx=0.7500000000000001 Jy=0.24999999999999994 E=-6.27226696896682 E_N=-0.39201668556042624
theta=30.264389682754654 Jx=0.7459931614813499 Jy=0.2540068385186501 E=-6.251285448672852 E_N=-0.39070534054205325
theta=35.264389682754654 Jx=0.6666666666666666 Jy=0.3333333333333333 E=-5.90301972422876 E_N=-0.3689387327642975
theta=40.264389682754654 Jx=0.5822760895227195 Jy=0.4177239104772805 E=-5.683116583109674 E_N=-0.35519478644435465
theta=45.0 Jx=0.5000000000000001 Jy=0.4999999999999999 E=-5.614241604213457 E_N=-0.35089010026334105
theta=60.0 Jx=0.2500000000000001 Jy=0.7499999999999999 E=-6.272266968966567 E_N=-0.3920166855604104
theta=75.0 Jx=0.06698729810778066 Jy=0.9330127018922194 E=-7.478117283815153 E_N=-0.46738233023844705
theta=90.0 Jx=3.749399456654644e-33 Jy=1.0 E=-7.999999999999999 E_N=-0.49999999999999994
status = PARTIAL
