name,M_V,M_V_ehi,M_V_elo,L_V,M_star_ML15_Msun,sig_obs_kmps,sig_obs_ehi,sig_obs_elo,sig_pred_kmps,log10_pred_over_obs,is_upper_limit
Aquarius II,-4.36,0.14,0.14,4.742420e+03,7.113630e+03,5.4,3.4,0.9,2.1682,-0.3963,0
Bootes I,-6.02,0.25,0.25,2.187762e+04,3.281642e+04,4.6,0.8,0.6,3.1776,-0.1607,0
Bootes II,-2.94,0.74,0.75,1.282331e+03,1.923496e+03,10.5,7.4,7.4,1.5635,-0.8271,0
Canes Venatici I,-8.73,0.06,0.06,2.654606e+05,3.981908e+05,7.6,0.4,0.4,5.9306,-0.1077,0
Canes Venatici II,-5.17,0.32,0.32,1.000000e+04,1.500000e+04,4.6,1.0,1.0,2.6128,-0.2457,0
Carina,-9.45,0.05,0.05,5.152286e+05,7.728430e+05,6.6,1.2,1.2,7.0000,0.0256,0
Carina II,-4.5,0.1,0.1,5.395106e+03,8.092659e+03,3.4,1.2,0.8,2.2392,-0.1814,0
Carina III,-2.4,0.2,0.2,7.798301e+02,1.169745e+03,5.6,4.3,2.1,1.3807,-0.6081,0
Coma Berenices,-4.28,0.25,0.25,4.405549e+03,6.608323e+03,4.6,0.8,0.8,2.1286,-0.3347,0
Crater II,-8.2,0.1,0.1,1.629296e+05,2.443944e+05,2.7,0.3,0.3,5.2493,0.2887,0
Draco,-8.88,0.05,0.05,3.047895e+05,4.571842e+05,9.1,1.2,1.2,6.1390,-0.1709,0
Draco II,-0.8,0.4,1.0,1.786488e+02,2.679731e+02,5.9,,,0.9552,-0.7908,1
Eridanus II,-7.1,0.3,0.3,5.915616e+04,8.873425e+04,6.9,1.2,0.9,4.0747,-0.2287,0
Fornax,-13.34,0.14,0.14,1.853532e+07,2.780297e+07,11.7,0.9,0.9,17.1435,0.1659,0
Grus I,-3.47,0.59,0.59,2.089296e+03,3.133944e+03,2.9,2.1,1.0,1.7664,-0.2153,0
Hercules,-5.83,0.17,0.17,1.836538e+04,2.754808e+04,5.1,0.9,0.9,3.0416,-0.2245,0
Horologium I,-3.76,0.56,0.56,2.728978e+03,4.093467e+03,4.9,2.8,0.9,1.8884,-0.4141,0
Hydra II,-4.86,0.37,0.37,7.516229e+03,1.127434e+04,3.6,,,2.4328,-0.1702,1
Hydrus I,-4.71,0.08,0.08,6.546362e+03,9.819543e+03,2.7,0.5,0.4,2.3502,-0.0603,0
Leo I,-11.78,0.28,0.28,4.405549e+06,6.608323e+06,9.2,0.4,0.4,11.9702,0.1143,0
Leo II,-9.74,0.04,0.04,6.729767e+05,1.009465e+06,7.4,0.4,0.4,7.4834,0.0049,0
Leo IV,-4.99,0.26,0.26,8.472274e+03,1.270841e+04,3.3,1.7,1.7,2.5067,-0.1194,0
Leo T,-8.0,,,1.355189e+05,2.032784e+05,7.5,1.6,1.6,5.0130,-0.1750,0
Leo V,-4.29,0.36,0.36,4.446313e+03,6.669469e+03,2.3,3.2,1.6,2.1335,-0.0326,0
Pegasus III,-4.1,0.5,0.5,3.732502e+03,5.598752e+03,5.4,3.0,2.5,2.0422,-0.4223,0
Pisces II,-4.23,0.38,0.38,4.207266e+03,6.310899e+03,5.4,3.6,2.4,2.1043,-0.4093,0
Reticulum II,-3.99,0.38,0.38,3.372873e+03,5.059310e+03,3.3,0.7,0.7,1.9911,-0.2194,0
Sagittarius,-13.5,0.15,0.15,2.147830e+07,3.221746e+07,9.6,0.4,0.4,17.7869,0.2678,0
Sculptor,-10.82,0.14,0.14,1.819701e+06,2.729551e+06,9.2,1.1,1.1,9.5962,0.0183,0
Segue 1,-1.3,0.73,0.73,2.831392e+02,4.247088e+02,3.7,1.4,1.1,1.0718,-0.5381,0
Segue 2,-1.98,0.88,0.88,5.296634e+02,7.944952e+02,2.2,,,1.2534,-0.2443,1
Sextans,-8.94,0.06,0.06,3.221069e+05,4.831603e+05,7.9,1.3,1.3,6.2244,-0.1035,0
Triangulum II,-1.6,0.76,0.76,3.732502e+02,5.598752e+02,3.4,,,1.1484,-0.4714,1
Tucana II,-3.9,0.2,0.2,3.104560e+03,4.656839e+03,8.6,4.4,2.7,1.9503,-0.6444,0
Tucana III,-1.49,0.2,0.2,3.372873e+02,5.059310e+02,1.2,,,1.1197,-0.0301,1
Ursa Major I,-5.13,0.38,0.38,9.638290e+03,1.445744e+04,7.0,1.0,1.0,2.5888,-0.4320,0
Ursa Major II,-4.43,0.26,0.26,5.058247e+03,7.587370e+03,5.6,1.4,1.4,2.2034,-0.4051,0
Ursa Minor,-9.03,0.05,0.05,3.499452e+05,5.249178e+05,9.5,1.2,1.2,6.3548,-0.1746,0
Willman 1,-2.9,0.74,0.74,1.235947e+03,1.853921e+03,4.0,0.8,0.8,1.5492,-0.4120,0
