name,sample,M_gas_Msun,M_star_Msun,M_b_Msun,f_gas,gN_a0,v_pred_kms,V_obs_kms,log10_vobs_over_vpred,flag
CVnIdwA,LT,2.9100e+07,4.1000e+06,3.3200e+07,0.877,0.0738,25.344,23.500,-0.0328,
DDO 43,LT,2.3260e+08,0.0000e+00,2.3260e+08,1.000,0.0911,41.233,33.200,-0.0941,M_star not tabulated (no Spitzer); M_b = M_gas only [FLAG]
DDO 46,LT,2.2080e+08,0.0000e+00,2.2080e+08,1.000,0.5180,40.700,66.100,0.2106,M_star not tabulated (no Spitzer); M_b = M_gas only [FLAG]
DDO 47,LT,4.6800e+08,0.0000e+00,4.6800e+08,1.000,0.1879,49.108,64.700,0.1198,M_star not tabulated (no Spitzer); M_b = M_gas only [FLAG]
DDO 50,LT,1.3252e+09,9.7900e+07,1.4231e+09,0.931,0.0450,64.849,35.700,-0.2592,
DDO 52,LT,3.3430e+08,7.2000e+07,4.0630e+08,0.823,0.2310,47.403,60.200,0.1038,
DDO 53,LT,7.0000e+07,9.6000e+06,7.9600e+07,0.879,0.1953,31.537,28.600,-0.0425,
DDO 70,LT,3.8000e+07,1.2400e+07,5.0400e+07,0.754,0.3336,28.132,43.900,0.1933,
DDO 87,LT,2.9120e+08,6.1800e+07,3.5300e+08,0.825,0.1501,45.765,56.600,0.0923,
DDO 101,LT,3.4800e+07,5.7900e+07,9.2700e+07,0.375,0.7385,32.761,64.500,0.2942,
DDO 126,LT,1.6360e+08,2.2700e+07,1.8630e+08,0.878,0.1201,39.007,37.200,-0.0206,
DDO 133,LT,1.2850e+08,2.6200e+07,1.5470e+08,0.831,0.2114,37.236,46.100,0.0927,
DDO 154,LT,3.5270e+08,1.3100e+07,3.6580e+08,0.964,0.1081,46.175,47.800,0.0150,
DDO 168,LT,2.5940e+08,5.1300e+07,3.1070e+08,0.835,0.4009,44.328,60.300,0.1336,
DDO 210,LT,1.4000e+06,4.0000e+05,1.8000e+06,0.778,0.1608,12.230,12.000,-0.0082,
DDO 216,LT,4.9000e+06,1.6000e+07,2.0900e+07,0.234,0.1104,22.575,18.900,-0.0772,
F564-V3,LT,4.3700e+07,0.0000e+00,4.3700e+07,1.000,0.0774,27.146,28.800,0.0257,M_star not tabulated (no Spitzer); M_b = M_gas only [FLAG]
IC 10,LT,1.6500e+07,1.1810e+08,1.3460e+08,0.123,0.8540,35.963,36.500,0.0064,
IC 1613,LT,5.9300e+07,1.9400e+07,7.8700e+07,0.753,0.0365,31.447,16.900,-0.2697,
NGC 1569,LT,2.0240e+08,2.0690e+08,4.0930e+08,0.495,0.0961,47.490,29.100,-0.2127,
NGC 2366,LT,1.0824e+09,1.0810e+08,1.1905e+09,0.909,0.1451,62.019,58.200,-0.0276,
NGC 3738,LT,1.2580e+08,1.2480e+08,2.5060e+08,0.502,3.1156,42.008,125.500,0.4753,
UGC 8508,LT,1.1900e+07,3.0000e+06,1.4900e+07,0.799,0.3938,20.744,46.000,0.3459,
