cluster	r500Mpc	r200Mpc	r56Mpc	rmaxMpc	M200e14	M200err	MvirE14	MvirErr	M56e14	M56Err	MmaxM200
A267	0.80	1.19	4.26	4.85	4.95	0.31	5.2	0.44	6.32	0.44	1.28±0.12
Zw1478	0.41	0.64	2.68	3.64	0.66	0.03	0.74	0.1	1.38	0.08	2.09±0.16
A646	0.67	0.98	4.24	10.00	2.44	0.12	1.99	0.23	5.58	0.34	2.29±0.24
A655	0.74	1.08	4.46	8.89	3.33	0.16	3.47	0.32	6.5	0.42	1.95±0.26
A667	0.73	1.02	4.09	7.68	2.86	0.05	1.58	0.21	5.09	0.12	1.78±0.06
A689	0.55	0.80	3.95	5.66	1.55	0.05	0.57	0.08	5.32	0.16	3.43±0.21
A697	0.76	1.13	4.60	3.74	4.42	2.1	3.49	0.39	8.4	3.48	1.90±1.20
A750	0.61	0.99	4.20	4.04	2.63	0.19	1.83	0.18	5.64	0.95	2.14±0.39
MS0906	0.41	0.81	3.59	3.94	1.47	0.19	1.48	0.2	3.58	0.55	2.44±0.52
A773	0.99	1.40	5.16	5.35	7.84	0.1	7.5	0.72	11.1	0.3	1.42±0.04
A795	0.70	1.10	4.44	4.14	3.52	0.07	3.65	0.35	6.47	0.15	1.84±0.06
Zw2701	0.57	0.86	3.19	3.23	1.83	0.54	1.79	0.22	2.61	0.96	1.43±0.67
A963	0.74	1.12	4.55	4.54	4.01	0.05	4.08	0.41	7.49	0.11	1.87±0.04
A980	0.80	1.18	4.27	3.64	4.46	1.4	6.0	0.53	5.86	1.89	1.31±0.59
Zw3146	0.60	1.00	3.83	2.52	3.11	1.41	2.62	0.33	4.91	2.2	1.58±1.01
A990	0.55	0.83	3.19	3.64	1.51	0.56	1.68	0.22	2.42	0.89	1.60±0.84
Zw3179	0.43	0.63	2.87	2.22	0.67	0.05	0.61	0.11	1.77	0.12	2.62±0.26
A1033	0.66	1.03	3.88	10.00	2.84	0.03	2.8	0.28	4.26	0.06	1.50±0.03
A1068	1.01	1.47	5.48	10.00	8.4	0.66	7.4	0.85	12.2	1.2	1.45±0.19
A1132	0.76	1.10	4.73	4.24	3.52	0.14	2.25	0.27	7.84	0.56	2.23±0.18
A1201	0.60	0.99	4.08	4.65	2.66	0.06	2.04	0.23	5.17	0.15	1.94±0.08
A1204	0.49	0.74	2.71	3.94	1.11	0.14	1.07	0.13	1.53	0.25	1.38±0.32
A1235	0.57	0.84	3.23	7.88	1.53	0.15	1.59	0.19	2.42	0.36	1.58±0.28
A1246	0.86	1.22	4.89	4.54	5.12	0.12	4.35	0.41	9.18	0.32	1.79±0.08
A1302	0.59	0.93	3.90	2.83	2.08	0.03	1.82	0.2	4.3	0.12	2.06±0.07
A1361	0.55	0.78	3.73	10.00	1.25	0.0	0.95	0.12	3.75	0.02	3.00±0.03
A1366	0.59	0.90	4.37	10.00	1.92	0.06	1.38	0.16	6.05	0.27	3.15±0.18
A1413	0.88	1.29	5.10	10.00	5.72	0.02	4.36	0.51	9.88	0.04	1.73±0.01
A1423	0.73	1.09	4.36	4.75	3.68	0.06	2.59	0.26	6.66	0.13	1.81±0.05
A1437	1.08	1.59	5.53	10.00	10.7	1.35	13.4	1.33	12.5	1.55	1.17±0.21
A1553	0.81	1.19	4.14	3.84	4.58	0.03	5.01	0.45	5.42	0.04	1.18±0.01
A1682	0.88	1.28	4.45	5.25	6.13	0.04	6.13	0.6	7.16	0.05	1.17±0.01
A1689	1.01	1.46	5.15	3.74	8.68	2.64	10.7	0.9	10.6	3.9	1.22±0.58
A1758	0.57	0.90	4.53	5.46	2.23	0.75	1.07	0.15	7.96	3.59	3.57±2.23
A1763	1.10	1.62	5.86	4.85	12.4	1.39	12.2	1.02	16.5	2.29	1.33±0.24
