ZD06 COMPLETE: 5/5 checks PASS.
  sigma(km/s)  r_strip(Mpc)  theta'(z=0.05)  theta'(z=0.10)
         300       0.097         1.7         0.9
         400       0.173         3.0         1.6
         500       0.270         4.6         2.4
         600       0.389         6.7         3.5
         700       0.529         9.1         4.8
         809       0.707        12.2         6.4
         900       0.875        15.0         7.9
        1000       1.080        18.6         9.8
        1100       1.307        22.5        11.8
        1200       1.556        26.7        14.1
