ZD09 COMPLETE: 4/4 checks PASS.
  cluster        R500(kpc)  sigma(km/s)  r_strip(Mpc)  r_strip/R500
  A2142               1424       1644       2.920        2.05
  A2029               1423       1633       2.880        2.02
  A3266               1430       1627       2.859        2.00
  ZW1215              1358       1558       2.621        1.93
  A2319               1346       1528       2.523        1.88
  A644                1230       1407       2.138        1.74
  A85                 1235       1403       2.126        1.72
  A2255               1196       1375       2.043        1.71
  A1795               1153       1314       1.866        1.62
  A3158               1123       1277       1.763        1.57
  RXC1825             1105       1260       1.716        1.55
  A1644               1054       1192       1.534        1.46
