* NGC 104      2896  -17.2| 0.1 0.98   4.41b 7.79E+5|0.05E+5  1.77|0.16  0.49  5.62  3.57  5.31  2.72  9.58 -0.53c 12.2 49.9
* NGC 288       584  -44.8| 0.1 1.34   9.80b 1.16E+5|0.03E+5  2.39|0.17  4.77  9.54  6.99  1.62  1.22  9.58 -0.45c  3.3 11.0
* NGC 362       487  223.5| 0.3 0.98   9.40b 3.45E+5|0.05E+5  1.65|0.25  0.47  4.21  2.32  4.50  2.75  9.30 -0.89c  8.8 35.4
* NGC 1261      231   71.5| 0.3 2.17  15.49a 1.67E+5|0.17E+5  2.12|0.38  1.19  4.72  3.08  3.33  2.33  9.19 -0.53c  5.6 21.2
  Pal 2          16 -134.9| 1.2 0.00  27.20a 3.35E+5|1.62E+5  1.66|1.13  2.10  7.78  4.98  2.88  1.95  9.72 -0.98d  6.1 22.9
* NGC 1851      586  320.2| 0.2 2.08  11.40b 3.02E+5|0.04E+5  2.02|0.15  0.15  3.09  1.65  6.57  3.32  9.02 -0.54c 10.2 42.9
* NGC 1904      412  205.6| 0.2 2.70  13.27a 1.69E+5|0.11E+5  1.72|0.29  0.43  4.18  2.59  4.31  2.45  9.10 -0.40d  6.5 26.2
  NGC 2298       39  144.7| 0.4 0.42  10.80a 1.16E+4|0.74E+4  0.46|0.30  0.86  4.03  2.95  2.91  1.76  8.52  0.15c  1.6  6.1
  NGC 2419      195  -20.6| 0.2 0.26  83.20a 9.81E+5|1.42E+5  2.23|0.32  8.94 24.20 18.29  3.00  0.92 10.74 -1.50d  7.1 22.2
* Pyxis          43   40.4| 0.2 0.62  39.40a 4.49E+4|1.29E+4  2.95|0.93 15.09 25.62 18.09 -0.23 -0.50 10.22 -1.45d  1.3  4.1
* NGC 2808     2047  103.7| 0.3 3.07   9.80b 7.42E+5|0.05E+5  1.64|0.12  0.68  3.22  2.06  4.60  3.43  9.21 -0.50d 14.4 55.6
  E 3            35    4.8| 0.5 0.00   8.09a 3.06E+4|1.69E+4  8.08|4.70  2.77  8.23  5.45  1.69  0.95  9.26 -0.55d  1.8  6.5
  Pal 3          14   89.9| 1.2 0.00  92.50a 6.15E+4|3.29E+4  2.85|1.69 13.55 28.07 19.69  0.01 -0.40 10.32 -1.50d  1.4  4.7
* NGC 3201      690  494.3| 0.1 1.17   4.70a 1.49E+5|0.09E+5  2.40|0.42  1.91  6.20  3.77  2.68  1.87  9.42 -0.96c  4.5 16.8
  Pal 4          23   72.7| 0.3 0.00 103.00a 2.98E+4|1.27E+4  1.64|0.71 13.61 25.87 17.87 -0.29 -0.63 10.15 -1.52c  1.0  3.4
  NGC 4147       30  179.1| 0.3 2.84  18.20a 3.29E+4|0.90E+4  1.51|0.44  0.27  3.47  2.49  4.70  2.63  8.59  0.01c  3.1 11.9
* NGC 4372      214   75.3| 0.3 0.77   6.30a 2.49E+5|0.25E+5  1.89|0.19  4.82  9.19  6.34  1.98  1.61  9.77 -1.03d  4.9 16.4
  Rup 106        38  -38.4| 0.3 0.05  24.30a 1.02E+5|0.28E+5  2.62|0.86  8.04 14.79 10.47  0.93  0.61  9.94 -1.19d  2.5  8.2
* NGC 4590      252  -93.2| 0.2 0.65  10.59a 1.23E+5|0.12E+5  2.02|0.41  1.99  7.71  4.51  2.44  1.44  9.55 -1.04c  3.7 14.1
  NGC 4833      134  202.0| 0.4 0.10   9.00a 2.47E+5|0.32E+5  0.84|0.19  2.34  9.04  6.75  2.60  1.65  9.63 -0.10c  4.8 17.9
* NGC 5024      273  -63.1| 0.2 1.46  17.90a 3.80E+5|0.36E+5  1.59|0.20  2.16  9.92  6.23  2.81  1.63  9.92 -1.10c  5.9 22.4
  NGC 5053       56   42.5| 0.2 0.08  17.20a 5.66E+4|1.33E+4  1.66|0.50 11.00 19.01 13.41  0.32  0.04 10.00 -1.11c  1.6  5.3
* NGC 5139     5096  232.7| 0.2 1.63   5.20b 3.55E+6|0.03E+6  2.90|0.27  4.22 10.04  7.04  3.22  2.44 10.39  0.00d 17.6 62.1
* NGC 5272      731 -147.2| 0.2 2.22  10.06a 3.94E+5|0.23E+5  1.56|0.22  1.04  5.44  3.36  3.80  2.42  9.47 -0.75c  8.1 31.7
  NGC 5286     1024   62.2| 0.4 0.61  11.70a 4.01E+5|0.19E+5  1.41|0.14  0.77  4.26  2.64  4.12  2.79  9.30 -0.67c  9.3 36.0
  NGC 5466       84  106.9| 0.1 0.90  16.90a 4.56E+4|1.13E+4  1.13|0.39  8.16 15.68 10.72  0.57  0.20  9.83 -1.04c  1.6  5.3
  NGC 5634       49  -16.2| 0.5 0.97  27.20a 2.13E+5|0.47E+5  2.32|0.74  0.88  7.50  4.69  4.22  2.11  9.56 -0.83d  5.3 21.7
  NGC 5694       89 -139.4| 0.4 0.87  37.33a 3.83E+5|0.38E+5  2.78|0.32  0.04  5.93  3.31  6.65  2.39  9.53 -0.80d  8.9 35.2
  IC 4499        37   38.7| 0.5 0.55  18.20a 1.67E+5|0.47E+5  2.25|0.78  5.30 14.84  9.83  1.47  0.80 10.06 -1.31d  3.1 11.2
  NGC 5824      191  -25.5| 0.5 0.99  31.80a 7.79E+5|0.42E+5  2.30|0.34  0.08  6.74  3.74  6.54  2.50  9.78 -1.04d 11.9 48.6
* Pal 5          37  -58.4| 0.3 0.00  23.55a 1.39E+4|0.65E+4  1.60|0.80 20.13 35.67 25.10 -1.14 -1.45 10.24 -1.50d  0.6  1.9
  NGC 5897      241  101.2| 0.2 1.33  13.43a 2.03E+5|0.21E+5  3.05|0.43  5.85 11.59  8.02  1.59  1.20  9.92 -1.17d  3.9 13.2
* NGC 5904      889   53.8| 0.2 1.13   7.50b 3.72E+5|0.06E+5  1.52|0.20  1.20  5.58  3.61  3.66  2.41  9.45 -0.52c  7.7 29.9
  NGC 5927      386 -104.1| 0.3 1.42   8.40b 3.54E+5|0.03E+5  2.61|0.36  1.46  7.21  4.98  3.28  2.23  9.54 -0.30c  6.5 24.9
* NGC 5986      231  101.0| 0.4 1.07   9.00a 3.01E+5|0.31E+5  2.45|0.38  1.09  3.73  2.44  4.13  3.27  9.12 -0.57c  8.3 31.1
  Pal 14         17   72.2| 0.2 0.00  71.00a 2.27E+4|1.14E+4  3.40|1.82 17.10 33.14 23.60 -0.68 -1.06 10.27 -1.52c  0.8  2.6
* NGC 6093      455   11.2| 0.4 1.94  10.50a 2.49E+5|0.12E+5  1.43|0.15  0.19  3.02  1.83  5.48  3.15  8.94 -0.31c  9.5 40.2
* NGC 6121     2981   71.0| 0.1 0.85   2.14a 9.69E+4|0.26E+4  1.71|0.10  0.66  4.20  2.82  3.63  2.17  8.99 -0.19c  4.6 18.4
  NGC 6101        0  361.4| 1.7 0.00  16.07a 1.27E+5|0.11E+5  3.00|1.70  5.45 14.97 10.32  1.32  0.66  9.98 -1.02c  2.7  9.6
