name,M_Msun,rh_pc,sigma0_kms
NGC 104,8.530000e+05,4.0300,11.90
NGC 288,9.620000e+04,5.8400,3.10
NGC 362,2.520000e+05,2.2100,8.60
Whiting 1,1.370000e+03,9.4200,0.30
NGC 1261,1.720000e+05,3.2500,5.70
Pal 1,9.260000e+02,2.0100,0.50
AM 1,1.960000e+04,14.7900,0.90
Eridanus,9.290000e+03,13.6400,0.70
Pal 2,2.200000e+05,4.8200,5.00
NGC 1851,2.830000e+05,1.7500,10.30
NGC 1904,1.810000e+05,2.5800,6.70
NGC 2298,4.980000e+04,2.4100,3.90
NGC 2419,7.830000e+05,19.7600,5.10
Pyxis,3.220000e+04,17.0500,1.10
NGC 2808,7.910000e+05,2.4500,13.80
E 3,2.560000e+03,4.3900,0.60
Pal 3,1.850000e+04,20.1600,0.80
NGC 3201,1.930000e+05,5.1700,4.50
Pal 4,1.530000e+04,15.8800,0.80
Crater,1.210000e+04,19.5600,0.60
NGC 4147,4.510000e+04,2.5300,3.60
NGC 4372,1.890000e+05,5.7700,4.40
Rup 106,3.400000e+04,7.6200,1.60
NGC 4590,1.280000e+05,4.4400,4.00
BH 140,6.120000e+04,6.2200,2.30
NGC 4833,1.860000e+05,3.2600,6.00
NGC 5024,5.020000e+05,6.4600,6.80
NGC 5053,6.280000e+04,12.4000,1.80
NGC 5139,3.940000e+06,7.5600,18.00
NGC 5272,4.090000e+05,3.4000,8.20
NGC 5286,4.240000e+05,2.3700,10.70
AM 4,7.460000e+02,6.4600,0.20
NGC 5466,5.610000e+04,9.5500,1.90
NGC 5634,2.470000e+05,4.5700,5.90
NGC 5694,2.690000e+05,3.0800,9.30
IC 4499,1.500000e+05,10.2600,2.90
NGC 5824,7.460000e+05,4.5100,11.30
Pal 5,1.340000e+04,20.4200,0.70
NGC 5897,1.670000e+05,7.6200,3.60
NGC 5904,3.920000e+05,3.5200,7.90
NGC 5927,2.930000e+05,3.1100,6.60
NGC 5946,1.130000e+05,1.9600,6.20
NGC 5986,2.990000e+05,2.8400,8.00
FSR 1716,5.660000e+04,3.7000,3.00
Pal 14,1.910000e+04,27.6300,0.70
Lynga 7,6.750000e+04,3.9100,3.40
NGC 6093,3.210000e+05,1.9300,11.10
RLGC 1,2.800000e+05,8.0100,4.50
NGC 6101,1.740000e+05,9.5900,3.30
NGC 6121,9.040000e+04,2.5000,4.70
NGC 6139,3.520000e+05,1.8500,11.70
NGC 6144,8.460000e+04,3.7000,3.90
Ter 3,3.250000e+04,4.7000,2.10
NGC 6171,6.120000e+04,2.5800,3.90
ESO 452-SC11,7.320000e+03,2.4800,1.40
NGC 6205,4.840000e+05,3.4700,8.90
NGC 6218,1.060000e+05,2.7200,4.70
NGC 6229,2.470000e+05,3.1200,6.70
FSR 1735,9.980000e+04,2.0800,5.80
NGC 6235,9.600000e+04,3.3600,4.10
NGC 6254,1.890000e+05,2.9900,6.20
NGC 6256,1.110000e+05,2.9400,5.40
Pal 15,5.250000e+04,20.0100,1.30
NGC 6266,5.810000e+05,1.7400,14.80
NGC 6273,7.190000e+05,3.1600,11.60
NGC 6284,1.740000e+05,2.9400,6.80
Gran 3,3.500000e+04,7.0400,1.70
Patchick 126,5.390000e+03,1.1200,1.90
NGC 6287,1.300000e+05,1.9400,6.80
NGC 6293,1.420000e+05,2.2100,7.50
Gran 2,4.200000e+04,8.7800,1.60
NGC 6304,1.030000e+05,1.8300,5.70
NGC 6316,3.470000e+05,3.1500,7.60
NGC 6325,6.190000e+04,1.7200,5.30
NGC 6333,3.080000e+05,2.7400,8.60
NGC 6341,2.730000e+05,2.0300,9.10
NGC 6342,3.770000e+04,1.4800,4.60
NGC 6352,6.020000e+04,3.2300,3.40
NGC 6355,9.910000e+04,2.3600,5.60
NGC 6356,5.650000e+05,3.9900,8.10
IC 1257,1.800000e+04,4.1300,1.70
Ter 2,8.050000e+04,2.4000,4.30
Ter 4,1.810000e+05,3.2700,5.70
HP 1,1.370000e+05,3.1000,5.40
FSR 1758,4.910000e+05,12.5100,5.20
NGC 6362,1.170000e+05,5.1300,3.70
NGC 6366,4.660000e+04,3.7800,2.50
Liller 1,1.010000e+06,1.3000,19.60
NGC 6380,3.410000e+05,3.1400,8.30
Ter 1,1.990000e+05,1.4700,9.80
Ton 2,4.310000e+04,2.8600,3.00
NGC 6388,1.310000e+06,2.6100,16.30
NGC 6397,8.240000e+04,2.1700,5.40
NGC 6401,1.210000e+05,2.3100,6.00
NGC 6402,5.950000e+05,3.5400,10.20
Pal 6,8.560000e+04,2.2700,5.10
NGC 6426,7.310000e+04,5.2000,2.80
Djor 1,8.430000e+04,4.1000,3.80
Ter 5,1.090000e+06,1.7700,15.60
NGC 6440,5.690000e+05,1.3200,14.00
Gran 5,2.290000e+04,1.7300,3.10
NGC 6441,1.390000e+06,2.1400,17.60
Ter 6,1.000000e+05,1.0500,6.80
NGC 6453,1.680000e+05,2.7600,7.10
UKS 1,8.000000e+04,2.9900,4.10
VVV-CL001,1.540000e+05,2.3400,6.50
Gran 1,2.600000e+04,5.7200,1.80
NGC 6496,7.440000e+04,4.2600,3.00
Ter 9,1.370000e+05,1.6700,7.30
Djor 2,1.340000e+05,4.6400,3.90
NGC 6517,2.160000e+05,1.7000,9.20
Ter 10,3.190000e+05,3.4600,8.80
NGC 6522,2.140000e+05,2.4800,8.20
NGC 6535,1.980000e+04,2.7000,2.50
NGC 6528,9.440000e+04,2.4500,4.60
NGC 6539,2.150000e+05,3.6900,6.00
NGC 6540,5.620000e+04,2.6500,3.80
VVV-CL160,5.280000e+04,3.2800,3.20
NGC 6541,2.570000e+05,2.2900,9.20
NGC 6544,8.150000e+04,1.5400,6.30
2MASS-GC01,4.100000e+04,3.9900,2.80
ESO 280-SC06,4.010000e+04,7.0200,1.80
NGC 6553,2.290000e+05,2.3000,8.50
2MASS-GC02,1.600000e+04,2.2200,2.20
NGC 6558,3.130000e+04,1.5400,4.10
IC 1276,7.430000e+04,3.2000,3.70
Ter 12,3.760000e+04,1.7800,3.30
NGC 6569,2.290000e+05,2.6000,7.60
BH 261,2.380000e+04,2.9400,2.20
NGC 6584,1.150000e+05,3.4700,4.40
NGC 6624,1.030000e+05,1.7000,7.00
NGC 6626,2.700000e+05,1.6100,10.40
NGC 6637,1.380000e+05,2.4100,6.30
NGC 6638,1.240000e+05,1.8400,7.00
NGC 6642,3.950000e+04,1.3700,5.00
