log10_gbar,log10_gobs,color_r,color_g,color_b
-12.1376,-10.9421,0.579,1.000,0.389
-12.0424,-10.8396,0.579,1.000,0.389
-11.9156,-10.8185,0.629,1.000,0.338
-11.9101,-10.7098,0.579,1.000,0.389
-11.8472,-10.7991,0.000,0.000,0.964
-11.8246,-10.7270,0.946,0.988,0.022
-11.8124,-10.7171,0.000,0.000,0.964
-11.8014,-10.5796,0.000,0.000,0.964
-11.8007,-10.5345,0.000,0.000,0.964
-11.7990,-10.6641,0.000,0.000,0.964
-11.7968,-10.6220,0.000,0.000,0.964
-11.7927,-10.8931,0.000,0.000,0.946
-11.7718,-10.4858,0.000,0.000,0.964
-11.7568,-10.7698,0.000,0.000,0.964
-11.7402,-10.9693,0.000,0.033,1.000
-11.7277,-10.6462,0.000,0.378,1.000
-11.7064,-10.6414,0.946,0.988,0.022
-11.7021,-10.6219,0.629,1.000,0.338
-11.6986,-10.4659,0.000,0.000,0.964
-11.6915,-10.7767,1.000,0.872,0.000
-11.6882,-10.9824,0.000,0.000,0.500
-11.6870,-10.7021,0.000,0.000,0.946
-11.6764,-10.7491,1.000,0.625,0.000
-11.6691,-10.5168,0.579,1.000,0.389
-11.6615,-10.7914,0.000,0.000,0.500
-11.6270,-10.6151,0.000,0.000,0.964
-11.6261,-10.8475,0.000,0.033,1.000
-11.6239,-10.4985,0.000,0.000,0.964
-11.6230,-10.8475,0.000,0.000,0.500
-11.5922,-10.5253,0.000,0.000,0.946
-11.5768,-11.0060,0.000,0.000,1.000
-11.5583,-10.6376,1.000,0.625,0.000
-11.5421,-10.5380,0.946,0.988,0.022
-11.5175,-10.5318,0.920,1.000,0.047
-11.5144,-10.6107,1.000,0.872,0.000
-11.4933,-10.5732,0.000,0.378,1.000
-11.4922,-10.6775,0.000,0.033,1.000
-11.4844,-10.8731,0.000,0.000,1.000
-11.4819,-10.3980,0.000,0.000,0.946
-11.4310,-10.5529,1.000,0.625,0.000
-11.3793,-10.5935,0.187,1.000,0.781
-11.3728,-10.4472,0.629,1.000,0.338
-11.3638,-10.7507,0.000,0.000,1.000
-11.2928,-10.4297,0.946,0.988,0.022
-11.2924,-10.5595,1.000,0.872,0.000
-11.2848,-10.5641,1.000,0.117,0.000
-11.2750,-10.4821,0.000,0.378,1.000
-11.2740,-10.5564,0.756,1.000,0.212
-11.2706,-10.5478,0.000,0.033,1.000
-11.2679,-10.3714,0.920,1.000,0.047
-11.2553,-10.4169,1.000,0.625,0.000
-11.2534,-10.4319,0.566,1.000,0.402
-11.2298,-10.2056,0.000,0.000,0.946
-11.1952,-10.5058,1.000,0.611,0.000
-11.1677,-10.4790,0.756,1.000,0.212
-11.1559,-10.4865,0.500,0.000,0.000
-11.1422,-10.6008,0.000,0.000,1.000
-11.1296,-10.4644,0.187,1.000,0.781
-11.1161,-10.4669,1.000,0.117,0.000
-11.0562,-10.3217,0.566,1.000,0.402
-11.0410,-10.3668,0.756,1.000,0.212
-11.0319,-10.4625,0.500,0.000,0.000
-10.9457,-10.3047,1.000,0.872,0.000
-10.9304,-10.2198,1.000,0.625,0.000
-10.9216,-10.3131,1.000,0.611,0.000
-10.9139,-10.4953,1.000,0.117,0.000
-10.8917,-10.1733,0.920,1.000,0.047
-10.8827,-10.3804,0.500,0.000,0.000
-10.8492,-10.3045,0.756,1.000,0.212
-10.8376,-10.3066,0.187,1.000,0.781
-10.8327,-10.4521,0.946,0.988,0.022
-10.8228,-10.1973,0.566,1.000,0.402
-10.6828,-10.2711,0.500,0.000,0.000
-10.6373,-10.2870,1.000,0.117,0.000
-10.5632,-10.1810,0.756,1.000,0.212
-10.5303,-10.0819,1.000,0.611,0.000
-10.4923,-10.0290,0.566,1.000,0.402
-10.3878,-10.0230,0.500,0.000,0.000
-10.1726,-10.2028,1.000,0.117,0.000
-9.9696,-9.7968,0.500,0.000,0.000
