Galaxy,z,i_opt_deg,log10_Mstar_Msun,Upsilon_star_Msun_Lsun
J095846.8+022051,0.00577,70,7.48±0.087.48\pm 0.08,0.33±0.080.33\pm 0.08
J095927.9+020025,0.01297,41,7.65±0.107.65\pm 0.10,0.35±0.090.35\pm 0.09
J100005.8+015440,0.00622,66,7.82±0.067.82\pm 0.06,0.53±0.080.53\pm 0.08
J095904.3+021516,0.02458,50,7.98±0.087.98\pm 0.08,0.36±0.080.36\pm 0.08
J100211.2+020118,0.02134,41,9.18±0.099.18\pm 0.09,0.38±0.080.38\pm 0.08
J100009.3+024247,0.03267,56,9.49±0.099.49\pm 0.09,0.37±0.070.37\pm 0.07
J100115.2+021823,0.02845,73,8.79±0.098.79\pm 0.09,0.32±0.060.32\pm 0.06
J095720.6+015507,0.03205,48,10.10±0.0710.10\pm 0.07,0.36±0.060.36\pm 0.06
J100143.2+024109,0.04699,45,9.43±0.099.43\pm 0.09,0.34±0.060.34\pm 0.06
J100259.0+022035,0.04426,43,10.92±0.1010.92\pm 0.10,0.37±0.100.37\pm 0.10
J100055.2+022344,0.04426,42,10.53±0.0810.53\pm 0.08,0.57±0.100.57\pm 0.10
J095923.2+024137,0.04764,61,9.75±0.109.75\pm 0.10,0.37±0.080.37\pm 0.08
J100236.5+014836,0.04554,44,9.47±0.129.47\pm 0.12,0.24±0.070.24\pm 0.07
J100117.1+020337,0.06155,47,9.50±0.099.50\pm 0.09,0.34±0.070.34\pm 0.07
J100003.9+015253,0.06521,60,9.19±0.099.19\pm 0.09,0.30±0.070.30\pm 0.07
J095755.9+022608,0.07125,76,10.08±0.1010.08\pm 0.10,0.39±0.090.39\pm 0.09
J100217.9+015124,0.06238,49,10.31±0.1210.31\pm 0.12,0.29±0.070.29\pm 0.07
J100103.7+023053,0.07193,39,10.09±0.1010.09\pm 0.10,0.30±0.080.30\pm 0.08
J095907.8+024213,0.07908,46,10.81±0.0710.81\pm 0.07,0.38±0.060.38\pm 0.06
