        Dwarf          M_V  dM_V+ dM_V-   r_1/2 dr_1/2+ dr_1/2- Dist ddist+ ddist-  Vhel dVhel+ dVhel-  sigma dsig+ dsig-  Upper  [Fe/H] d[Fe/H]+ d[Fe/H]-  sigFe/H dsigFe/H+ dsigFe/H- Upper          References
                                          (pc)                 (kpc)                (km/s)              (km/s)             limit                                                        limit
        Tucana~IV     -3.50 +0.28 -0.28    127   +26    -22     48.0  +4.0  -4.0                                             0                                                            0            1,1,1,-,-,-,-
         Sculptor    -10.82 +0.14 -0.14    279   +16    -16     86.0  +5.0  -5.0   111.4  +0.1  -0.1     9.2  +1.1  -1.1     0     -1.73   +0.03   -0.02      0.44    +0.02     -0.02     0            2,2,3,4,5,6,6
         Cetus~II      0.00 +0.68 -0.68     17    +9     -5     30.0  +3.0  -3.0                                             0                                                            0            1,1,1,-,-,-,-
        Cetus~III     -2.45 +0.57 -0.56     90   +32    -14    251.0 +24.0 -11.0                                             0                                                            0            7,7,7,-,-,-,-
    Triangulum~II     -1.60 +0.76 -0.76     16    +4     -4     28.4  +1.6  -1.6  -381.7  +1.1  -1.1     3.4  -9.9  -9.9     1^c   -2.24   +0.05   -0.05      0.53    +0.12     -0.38     0            2,2,8,9,9,9,9
          Segue~2     -1.98 +0.88 -0.88     40    +4     -4     37.0  +3.0  -3.0   -40.2  +0.9  -0.9     2.2  -9.9  -9.9     1^c   -2.14   +0.16   -0.15      0.39    +0.12     -0.13     0         2,2,10,11,11,6,6
    DESJ0225+0304     -1.10 +0.50 -0.30     19    +9     -5     23.8  +0.7  -0.5                                             0                                                            0         12,12,12,-,-,-,-
         Hydrus~I     -4.71 +0.08 -0.08     53    +4     -4     27.6  +0.5  -0.5    80.4  +0.6  -0.6     2.7  +0.5  -0.4     0     -2.52   +0.09   -0.09      0.41    +0.08     -0.08     0     13,13,13,13,13,13,13
           Fornax    -13.34 +0.14 -0.14    792   +18    -18    139.0  +3.0  -3.0    55.2  +0.1  -0.1    11.7  +0.9  -0.9     0     -1.07   +0.02   -0.01      0.27    +0.01     -0.01     0          2,14,15,4,5,6,6
     Horologium~I     -3.76 +0.56 -0.56     40    +1     -9     87.0 +13.0 -11.0   112.8  +2.5  -2.6     4.9  +2.8  -0.9     0     -2.76   +0.10   -0.10      0.17    +0.20     -0.03     0       2,2,16,17,18,18,18
    Horologium~II     -1.56 +1.02 -1.02     44   +15    -14     78.0  +8.0  -7.0                                             0                                                            0           2,2,19,-,-,-,-
     Reticulum~II     -3.88 +0.38 -0.38     51    +3     -3     31.6  +1.5  -1.4    62.8  +0.5  -0.5     3.3  +0.7  -0.7     0     -2.65   +0.07   -0.07      0.28    +0.09     -0.09     0       2,2,20,21,21,21,21
      Eridanus~II     -7.10 +0.30 -0.30    246   +17    -17    366.0 +17.0 -17.0    75.6  +1.3  -1.3     6.9  +1.2  -0.9     0     -2.38   +0.13   -0.13      0.47    +0.12     -0.09     0     22,22,22,23,23,23,23
