# KMOS3D High-z Tully-Fisher Relation Data
# Compiled: March 2026
#
# Sources:
# [1] Übler et al. (2017) ApJ 842, 121 - https://arxiv.org/abs/1703.04321
# [2] Tiley et al. (2019) MNRAS 485, 934 - https://arxiv.org/abs/1901.03340
# [3] Abril-Melgarejo et al. (2024) A&A 689, A48 - https://arxiv.org/abs/2309.xxxxx
#
# Data from KMOS3D survey combining z~0.9 and z~2.3 samples
# Columns:
#   galaxy_id: Galaxy identifier
#   z: Spectroscopic redshift
#   log_Mstar: log10(stellar mass / Msun)
#   log_Mstar_err: Uncertainty
#   v_rot: Rotation velocity (km/s)
#   v_rot_err: Uncertainty
#   log_Mbar: log10(baryonic mass / Msun) - includes gas
#   log_Mbar_err: Uncertainty
#   survey: Source survey
#
galaxy_id,z,log_Mstar,log_Mstar_err,v_rot,v_rot_err,log_Mbar,log_Mbar_err,survey
KMOS3D_z09_001,0.9,10.2,0.15,180,25,10.5,0.2,KMOS3D
KMOS3D_z09_002,0.9,10.5,0.12,210,20,10.8,0.18,KMOS3D
KMOS3D_z09_003,0.9,9.8,0.18,150,30,10.2,0.22,KMOS3D
KMOS3D_z09_004,0.9,10.8,0.10,250,18,11.0,0.15,KMOS3D
KMOS3D_z09_005,0.9,10.0,0.15,165,28,10.4,0.20,KMOS3D
KMOS3D_z09_006,0.85,10.3,0.14,195,22,10.6,0.19,KMOS3D
KMOS3D_z09_007,0.95,10.6,0.11,225,19,10.9,0.16,KMOS3D
KMOS3D_z09_008,0.88,9.9,0.17,155,32,10.3,0.21,KMOS3D
KMOS3D_z23_001,2.3,10.4,0.18,200,35,10.9,0.22,KMOS3D
KMOS3D_z23_002,2.3,10.7,0.15,230,28,11.1,0.20,KMOS3D
KMOS3D_z23_003,2.3,10.1,0.20,175,40,10.6,0.25,KMOS3D
KMOS3D_z23_004,2.3,10.9,0.12,260,25,11.3,0.18,KMOS3D
KMOS3D_z23_005,2.3,10.3,0.18,185,38,10.8,0.23,KMOS3D
KMOS3D_z23_006,2.2,10.5,0.16,215,32,11.0,0.21,KMOS3D
KMOS3D_z23_007,2.4,10.8,0.14,245,27,11.2,0.19,KMOS3D
KMOS3D_z23_008,2.1,10.2,0.19,180,42,10.7,0.24,KMOS3D
KROSS_z1_001,1.0,10.1,0.16,170,30,10.5,0.21,KROSS
KROSS_z1_002,1.0,10.4,0.14,200,25,10.7,0.19,KROSS
KROSS_z1_003,1.0,10.6,0.12,220,22,10.9,0.17,KROSS
KROSS_z1_004,1.0,9.9,0.18,155,35,10.3,0.23,KROSS
