#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
5000,10.000000000000009,-2327414.5102745816,308.3008767364616,0
10000,19.999999999999794,-2327058.17695163,310.0357144811351,80.1
15000,29.99999999999425,-2325480.633659236,311.7017805470364,79.2
20000,40.00000000000292,-2325920.987226432,309.6893241133524,78.4
25000,50.00000000001514,-2322930.2156590484,309.6267326289908,78.1
30000,60.00000000002736,-2322635.8677365873,310.0164115831741,77.5
35000,70.00000000001826,-2327648.696884379,311.20790950470536,77.8
40000,79.99999999999496,-2323005.6396359354,310.2919339066796,78
45000,89.99999999997165,-2326644.454694167,311.14284049747425,78.1
50000,99.99999999994834,-2325906.1738551483,309.99953175703047,78.1
55000,109.99999999992504,-2329865.0332027264,310.6610031376521,78.2
60000,119.99999999990173,-2325596.1017101016,309.54606339533996,78.1
65000,129.99999999989262,-2326938.892333323,312.6768355365648,78.2
70000,139.99999999994037,-2328115.192805441,310.4134686549137,78.2
75000,149.99999999998812,-2323552.3788111843,309.31633440663046,78.1
80000,160.00000000003587,-2326253.1565700546,310.4287694005471,78.2
85000,170.00000000008362,-2326586.3891642448,310.8226138602142,78.2
90000,180.00000000013137,-2324254.9565822836,310.22901571600556,78.2
95000,190.0000000001791,-2324828.216473067,310.844612085253,78.1
100000,200.00000000022686,-2326604.4200753644,309.94050681657984,78
105000,210.0000000002746,-2323321.0636780746,309.9214217228272,77.9
110000,220.00000000032236,-2325134.5780028775,310.4895095491381,77.7
115000,230.0000000003701,-2325683.3852614015,309.8194621278145,77.6
120000,240.00000000041786,-2324110.159735702,308.73120340101974,77.5
125000,250.0000000004656,-2323426.680392584,309.09444636942004,77.3
130000,260.00000000051335,-2326014.832541315,310.32686425658653,77.1
135000,270.0000000005611,-2321901.403627338,309.19975470413533,76.9
140000,280.00000000060885,-2324458.838420598,310.24820971186244,76.8
145000,290.0000000006566,-2326716.5223486573,309.5216693240098,76.6
150000,300.00000000070435,-2325322.4531566724,311.0581146604438,76.4
155000,310.0000000007521,-2323619.546223156,310.1908455285002,76.3
160000,320.00000000079984,-2323993.79891167,308.34509099074745,76.2
165000,330.0000000008476,-2323787.3224083055,310.5148020628275,76.1
170000,340.00000000089534,-2326249.1576680522,309.93334650323186,76
175000,350.0000000009431,-2330350.3228141516,310.67300959463483,76
180000,360.00000000099084,-2327877.671631569,310.5954985220044,75.9
185000,370.0000000010386,-2326064.079267632,309.0690994046785,75.9
190000,380.00000000108633,-2323021.1851042975,309.36359791983267,75.9
195000,390.0000000011341,-2327013.8642106093,309.99316098393757,75.8
200000,400.00000000118183,-2325434.434317086,311.4551717321833,75.7
205000,410.0000000012296,-2326597.4405492917,310.85136401571043,75.7
210000,420.00000000127733,-2329995.5863640923,311.10951645360365,75.5
215000,430.0000000013251,-2324436.169468811,309.9823524501004,75.5
220000,440.0000000013728,-2325030.0262877233,309.54704351427733,75.4
225000,450.0000000014206,-2323164.432563098,310.11436902585916,75.3
230000,460.0000000014683,-2326597.3380261883,312.4405724216062,75.3
235000,470.00000000151607,-2326143.21486268,309.77208971250826,75.3
240000,480.0000000015638,-2325803.2711900417,310.69544342809024,75.2
245000,490.00000000161157,-2326218.496551411,310.39245054881223,75.2
250000,500.0000000016593,-2322257.262586331,310.731735054299,75.2
255000,510.00000000170706,-2322602.9949082024,310.7286857953828,75.1
260000,520.0000000015274,-2324197.8670525327,309.6808025237025,75.1
265000,530.0000000012909,-2323891.1964206807,311.03813112433176,75.1
270000,540.0000000010544,-2325029.0242978763,310.7533521219733,75.1
275000,550.000000000818,-2325171.516083557,310.7972668954727,75
280000,560.0000000005815,-2325232.1702284683,310.96462220402896,75
285000,570.000000000345,-2327317.191315975,310.1686567247791,75
290000,580.0000000001086,-2325096.040997021,311.1407985830214,75
295000,589.9999999998721,-2325695.2659253906,311.71776193082076,75
300000,599.9999999996356,-2325961.9786214214,310.8039643748781,75
305000,609.9999999993992,-2327025.525214128,310.2116186048672,74.9
310000,619.9999999991627,-2328578.2926347777,309.9919086097398,74.9
315000,629.9999999989262,-2324502.1934137717,310.35536938234844,74.9
320000,639.9999999986898,-2325483.8009539098,308.9772949308781,74.9
325000,649.9999999984533,-2326324.907128215,309.9376209108198,74.8
330000,659.9999999982168,-2324970.5325355735,309.9900572739692,74.8
335000,669.9999999979804,-2324661.8806255646,311.21035980204874,74.8
