Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
1,CHEMBL449,BUTABARBITAL,212.2,0.9294,0.9617,0.9849,0.7534,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
2,CHEMBL1200790,METHYPRYLON,183.2,0.9187,0.9724,0.9349,0.7788,CCC1(CC)C(=O)NCC(C)C1=O
3,CHEMBL1200825,METHADONE HYDROCHLORIDE,345.9,0.9059,0.9656,0.8912,0.8156,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1.Cl
4,CHEMBL454,BUTALBITAL,224.3,0.9028,0.9216,0.998,0.675,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
5,CHEMBL651,METHADONE,309.4,0.8989,0.9745,0.8425,0.8606,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
6,CHEMBL671,THIOTEPA,189.2,0.8949,0.9802,0.8531,0.8079,S=P(N1CC1)(N1CC1)N1CC1
7,CHEMBL104,CLOTRIMAZOLE,344.9,0.894,0.9766,0.8443,0.828,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
8,CHEMBL1200903,SECOBARBITAL SODIUM,260.3,0.8923,0.9086,0.9985,0.6473,C=CCC1(C(C)CCC)C(=O)[N-]C(=O)NC1=O.[Na+]
9,CHEMBL807,MEMANTINE,179.3,0.8868,0.9697,0.8487,0.7971,CC12CC3CC(C)(C1)CC(N)(C3)C2
10,CHEMBL566534,ARTEMETHER,298.4,0.8853,0.8963,0.9894,0.6552,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3
11,CHEMBL1200802,TALBUTAL,224.3,0.8832,0.8934,0.9953,0.6389,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O
12,CHEMBL3989949,CENOBAMATE,267.7,0.8829,0.9011,0.9618,0.6887,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl
13,CHEMBL2106556,CYCLOBARBITAL CALCIUM,510.6,0.8818,0.8888,0.9999,0.6314,CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.[Ca+2]
14,CHEMBL40,PHENOBARBITAL,232.2,0.8792,0.8869,0.9971,0.6279,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
15,CHEMBL1200817,LEVOMETHADYL ACETATE HYDROCHLORIDE,390.0,0.8781,0.9883,0.7557,0.9023,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1.Cl
16,CHEMBL16,PHENYTOIN,252.3,0.8777,0.9003,0.9558,0.6762,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
17,CHEMBL580,LORAZEPAM,321.2,0.8773,0.9109,0.9284,0.7078,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
18,CHEMBL2105233,PROXIBARBAL,226.2,0.875,0.8813,0.9962,0.6201,C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O
19,CHEMBL870,ALENDRONIC ACID,249.1,0.8747,0.879,0.9979,0.6197,NCCCC(O)(P(=O)(O)O)P(=O)(O)O
20,CHEMBL1699,MEMANTINE HYDROCHLORIDE,215.8,0.8746,0.9676,0.83,0.7776,CC12CC3CC(C)(C1)CC(N)(C3)C2.Cl
21,CHEMBL447,SECOBARBITAL,238.3,0.8732,0.8869,0.9741,0.644,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
22,CHEMBL403,SULBACTAM,233.2,0.8708,0.9505,0.8762,0.7004,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
23,CHEMBL2105613,DIVALPROEX SODIUM,310.4,0.8705,0.8725,0.9851,0.6371,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+]
24,CHEMBL1611,PHENYTOIN SODIUM,274.2,0.8704,0.8942,0.9483,0.6673,O=C1N=C([O-])NC1(c1ccccc1)c1ccccc1.[Na+]
25,CHEMBL979,MEPROBAMATE,218.2,0.868,0.8531,0.99,0.6535,CCCC(C)(COC(N)=O)COC(N)=O
26,CHEMBL1200472,QUAZEPAM,386.8,0.8677,0.9245,0.8988,0.6921,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21
27,CHEMBL738,THIOPENTAL SODIUM,264.3,0.8665,0.8699,0.995,0.6026,CCCC(C)C1(CC)C(=O)[N-]C(=S)NC1=O.[Na+]
28,CHEMBL149972,PHENOBARBITAL SODIUM,254.2,0.8663,0.9031,0.9486,0.6282,CCC1(c2ccccc2)C(=O)N=C([O-])NC1=O.[Na+]
29,CHEMBL7863,APROBARBITAL,210.2,0.8661,0.8677,0.9959,0.6034,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
30,CHEMBL7728,HEXOBARBITAL,236.3,0.8654,0.8596,1.0,0.6076,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
31,CHEMBL1068,OXCARBAZEPINE,252.3,0.8644,0.8703,0.9723,0.6368,NC(=O)N1c2ccccc2CC(=O)c2ccccc21
32,CHEMBL452,CLONAZEPAM,315.7,0.8624,0.8863,0.9258,0.688,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
33,CHEMBL675,ALENDRONATE SODIUM,271.1,0.8619,0.881,0.9671,0.6133,NCCCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+]
34,CHEMBL592,LEVORPHANOL,257.4,0.8598,0.8736,0.9585,0.6347,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13
35,CHEMBL1200982,BUTABARBITAL SODIUM,234.2,0.8595,0.8985,0.9386,0.6232,CCC(C)C1(CC)C(=O)[N-]C(=O)NC1=O.[Na+]
36,CHEMBL1029,MIGLUSTAT,219.3,0.8588,0.8522,0.9925,0.6048,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
37,CHEMBL963,OXYMORPHONE,301.3,0.8588,0.864,0.9707,0.6244,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
38,CHEMBL1199080,BRETYLIUM,243.2,0.8583,0.8462,0.9973,0.6048,CC[N+](C)(C)Cc1ccccc1Br
39,CHEMBL2105941,AMOBARBITAL SODIUM,248.3,0.8582,0.8612,0.9859,0.5968,CCC1(CCC(C)C)C(=O)N=C([O-])NC1=O.[Na+]
40,CHEMBL2364609,ESKETAMINE HYDROCHLORIDE,274.2,0.8551,0.8431,0.9993,0.5908,CN[C@]1(c2ccccc2Cl)CCCCC1=O.Cl
41,CHEMBL700,SULFAPYRIDINE,249.3,0.8551,0.8454,0.9886,0.6074,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1
42,CHEMBL395091,ESKETAMINE,237.7,0.8547,0.8492,0.985,0.6053,CN[C@]1(c2ccccc2Cl)CCCCC1=O
43,CHEMBL468837,HEPTABARBITAL,250.3,0.8541,0.8472,0.9837,0.6088,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O
44,CHEMBL1576,ETHINAMATE,167.2,0.8527,0.8773,0.9558,0.5975,C#CC1(OC(N)=O)CCCCC1
45,CHEMBL924,ZOLEDRONIC ACID ANHYDROUS,272.1,0.8525,0.8776,0.9515,0.6043,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
46,CHEMBL1200796,CYCLOPHOSPHAMIDE,279.1,0.8524,0.8516,0.9838,0.5909,O.O=P1(N(CCCl)CCCl)NCCCO1
47,CHEMBL88,CYCLOPHOSPHAMIDE ANHYDROUS,261.1,0.852,0.8512,0.9838,0.5903,O=P1(N(CCCl)CCCl)NCCCO1
48,CHEMBL1542,AZATHIOPRINE,277.3,0.8515,0.838,0.9988,0.5838,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12
49,CHEMBL3989768,LEVORPHANOL TARTRATE,443.5,0.851,0.8567,0.9613,0.6191,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13.O.O.O=C(O)C(O)C(O)C(=O)O
50,CHEMBL970,HALAZEPAM,352.7,0.8486,0.9054,0.8835,0.6655,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F
51,CHEMBL2096631,CLORAZEPATE DIPOTASSIUM,408.9,0.8483,0.8812,0.9092,0.6606,O=C([O-])C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O.[K+].[K+].[OH-]
52,CHEMBL450,METHARBITAL,198.2,0.8475,0.9024,0.9083,0.6161,CCC1(CC)C(=O)NC(=O)N(C)C1=O
53,CHEMBL1095292,BRETYLIUM TOSYLATE,414.4,0.8472,0.8263,0.9973,0.589,CC[N+](C)(C)Cc1ccccc1Br.Cc1ccc(S(=O)(=O)[O-])cc1
54,CHEMBL268164,CYCLOBARBITAL,236.3,0.8465,0.8262,0.9978,0.5844,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
55,CHEMBL1220,TINIDAZOLE,247.3,0.8457,0.8922,0.9192,0.6057,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C
56,CHEMBL568,OXAZEPAM,286.7,0.8443,0.8506,0.9287,0.6629,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
57,CHEMBL267936,MECAMYLAMINE,167.3,0.8427,0.9474,0.8168,0.685,CNC1(C)C2CCC(C2)C1(C)C
58,CHEMBL3989401,PAMIDRONATE DISODIUM,369.1,0.8421,0.8584,0.9557,0.5822,NCCC(O)(P(=O)([O-])O)P(=O)([O-])O.O.O.O.O.O.[Na+].[Na+]
59,CHEMBL856,PRIMIDONE,218.3,0.842,0.8258,0.9802,0.5981,CCC1(c2ccccc2)C(=O)NCNC1=O
60,CHEMBL971,PENTOBARBITAL SODIUM,248.3,0.8418,0.8277,0.9741,0.6056,CCCC(C)C1(CC)C(=O)N=C([O-])NC1=O.[Na+]
61,CHEMBL1514,LEVOMETHADYL ACETATE,353.5,0.84,0.9915,0.6395,0.9382,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1
62,CHEMBL146095,GLAFENINE,372.8,0.8391,0.9235,0.8349,0.6787,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
63,CHEMBL777,CLAVULANIC ACID,199.2,0.8387,0.8196,0.9931,0.5682,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21
64,CHEMBL267894,AMOBARBITAL,226.3,0.8375,0.8191,0.9809,0.5872,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
65,CHEMBL4303669,ZOLEDRONIC ACID,290.1,0.8364,0.854,0.9487,0.5764,O.O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
66,CHEMBL139367,PERAMIVIR ANHYDROUS,328.4,0.835,0.8897,0.8724,0.6511,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N
