Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
1,CHEMBL1200817,LEVOMETHADYL ACETATE HYDROCHLORIDE,390.0,0.9631,0.9883,0.9733,0.8923,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1.Cl
2,CHEMBL651,METHADONE,309.4,0.9583,0.9745,0.9959,0.8506,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
3,CHEMBL104,CLOTRIMAZOLE,344.9,0.9527,0.9766,0.9962,0.818,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
4,CHEMBL1514,LEVOMETHADYL ACETATE,353.5,0.9507,0.9915,0.9212,0.9282,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1
5,CHEMBL1200825,METHADONE HYDROCHLORIDE,345.9,0.9474,0.9656,1.0,0.8056,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1.Cl
6,CHEMBL1200472,QUAZEPAM,386.8,0.9062,0.9245,0.9998,0.6821,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21
7,CHEMBL580,LORAZEPAM,321.2,0.9025,0.9109,0.9964,0.6978,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
8,CHEMBL146095,GLAFENINE,372.8,0.901,0.9235,0.9946,0.6687,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
9,CHEMBL970,HALAZEPAM,352.7,0.8932,0.9054,0.9999,0.6555,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F
10,CHEMBL1200972,CHLOPHEDIANOL HYDROCHLORIDE,326.3,0.8931,0.9125,0.9922,0.6561,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl.Cl
11,CHEMBL1201313,CHLOPHEDIANOL,289.8,0.8905,0.9146,0.9836,0.6561,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl
12,CHEMBL3989949,CENOBAMATE,267.7,0.8899,0.9011,0.9844,0.6787,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl
13,CHEMBL452,CLONAZEPAM,315.7,0.8889,0.8863,0.997,0.678,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
14,CHEMBL16,PHENYTOIN,252.3,0.8884,0.9003,0.9875,0.6662,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
15,CHEMBL3544908,AZATADINE MALEATE,522.5,0.888,0.9325,0.9529,0.6694,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
16,CHEMBL223228,EFAVIRENZ,315.7,0.8871,0.8945,0.9862,0.6742,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1
17,CHEMBL1611,PHENYTOIN SODIUM,274.2,0.8854,0.8942,0.9908,0.6573,O=C1N=C([O-])NC1(c1ccccc1)c1ccccc1.[Na+]
18,CHEMBL1201338,CYCLOPENTOLATE,291.4,0.885,0.9007,0.989,0.6456,CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1
19,CHEMBL139367,PERAMIVIR ANHYDROUS,328.4,0.8838,0.8897,0.9994,0.6411,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N
20,CHEMBL3989402,PERAMIVIR,382.5,0.8838,0.889,0.9993,0.6425,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N.O.O.O
21,CHEMBL1057,FLUORESCEIN,332.3,0.8834,0.8851,0.9934,0.66,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21
22,CHEMBL2096631,CLORAZEPATE DIPOTASSIUM,408.9,0.8823,0.8812,0.9992,0.6506,O=C([O-])C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O.[K+].[K+].[OH-]
23,CHEMBL1712842,MEPAZINE ACETATE,370.5,0.8807,0.8987,0.978,0.6501,CC(=O)O.CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
24,CHEMBL395110,MEPAZINE,310.5,0.8797,0.8974,0.978,0.6476,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
25,CHEMBL7413,METHOHEXITAL,262.3,0.8792,0.9096,0.9644,0.6479,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
26,CHEMBL193,NIFEDIPINE,346.3,0.8792,0.9121,0.952,0.6676,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
27,CHEMBL1213252,CLORAZEPIC ACID,314.7,0.8765,0.8826,0.9907,0.6357,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O
28,CHEMBL1628233,FLUORESCEIN SODIUM,376.3,0.8758,0.8708,0.9959,0.6458,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12.[Na+].[Na+]
29,CHEMBL454,BUTALBITAL,224.3,0.8757,0.9216,0.9353,0.665,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
30,CHEMBL404,TAZOBACTAM,300.3,0.8746,0.8755,0.9998,0.6223,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
31,CHEMBL398707,HYDROMORPHONE,285.3,0.874,0.8752,0.9997,0.62,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5
32,CHEMBL1200521,ALMOTRIPTAN MALATE,469.6,0.8734,0.8819,0.9925,0.6184,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12.O=C(O)CC(O)C(=O)O
33,CHEMBL2062276,LEVALLORPHAN TARTRATE,433.5,0.8731,0.8915,0.9759,0.6306,C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13.O=C(O)C(O)C(O)C(=O)O
34,CHEMBL449,BUTABARBITAL,212.2,0.8728,0.9617,0.8485,0.7434,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
35,CHEMBL63857,PHENOLPHTHALEIN,318.3,0.872,0.8963,0.9608,0.6459,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
36,CHEMBL967,TEMAZEPAM,300.8,0.8719,0.8694,0.9917,0.6373,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
37,CHEMBL447,SECOBARBITAL,238.3,0.8719,0.8869,0.9759,0.634,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
38,CHEMBL566534,ARTEMETHER,298.4,0.8707,0.8963,0.9578,0.6452,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3
39,CHEMBL615,PENICILLIN V,350.4,0.8703,0.8708,0.9993,0.611,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O
40,CHEMBL13280,FLUNITRAZEPAM,313.3,0.8697,0.8591,0.9911,0.6483,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
41,CHEMBL1254682,LEVALLORPHAN,283.4,0.8696,0.8826,0.9759,0.631,C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13
42,CHEMBL568,OXAZEPAM,286.7,0.8694,0.8506,0.9964,0.6529,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
43,CHEMBL592,LEVORPHANOL,257.4,0.8689,0.8736,0.9862,0.6247,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13
44,CHEMBL607,MEPERIDINE,247.3,0.8688,0.8709,0.9876,0.6271,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
45,CHEMBL87992,ESLICARBAZEPINE ACETATE,296.3,0.8685,0.8927,0.9685,0.6201,CC(=O)O[C@H]1Cc2ccccc2N(C(N)=O)c2ccccc21
46,CHEMBL1200770,IOCETAMIC ACID,614.0,0.8683,0.8638,1.0,0.6137,CC(=O)N(CC(C)C(=O)O)c1c(I)cc(I)c(N)c1I
47,CHEMBL2103744,MORPHINE SULFATE,758.8,0.8677,0.8644,0.9999,0.6099,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5.CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5.O.O.O.O.O.O=S(=O)(O)O
48,CHEMBL440,THIAMYLAL,254.3,0.8671,0.8962,0.9604,0.6226,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O
49,CHEMBL1670,MITOTANE,320.1,0.8663,0.8637,0.9993,0.6054,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
50,CHEMBL1701,MEPERIDINE HYDROCHLORIDE,283.8,0.8649,0.8486,0.9999,0.6275,CCOC(=O)C1(c2ccccc2)CCN(C)CC1.Cl
51,CHEMBL1068,OXCARBAZEPINE,252.3,0.8644,0.8703,0.9774,0.6268,NC(=O)N1c2ccccc2CC(=O)c2ccccc21
52,CHEMBL1200922,MEBUTAMATE,232.3,0.8633,0.8499,0.9996,0.6174,CCC(C)C(C)(COC(N)=O)COC(N)=O
53,CHEMBL6437,MIANSERIN,264.4,0.8632,0.8467,0.9971,0.6282,CN1CCN2c3ccccc3Cc3ccccc3C2C1
