Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
1,CHEMBL651,METHADONE,309.4,0.9558,0.9745,0.9798,0.8706,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
2,CHEMBL1200817,LEVOMETHADYL ACETATE HYDROCHLORIDE,390.0,0.9541,0.9883,0.9409,0.9123,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1.Cl
3,CHEMBL104,CLOTRIMAZOLE,344.9,0.9504,0.9766,0.9804,0.838,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
4,CHEMBL1200825,METHADONE HYDROCHLORIDE,345.9,0.9491,0.9656,0.9943,0.8256,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1.Cl
5,CHEMBL1514,LEVOMETHADYL ACETATE,353.5,0.9344,0.9915,0.8703,0.9482,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1
6,CHEMBL1200472,QUAZEPAM,386.8,0.9086,0.9245,0.9959,0.7021,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21
7,CHEMBL580,LORAZEPAM,321.2,0.9078,0.9109,0.9998,0.7178,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
8,CHEMBL3989949,CENOBAMATE,267.7,0.8991,0.9011,0.9972,0.6987,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl
9,CHEMBL146095,GLAFENINE,372.8,0.8979,0.9235,0.977,0.6887,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
10,CHEMBL16,PHENYTOIN,252.3,0.8968,0.9003,0.9985,0.6862,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
11,CHEMBL970,HALAZEPAM,352.7,0.8942,0.9054,0.9925,0.6755,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F
12,CHEMBL452,CLONAZEPAM,315.7,0.8939,0.8863,0.9996,0.698,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
13,CHEMBL449,BUTABARBITAL,212.2,0.8933,0.9617,0.8898,0.7634,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
14,CHEMBL1611,PHENYTOIN SODIUM,274.2,0.8929,0.8942,0.9995,0.6773,O=C1N=C([O-])NC1(c1ccccc1)c1ccccc1.[Na+]
15,CHEMBL454,BUTALBITAL,224.3,0.8914,0.9216,0.9645,0.685,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
16,CHEMBL1200972,CHLOPHEDIANOL HYDROCHLORIDE,326.3,0.8891,0.9125,0.9721,0.6761,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl.Cl
17,CHEMBL2096631,CLORAZEPATE DIPOTASSIUM,408.9,0.8857,0.8812,0.9977,0.6706,O=C([O-])C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O.[K+].[K+].[OH-]
18,CHEMBL566534,ARTEMETHER,298.4,0.8841,0.8963,0.9813,0.6652,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3
19,CHEMBL1201313,CHLOPHEDIANOL,289.8,0.8839,0.9146,0.9571,0.6761,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl
20,CHEMBL139367,PERAMIVIR ANHYDROUS,328.4,0.8839,0.8897,0.9895,0.6611,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N
21,CHEMBL3989402,PERAMIVIR,382.5,0.8837,0.889,0.989,0.6625,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N.O.O.O
22,CHEMBL447,SECOBARBITAL,238.3,0.8827,0.8869,0.9929,0.654,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
23,CHEMBL223228,EFAVIRENZ,315.7,0.8812,0.8945,0.9613,0.6942,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1
24,CHEMBL1201338,CYCLOPENTOLATE,291.4,0.8799,0.9007,0.9663,0.6656,CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1
25,CHEMBL1057,FLUORESCEIN,332.3,0.8798,0.8851,0.9745,0.68,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21
26,CHEMBL592,LEVORPHANOL,257.4,0.8776,0.8736,0.998,0.6447,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13
27,CHEMBL3544908,AZATADINE MALEATE,522.5,0.8756,0.9325,0.9119,0.6894,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
28,CHEMBL404,TAZOBACTAM,300.3,0.8753,0.8755,0.9917,0.6423,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
29,CHEMBL1068,OXCARBAZEPINE,252.3,0.875,0.8703,0.9937,0.6468,NC(=O)N1c2ccccc2CC(=O)c2ccccc21
30,CHEMBL568,OXAZEPAM,286.7,0.8747,0.8506,0.9998,0.6729,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
31,CHEMBL398707,HYDROMORPHONE,285.3,0.8746,0.8752,0.9912,0.64,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5
32,CHEMBL1628233,FLUORESCEIN SODIUM,376.3,0.8734,0.8708,0.9798,0.6658,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12.[Na+].[Na+]
33,CHEMBL1712842,MEPAZINE ACETATE,370.5,0.8728,0.8987,0.9482,0.6701,CC(=O)O.CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
34,CHEMBL1213252,CLORAZEPIC ACID,314.7,0.8719,0.8826,0.9693,0.6557,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O
35,CHEMBL395110,MEPAZINE,310.5,0.8717,0.8974,0.9482,0.6676,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
36,CHEMBL615,PENICILLIN V,350.4,0.8703,0.8708,0.9893,0.631,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O
37,CHEMBL963,OXYMORPHONE,301.3,0.8702,0.864,0.9944,0.6344,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
38,CHEMBL2103744,MORPHINE SULFATE,758.8,0.87,0.8644,0.9957,0.6299,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5.CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5.O.O.O.O.O.O=S(=O)(O)O
39,CHEMBL1200770,IOCETAMIC ACID,614.0,0.8699,0.8638,0.994,0.6337,CC(=O)N(CC(C)C(=O)O)c1c(I)cc(I)c(N)c1I
40,CHEMBL1200521,ALMOTRIPTAN MALATE,469.6,0.8695,0.8819,0.9727,0.6384,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12.O=C(O)CC(O)C(=O)O
41,CHEMBL1200790,METHYPRYLON,183.2,0.8691,0.9724,0.8058,0.7888,CCC1(CC)C(=O)NCC(C)C1=O
42,CHEMBL7413,METHOHEXITAL,262.3,0.8686,0.9096,0.928,0.6679,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
43,CHEMBL967,TEMAZEPAM,300.8,0.8677,0.8694,0.9711,0.6573,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
44,CHEMBL1200903,SECOBARBITAL SODIUM,260.3,0.8676,0.9086,0.9317,0.6573,C=CCC1(C(C)CCC)C(=O)[N-]C(=O)NC1=O.[Na+]
45,CHEMBL3989768,LEVORPHANOL TARTRATE,443.5,0.8674,0.8567,0.9974,0.6291,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13.O.O.O=C(O)C(O)C(O)C(=O)O
46,CHEMBL1701,MEPERIDINE HYDROCHLORIDE,283.8,0.8672,0.8486,0.9956,0.6475,CCOC(=O)C1(c2ccccc2)CCN(C)CC1.Cl
47,CHEMBL193,NIFEDIPINE,346.3,0.8666,0.9121,0.9107,0.6876,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
48,CHEMBL1670,MITOTANE,320.1,0.8662,0.8637,0.9891,0.6254,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
49,CHEMBL979,MEPROBAMATE,218.2,0.8662,0.8531,0.9805,0.6635,CCCC(C)(COC(N)=O)COC(N)=O
50,CHEMBL1200922,MEBUTAMATE,232.3,0.8661,0.8499,0.9967,0.6374,CCC(C)C(C)(COC(N)=O)COC(N)=O
51,CHEMBL13280,FLUNITRAZEPAM,313.3,0.8653,0.8591,0.9701,0.6683,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
52,CHEMBL2062276,LEVALLORPHAN TARTRATE,433.5,0.8647,0.8915,0.9448,0.6506,C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13.O=C(O)C(O)C(O)C(=O)O
53,CHEMBL70,MORPHINE,285.3,0.8644,0.8554,0.9946,0.622,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
54,CHEMBL607,MEPERIDINE,247.3,0.8633,0.8709,0.9638,0.6471,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
55,CHEMBL1505,ALMOTRIPTAN,335.5,0.8632,0.8574,0.9903,0.6204,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12
56,CHEMBL2106556,CYCLOBARBITAL CALCIUM,510.6,0.8614,0.8888,0.9439,0.6414,CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.[Ca+2]
