Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
1,CHEMBL1200790,METHYPRYLON,183.2,0.9362,0.9724,0.9987,0.7388,CCC1(CC)C(=O)NCC(C)C1=O
2,CHEMBL671,THIOTEPA,189.2,0.9315,0.9802,0.9647,0.7679,S=P(N1CC1)(N1CC1)N1CC1
3,CHEMBL807,MEMANTINE,179.3,0.9241,0.9697,0.962,0.7571,CC12CC3CC(C)(C1)CC(N)(C3)C2
4,CHEMBL449,BUTABARBITAL,212.2,0.9221,0.9617,0.9868,0.7134,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
5,CHEMBL1699,MEMANTINE HYDROCHLORIDE,215.8,0.9146,0.9676,0.9501,0.7376,CC12CC3CC(C)(C1)CC(N)(C3)C2.Cl
6,CHEMBL403,SULBACTAM,233.2,0.9033,0.9505,0.9775,0.6604,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
7,CHEMBL267936,MECAMYLAMINE,167.3,0.8844,0.9474,0.9411,0.645,CNC1(C)C2CCC(C2)C1(C)C
8,CHEMBL149972,PHENOBARBITAL SODIUM,254.2,0.8789,0.9031,1.0,0.5882,CCC1(c2ccccc2)C(=O)N=C([O-])NC1=O.[Na+]
9,CHEMBL1200982,BUTABARBITAL SODIUM,234.2,0.8758,0.8985,0.9993,0.5832,CCC(C)C1(CC)C(=O)[N-]C(=O)NC1=O.[Na+]
10,CHEMBL450,METHARBITAL,198.2,0.8728,0.9024,0.9916,0.5761,CCC1(CC)C(=O)NC(=O)N(C)C1=O
11,CHEMBL1237082,MECAMYLAMINE HYDROCHLORIDE,203.8,0.8724,0.9396,0.9265,0.6296,CNC1(C)C2CCC(C2)C1(C)C.Cl
12,CHEMBL1220,TINIDAZOLE,247.3,0.8681,0.8922,0.9951,0.5657,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C
13,CHEMBL1200903,SECOBARBITAL SODIUM,260.3,0.868,0.9086,0.9577,0.6073,C=CCC1(C(C)CCC)C(=O)[N-]C(=O)NC1=O.[Na+]
14,CHEMBL675,ALENDRONATE SODIUM,271.1,0.8661,0.881,0.9976,0.5733,NCCCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+]
15,CHEMBL1200802,TALBUTAL,224.3,0.865,0.8934,0.9698,0.5989,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O
16,CHEMBL924,ZOLEDRONIC ACID ANHYDROUS,272.1,0.8639,0.8776,1.0,0.5643,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
17,CHEMBL2105613,DIVALPROEX SODIUM,310.4,0.8631,0.8725,0.9866,0.5971,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+]
18,CHEMBL1576,ETHINAMATE,167.2,0.8623,0.8773,0.9997,0.5575,C#CC1(OC(N)=O)CCCCC1
19,CHEMBL454,BUTALBITAL,224.3,0.861,0.9216,0.9134,0.635,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
20,CHEMBL1286,LEVETIRACETAM,170.2,0.861,0.8901,0.9826,0.5595,CC[C@@H](C(N)=O)N1CCCC1=O
21,CHEMBL1200944,SULBACTAM SODIUM,255.2,0.859,0.9003,0.9559,0.5828,CC1(C)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O.[Na+]
22,CHEMBL40,PHENOBARBITAL,232.2,0.858,0.8869,0.964,0.5879,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
23,CHEMBL1003,CLAVULANATE POTASSIUM,237.2,0.8579,0.8757,0.9901,0.5578,O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21.[K+]
24,CHEMBL2105233,PROXIBARBAL,226.2,0.8554,0.8813,0.9671,0.5801,C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O
25,CHEMBL870,ALENDRONIC ACID,249.1,0.8518,0.879,0.9606,0.5797,NCCCC(O)(P(=O)(O)O)P(=O)(O)O
26,CHEMBL3989401,PAMIDRONATE DISODIUM,369.1,0.8517,0.8584,0.9997,0.5422,NCCC(O)(P(=O)([O-])O)P(=O)([O-])O.O.O.O.O.O.[Na+].[Na+]
27,CHEMBL2106556,CYCLOBARBITAL CALCIUM,510.6,0.8515,0.8888,0.9442,0.5914,CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.[Ca+2]
28,CHEMBL2105941,AMOBARBITAL SODIUM,248.3,0.8502,0.8612,0.9858,0.5568,CCC1(CCC(C)C)C(=O)N=C([O-])NC1=O.[Na+]
29,CHEMBL4303669,ZOLEDRONIC ACID,290.1,0.8489,0.854,1.0,0.5364,O.O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
30,CHEMBL738,THIOPENTAL SODIUM,264.3,0.8487,0.8699,0.9705,0.5626,CCCC(C)C1(CC)C(=O)[N-]C(=S)NC1=O.[Na+]
31,CHEMBL834,PAMIDRONIC ACID,235.1,0.8477,0.912,0.9192,0.5761,NCCC(O)(P(=O)(O)O)P(=O)(O)O
32,CHEMBL7863,APROBARBITAL,210.2,0.847,0.8677,0.968,0.5634,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
33,CHEMBL1200796,CYCLOPHOSPHAMIDE,279.1,0.846,0.8516,0.988,0.5509,O.O=P1(N(CCCl)CCCl)NCCCO1
34,CHEMBL433,VALPROATE SODIUM,166.2,0.846,0.8431,1.0,0.5438,CCCC(CCC)C(=O)[O-].[Na+]
35,CHEMBL88,CYCLOPHOSPHAMIDE ANHYDROUS,261.1,0.8457,0.8512,0.988,0.5503,O=P1(N(CCCl)CCCl)NCCCO1
36,CHEMBL109,VALPROIC ACID,144.2,0.8438,0.8486,0.9855,0.5508,CCCC(CCC)C(=O)O
37,CHEMBL1059,PREGABALIN,159.2,0.838,0.8367,0.9974,0.5217,CC(C)C[C@H](CN)CC(=O)O
38,CHEMBL3990694,PIPERAZINE CITRATE ANHYDROUS,642.7,0.8375,0.8331,0.9987,0.5242,C1CNCCN1.C1CNCCN1.C1CNCCN1.O=C(O)CC(O)(CC(=O)O)C(=O)O.O=C(O)CC(O)(CC(=O)O)C(=O)O
39,CHEMBL3989678,PIPERAZINE CITRATE,660.7,0.8366,0.8311,0.9992,0.5222,C1CNCCN1.C1CNCCN1.C1CNCCN1.O.O=C(O)CC(O)(CC(=O)O)C(=O)O.O=C(O)CC(O)(CC(=O)O)C(=O)O
40,CHEMBL600,ACETYLCYSTEINE,163.2,0.8342,0.8534,0.9586,0.5468,CC(=O)N[C@@H](CS)C(=O)O
41,CHEMBL7728,HEXOBARBITAL,236.3,0.8331,0.8596,0.9393,0.5676,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
42,CHEMBL566534,ARTEMETHER,298.4,0.8315,0.8963,0.8749,0.6152,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3
43,CHEMBL1542,AZATHIOPRINE,277.3,0.8262,0.838,0.9556,0.5438,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12
44,CHEMBL1200331,FOSFOMYCIN TROMETHAMINE,259.2,0.8261,0.8889,0.9033,0.5461,C[C@@H]1O[C@@H]1P(=O)(O)O.NC(CO)(CO)CO
45,CHEMBL2103738,LITHIUM CITRATE,282.0,0.8243,0.866,0.9306,0.528,O.O.O.O.O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+]
46,CHEMBL1200578,THEOPHYLLINE SODIUM GLYCINATE,277.2,0.8242,0.7996,0.9998,0.5223,Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCC(=O)[O-].[Na+]
47,CHEMBL3989822,POTASSIUM CITRATE,324.4,0.8239,0.8656,0.9305,0.5273,O.O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+]
48,CHEMBL959,RIMANTADINE,179.3,0.8239,0.8056,0.9997,0.5089,CC(N)C12CC3CC(CC(C3)C1)C2
49,CHEMBL1200458,POTASSIUM CITRATE ANHYDROUS,306.4,0.8237,0.8652,0.9305,0.5269,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+]
50,CHEMBL777,CLAVULANIC ACID,199.2,0.8235,0.8196,0.975,0.5282,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21
51,CHEMBL1355,SODIUM CITRATE,258.1,0.8235,0.8648,0.9305,0.5267,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+]
52,CHEMBL1201170,LITHIUM CITRATE ANHYDROUS,209.9,0.8232,0.8644,0.9305,0.5263,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+]
53,CHEMBL535396,RIMANTADINE HYDROCHLORIDE,215.8,0.8222,0.8075,0.9952,0.5058,CC(N)C12CC3CC(CC(C3)C1)C2.Cl
54,CHEMBL1100,PARAMETHADIONE,157.2,0.8216,0.8027,0.9997,0.5031,CCC1(C)OC(=O)N(C)C1=O
55,CHEMBL660,AMANTADINE,151.2,0.8214,0.9518,0.772,0.6594,NC12CC3CC(CC(C3)C1)C2
56,CHEMBL48449,CANTHARIDIN,196.2,0.8211,0.9359,0.8111,0.6116,C[C@@]12C(=O)OC(=O)[C@]1(C)[C@H]1CC[C@@H]2O1
57,CHEMBL1569,AMANTADINE HYDROCHLORIDE,187.7,0.819,0.9401,0.7929,0.6291,Cl.NC12CC3CC(CC(C3)C1)C2
58,CHEMBL498847,SECNIDAZOLE,185.2,0.8189,0.7898,1.0,0.5151,Cc1ncc([N+](=O)[O-])n1CC(C)O
59,CHEMBL2364609,ESKETAMINE HYDROCHLORIDE,274.2,0.8173,0.8431,0.9246,0.5508,CN[C@]1(c2ccccc2Cl)CCCCC1=O.Cl
60,CHEMBL2106119,CALCIUM GLUCONATE,430.4,0.8167,0.8481,0.9291,0.5292,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2]
61,CHEMBL25,ASPIRIN,180.2,0.8152,0.8027,0.9695,0.5317,CC(=O)Oc1ccccc1C(=O)O
62,CHEMBL1199080,BRETYLIUM,243.2,0.815,0.8462,0.9088,0.5648,CC[N+](C)(C)Cc1ccccc1Br
63,CHEMBL979,MEPROBAMATE,218.2,0.8148,0.8531,0.877,0.6135,CCCC(C)(COC(N)=O)COC(N)=O
64,CHEMBL1200569,CAFFEINE CITRATE,386.3,0.8138,0.7899,0.9921,0.5051,Cn1c(=O)c2c(ncn2C)n(C)c1=O.O=C(O)CC(O)(CC(=O)O)C(=O)O
65,CHEMBL15891,LINDANE,290.8,0.8133,0.961,0.7268,0.6906,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
66,CHEMBL1200330,PILOCARPINE HYDROCHLORIDE,244.7,0.8133,0.7871,0.9951,0.502,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C.Cl
67,CHEMBL1200434,OXTRIPHYLLINE,283.3,0.812,0.7798,0.9968,0.5069,C[N+](C)(C)CCO.Cn1c(=O)c2[n-]cnc2n(C)c1=O
68,CHEMBL1200825,METHADONE HYDROCHLORIDE,345.9,0.8114,0.9656,0.6749,0.7756,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1.Cl
69,CHEMBL3989949,CENOBAMATE,267.7,0.811,0.9011,0.8019,0.6487,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl
