Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
1,CHEMBL1740513,ISAXONINE,137.2,0.8708,0.9852,0.9725,0.4387,CC(C)Nc1ncccn1
2,CHEMBL3989843,TRANYLCYPROMINE,266.4,0.8654,0.9731,0.9711,0.4388,N[C@@H]1C[C@H]1c1ccccc1.N[C@H]1C[C@@H]1c1ccccc1
3,CHEMBL21,SULFANILAMIDE,172.2,0.8631,0.9499,0.9926,0.4303,Nc1ccc(S(N)(=O)=O)cc1
4,CHEMBL19393,LEVAMFETAMINE,135.2,0.8617,0.9898,0.9417,0.4456,C[C@@H](N)Cc1ccccc1
5,CHEMBL1096562,METHYL AMINOLEVULINATE,145.2,0.8615,0.9653,0.9665,0.4438,COC(=O)CCC(=O)CN
6,CHEMBL612,DEXTROAMPHETAMINE,135.2,0.8579,0.9823,0.9384,0.4481,C[C@H](N)Cc1ccccc1
7,CHEMBL405,AMPHETAMINE,135.2,0.8579,0.9823,0.9384,0.4481,CC(N)Cc1ccccc1
8,CHEMBL930,GLUTAMINE,146.2,0.8576,0.965,0.9562,0.4455,NC(=O)CC[C@H](N)C(=O)O
9,CHEMBL6466,COUMARIN,146.1,0.8541,0.924,0.9971,0.4282,O=c1ccc2ccccc2o1
10,CHEMBL64,ISONIAZID,137.1,0.8524,0.923,0.9983,0.4193,NNC(=O)c1ccncc1
11,CHEMBL5095505,AMPHETAMINE/DEXTROAMPHETAMINE,405.6,0.852,0.9727,0.9324,0.4499,CC(N)Cc1ccccc1.C[C@H](N)Cc1ccccc1.C[C@H](N)Cc1ccccc1
12,CHEMBL1201323,BETAZOLE,111.2,0.8495,0.9609,0.9561,0.4137,NCCc1cc[nH]n1
13,CHEMBL1184,ACETYLCHOLINE CHLORIDE,181.7,0.8466,0.9332,0.9597,0.4473,CC(=O)OCC[N+](C)(C)C.[Cl-]
14,CHEMBL1909283,MEBANAZINE,136.2,0.8454,0.9167,0.9739,0.4457,CC(NN)c1ccccc1
15,CHEMBL443052,TAVABOROLE,151.9,0.8453,0.9279,0.9754,0.4202,OB1OCc2cc(F)ccc21
16,CHEMBL667,ACETYLCHOLINE,146.2,0.8451,0.9293,0.9597,0.4476,CC(=O)OCC[N+](C)(C)C
17,CHEMBL1788385,TILBROQUINOL,238.1,0.8424,0.9039,0.9797,0.4448,Cc1cc(Br)c(O)c2ncccc12
18,CHEMBL720,BENZYL ALCOHOL,108.1,0.8414,0.9155,0.9772,0.4214,OCc1ccccc1
19,CHEMBL1431,METFORMIN,129.2,0.8405,0.888,0.998,0.4304,CN(C)C(=N)NC(=N)N
20,CHEMBL1201093,METHYL AMINOLEVULINATE HYDROCHLORIDE,181.6,0.8394,0.9191,0.9549,0.4488,COC(=O)CCC(=O)CN.Cl
21,CHEMBL1200949,BETAZOLE HYDROCHLORIDE,147.6,0.8377,0.9293,0.9569,0.416,Cl.NCCc1cc[nH]n1
22,CHEMBL573,NIACIN,123.1,0.8369,0.9152,0.9671,0.4198,O=C(O)c1cccnc1
23,CHEMBL537,HYDROQUINONE,110.1,0.8348,0.9958,0.8892,0.4038,Oc1ccc(O)cc1
24,CHEMBL601,AMINOLEVULINIC ACID,131.1,0.8344,0.9163,0.9604,0.4187,NCC(=O)CCC(=O)O
25,CHEMBL1140,NIACINAMIDE,122.1,0.8331,0.8913,0.9796,0.4239,NC(=O)c1cccnc1
26,CHEMBL2096642,INAMRINONE LACTATE,277.3,0.8331,0.9793,0.8736,0.4597,CC(O)C(=O)O.Nc1cc(-c2ccncc2)c[nH]c1=O
27,CHEMBL1200895,PHENELZINE SULFATE,234.3,0.833,0.9205,0.9356,0.4527,NNCCc1ccccc1.O=S(=O)(O)O
28,CHEMBL1200952,METHAMPHETAMINE HYDROCHLORIDE,185.7,0.8312,0.914,0.9377,0.4528,CN[C@@H](C)Cc1ccccc1.Cl
29,CHEMBL1200584,AMINOSALICYLATE POTASSIUM,191.2,0.8298,0.8825,0.9794,0.425,Nc1ccc(C(=O)[O-])c(O)c1.[K+]
30,CHEMBL877,TRANEXAMIC ACID,157.2,0.8288,0.9332,0.9151,0.4474,NC[C@H]1CC[C@H](C(=O)O)CC1
31,CHEMBL2096646,AMINOSALICYLATE SODIUM,211.2,0.8282,0.8785,0.9794,0.4253,Nc1ccc(C(=O)[O-])c(O)c1.O.O.[Na+]
32,CHEMBL614,PYRAZINAMIDE,123.1,0.8281,0.8845,0.9738,0.4236,NC(=O)c1cnccn1
33,CHEMBL1311,ISOSORBIDE MONONITRATE,191.1,0.828,0.8784,0.967,0.4491,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O
34,CHEMBL513,CARMUSTINE,214.1,0.827,0.9389,0.8997,0.4576,O=NN(CCCl)C(=O)NCCCl
35,CHEMBL1441,ETHIONAMIDE,166.2,0.8255,0.8534,0.9878,0.445,CCc1cc(C(N)=S)ccn1
36,CHEMBL3989698,TRANYLCYPROMINE SULFATE,364.5,0.8241,0.8595,0.9762,0.449,N[C@@H]1C[C@H]1c1ccccc1.N[C@H]1C[C@@H]1c1ccccc1.O=S(=O)(O)O
37,CHEMBL1533310,HISTAMINE DIHYDROCHLORIDE,184.1,0.8228,0.9216,0.9291,0.4125,Cl.Cl.NCCc1c[nH]cn1
38,CHEMBL1437,NOREPINEPHRINE,169.2,0.8227,0.9457,0.8847,0.4528,NC[C@H](O)c1ccc(O)c(O)c1
39,CHEMBL544,MEQUINOL,124.1,0.8225,0.8479,0.9968,0.4232,COc1ccc(O)cc1
40,CHEMBL591,ETHCHLORVYNOL,144.6,0.8221,0.8584,0.9834,0.4268,C#CC(O)(/C=C/Cl)CC
41,CHEMBL770,TOLAZOLINE,160.2,0.8219,0.9633,0.8601,0.4631,c1ccc(CC2=NCCN2)cc1
42,CHEMBL1200782,DEXTROAMPHETAMINE ADIPATE,281.4,0.8197,0.9861,0.8306,0.4653,C[C@H](N)Cc1ccccc1.O=C(O)CCCCC(=O)O
43,CHEMBL1703,METFORMIN HYDROCHLORIDE,165.6,0.8197,0.8312,0.9996,0.4368,CN(C)C(=N)NC(=N)N.Cl
44,CHEMBL497,CLIOQUINOL,305.5,0.8194,0.8638,0.9579,0.4536,Oc1c(I)cc(Cl)c2cccnc12
45,CHEMBL1420,PRALIDOXIME,137.2,0.8189,0.8445,0.9775,0.4505,C[n+]1ccccc1C=NO
46,CHEMBL61006,PHENYLPROPANOLAMINE,151.2,0.8187,0.9091,0.9087,0.4577,CC(N)C(O)c1ccccc1
47,CHEMBL1200695,PHENYLPROPANOLAMINE HYDROCHLORIDE,187.7,0.8187,0.8795,0.9399,0.4545,CC(N)C(O)c1ccccc1.Cl
48,CHEMBL1169,AMINOSALICYLIC ACID,153.1,0.8182,0.8349,0.987,0.4474,Nc1ccc(C(=O)O)c(O)c1
49,CHEMBL748,PRALIDOXIME CHLORIDE,172.6,0.8179,0.842,0.9775,0.4507,C[n+]1ccccc1/C=N/O.[Cl-]
50,CHEMBL1200912,PHENTERMINE HYDROCHLORIDE,185.7,0.8154,0.8763,0.9342,0.4562,CC(C)(N)Cc1ccccc1.Cl
51,CHEMBL1574,PHENTERMINE,149.2,0.812,0.8861,0.9146,0.4588,CC(C)(N)Cc1ccccc1
52,CHEMBL1201201,METHAMPHETAMINE,149.2,0.8108,0.8583,0.9405,0.4561,CN[C@@H](C)Cc1ccccc1
53,CHEMBL1201001,MECHLORETHAMINE HYDROCHLORIDE,192.5,0.8105,0.8519,0.971,0.4067,CN(CCCl)CCCl.Cl
54,CHEMBL1128,EDROPHONIUM CHLORIDE,201.7,0.8072,0.8671,0.9214,0.4587,CC[N+](C)(C)c1cccc(O)c1.[Cl-]
55,CHEMBL269644,ACETANILIDE,135.2,0.806,0.8698,0.9239,0.4429,CC(=O)Nc1ccccc1
56,CHEMBL1200358,SODIUM PHENYLACETATE,158.1,0.8055,0.8859,0.9209,0.414,O=C([O-])Cc1ccccc1.[Na+]
57,CHEMBL1104,EDROPHONIUM,166.2,0.8046,0.8605,0.9214,0.4592,CC[N+](C)(C)c1cccc(O)c1
58,CHEMBL108545,METHYL SALICYLATE,152.2,0.8034,0.8092,0.9716,0.4555,COC(=O)c1ccccc1O
59,CHEMBL427,MECHLORETHAMINE,156.1,0.8025,0.8144,0.9873,0.4092,CN(CCCl)CCCl
60,CHEMBL89598,VIGABATRIN,129.2,0.8025,0.8193,0.9712,0.4315,C=CC(N)CCC(=O)O
61,CHEMBL189,MILRINONE,211.2,0.8014,0.8687,0.9042,0.4614,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
62,CHEMBL1009,LEVODOPA,197.2,0.8006,0.8783,0.8916,0.4633,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
63,CHEMBL2105275,PROPYLHEXEDRINE,155.3,0.7987,0.9786,0.7826,0.4712,CNC(C)CC1CCCCC1
64,CHEMBL360328,LORCASERIN,195.7,0.7975,0.7841,0.9832,0.453,C[C@H]1CNCCc2ccc(Cl)cc21
65,CHEMBL1201161,MAFENIDE ACETATE,246.3,0.7968,0.8816,0.8856,0.4499,CC(=O)O.NCc1ccc(S(N)(=O)=O)cc1
66,CHEMBL59,DOPAMINE,153.2,0.7941,0.8996,0.8585,0.4542,NCCc1ccc(O)c(O)c1
67,CHEMBL2095211,LORCASERIN HYDROCHLORIDE,232.2,0.7935,0.7696,0.9877,0.4531,C[C@H]1CNCCc2ccc(Cl)cc21.Cl
68,CHEMBL3,NICOTINE,162.2,0.7927,0.7953,0.9566,0.4598,CN1CCC[C@H]1c1cccnc1
69,CHEMBL3544971,DEXTROAMPHETAMINE SULFATE,368.5,0.7919,0.8109,0.9383,0.4611,C[C@H](N)Cc1ccccc1.C[C@H](N)Cc1ccccc1.O=S(=O)(O)O
70,CHEMBL750,ZONISAMIDE,212.2,0.7912,0.8509,0.8951,0.4643,NS(=O)(=O)Cc1noc2ccccc12
71,CHEMBL1557,DOPAMINE HYDROCHLORIDE,189.6,0.7909,0.9185,0.8293,0.4592,Cl.NCCc1ccc(O)c(O)c1
72,CHEMBL2109882,TRISILICATE,216.3,0.79,0.7585,0.9896,0.4536,O=[Si](O)O[Si](O)(O)O[Si](=O)O
73,CHEMBL677,LEVONORDEFRIN,183.2,0.7882,0.9147,0.8205,0.4703,C[C@H](N)[C@H](O)c1ccc(O)c(O)c1
74,CHEMBL589586,MONOMETHYL FUMARATE,130.1,0.7866,0.76,0.9966,0.4199,COC(=O)/C=C/C(=O)O
75,CHEMBL1314,TIOPRONIN,163.2,0.7863,0.7578,0.9993,0.4174,CC(S)C(=O)NCC(=O)O
76,CHEMBL90,HISTAMINE,111.2,0.7857,0.8622,0.8954,0.413,NCCc1c[nH]cn1
77,CHEMBL1518,PROPYLTHIOURACIL,170.2,0.785,0.8301,0.8988,0.467,CCCc1cc(=O)[nH]c(=S)[nH]1
78,CHEMBL1200387,AMPHETAMINE ADIPATE,281.4,0.7849,0.9438,0.785,0.467,CC(N)Cc1ccccc1.O=C(O)CCCCC(=O)O
79,CHEMBL1689,TOLAZOLINE HYDROCHLORIDE,196.7,0.7844,0.9241,0.8051,0.4637,Cl.c1ccc(CC2=NCCN2)cc1
80,CHEMBL4298137,DURLOBACTAM,277.3,0.7816,0.9407,0.776,0.4748,CC1=C[C@@H]2CN(C(=O)N2OS(=O)(=O)O)[C@@H]1C(N)=O
81,CHEMBL802,MINOXIDIL,209.2,0.7805,0.9924,0.7251,0.4673,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-]
82,CHEMBL1289,HALOPROGIN,361.4,0.7802,0.9034,0.811,0.4723,Clc1cc(Cl)c(OCC#CI)cc1Cl
83,CHEMBL1177,PEMOLINE,176.2,0.7797,0.8124,0.9036,0.4665,NC1=NC(=O)C(c2ccccc2)O1
84,CHEMBL1356,SODIUM BENZOATE,144.1,0.7769,0.9149,0.8254,0.4037,O=C([O-])c1ccccc1.[Na+]
85,CHEMBL290916,EDARAVONE,174.2,0.776,0.9424,0.7598,0.4755,CC1=NN(c2ccccc2)C(=O)C1
86,CHEMBL4297378,DURLOBACTAM SODIUM,299.2,0.7758,0.9172,0.7845,0.4756,CC1=C[C@@H]2CN(C(=O)N2OS(=O)(=O)[O-])[C@@H]1C(N)=O.[Na+]
87,CHEMBL1590,PSEUDOEPHEDRINE,165.2,0.7757,0.8164,0.8888,0.4681,CN[C@@H](C)[C@@H](O)c1ccccc1
88,CHEMBL1201054,SELENOMETHIONINE SE 75,192.1,0.7748,0.7432,0.981,0.4258,C[75Se]CC[C@H](N)C(=O)O
89,CHEMBL106258,AMINOREX,162.2,0.7742,0.8845,0.8216,0.4587,NC1=NCC(c2ccccc2)O1
90,CHEMBL419,MAFENIDE,186.2,0.7734,0.8243,0.8856,0.4472,NCc1ccc(S(N)(=O)=O)cc1
91,CHEMBL810,TEMOZOLOMIDE,194.2,0.7732,0.9443,0.7516,0.4744,Cn1nnc2c(C(N)=O)ncn2c1=O
92,CHEMBL113178,SELENOMETHIONINE,196.1,0.7713,0.7345,0.981,0.4255,C[Se]CC[C@H](N)C(=O)O
93,CHEMBL1371,CHLORZOXAZONE,169.6,0.7709,0.7244,0.9975,0.4105,O=c1[nH]c2cc(Cl)ccc2o1
94,CHEMBL1201234,MEPHENTERMINE,163.3,0.7705,0.7813,0.9106,0.4686,CNC(C)(C)Cc1ccccc1
95,CHEMBL1076903,VARENICLINE,211.3,0.7692,0.9291,0.7561,0.4755,c1cnc2cc3c(cc2n1)[C@@H]1CNC[C@H]3C1
96,CHEMBL1200483,PHENMETRAZINE HYDROCHLORIDE,213.7,0.7691,0.8758,0.8096,0.4746,CC1NCCOC1c1ccccc1.Cl
97,CHEMBL812,PYRIDOSTIGMINE BROMIDE,261.1,0.7683,0.9473,0.7406,0.4659,CN(C)C(=O)Oc1ccc[n+](C)c1.[Br-]
98,CHEMBL1115,PYRIDOSTIGMINE,181.2,0.7682,0.9469,0.7406,0.4658,CN(C)C(=O)Oc1ccc[n+](C)c1
99,CHEMBL1200977,MILRINONE LACTATE,301.3,0.7677,0.7807,0.9042,0.4689,CC(O)C(=O)O.Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
100,CHEMBL276832,HYDRALAZINE,160.2,0.7676,0.7004,0.9863,0.4647,NNc1nncc2ccccc12
