Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
1,CHEMBL449,BUTABARBITAL,212.2,0.9217,0.9617,0.9908,0.7034,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
2,CHEMBL1200790,METHYPRYLON,183.2,0.9135,0.9724,0.9468,0.7288,CCC1(CC)C(=O)NCC(C)C1=O
3,CHEMBL454,BUTALBITAL,224.3,0.8914,0.9216,0.9945,0.625,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
4,CHEMBL671,THIOTEPA,189.2,0.8913,0.9802,0.869,0.7579,S=P(N1CC1)(N1CC1)N1CC1
5,CHEMBL1200825,METHADONE HYDROCHLORIDE,345.9,0.8876,0.9656,0.8706,0.7656,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1.Cl
6,CHEMBL807,MEMANTINE,179.3,0.8832,0.9697,0.8648,0.7471,CC12CC3CC(C)(C1)CC(N)(C3)C2
7,CHEMBL1200903,SECOBARBITAL SODIUM,260.3,0.8828,0.9086,0.9999,0.5973,C=CCC1(C(C)CCC)C(=O)[N-]C(=O)NC1=O.[Na+]
8,CHEMBL651,METHADONE,309.4,0.8792,0.9745,0.8183,0.8106,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
9,CHEMBL1200802,TALBUTAL,224.3,0.8745,0.8934,0.9983,0.5889,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O
10,CHEMBL104,CLOTRIMAZOLE,344.9,0.8743,0.9766,0.8202,0.778,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
11,CHEMBL566534,ARTEMETHER,298.4,0.8725,0.8963,0.9824,0.6052,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3
12,CHEMBL2106556,CYCLOBARBITAL CALCIUM,510.6,0.8717,0.8888,0.9997,0.5814,CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.[Ca+2]
13,CHEMBL1699,MEMANTINE HYDROCHLORIDE,215.8,0.8712,0.9676,0.8466,0.7276,CC12CC3CC(C)(C1)CC(N)(C3)C2.Cl
14,CHEMBL40,PHENOBARBITAL,232.2,0.8701,0.8869,0.9993,0.5779,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
