Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
1,CHEMBL651,METHADONE,309.4,0.9485,0.9745,0.9614,0.8706,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
2,CHEMBL1200825,METHADONE HYDROCHLORIDE,345.9,0.9447,0.9656,0.9833,0.8256,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1.Cl
3,CHEMBL104,CLOTRIMAZOLE,344.9,0.9432,0.9766,0.9623,0.838,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
4,CHEMBL1200817,LEVOMETHADYL ACETATE HYDROCHLORIDE,390.0,0.9423,0.9883,0.9113,0.9123,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1.Cl
5,CHEMBL1514,LEVOMETHADYL ACETATE,353.5,0.9178,0.9915,0.8288,0.9482,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1
6,CHEMBL580,LORAZEPAM,321.2,0.9061,0.9109,0.9954,0.7178,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
7,CHEMBL1200472,QUAZEPAM,386.8,0.9047,0.9245,0.9862,0.7021,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21
8,CHEMBL449,BUTABARBITAL,212.2,0.9036,0.9617,0.9156,0.7634,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
9,CHEMBL3989949,CENOBAMATE,267.7,0.9002,0.9011,1.0,0.6987,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl
10,CHEMBL454,BUTALBITAL,224.3,0.8976,0.9216,0.98,0.685,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
11,CHEMBL16,PHENYTOIN,252.3,0.8973,0.9003,0.9998,0.6862,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
12,CHEMBL1611,PHENYTOIN SODIUM,274.2,0.8928,0.8942,0.9991,0.6773,O=C1N=C([O-])NC1(c1ccccc1)c1ccccc1.[Na+]
13,CHEMBL452,CLONAZEPAM,315.7,0.892,0.8863,0.9947,0.698,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
14,CHEMBL146095,GLAFENINE,372.8,0.8901,0.9235,0.9575,0.6887,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
15,CHEMBL970,HALAZEPAM,352.7,0.8893,0.9054,0.9802,0.6755,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F
16,CHEMBL566534,ARTEMETHER,298.4,0.8884,0.8963,0.9923,0.6652,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3
17,CHEMBL447,SECOBARBITAL,238.3,0.8851,0.8869,0.9988,0.654,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
18,CHEMBL2096631,CLORAZEPATE DIPOTASSIUM,408.9,0.8825,0.8812,0.9898,0.6706,O=C([O-])C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O.[K+].[K+].[OH-]
19,CHEMBL1200790,METHYPRYLON,183.2,0.8813,0.9724,0.8365,0.7888,CCC1(CC)C(=O)NCC(C)C1=O
20,CHEMBL1200972,CHLOPHEDIANOL HYDROCHLORIDE,326.3,0.8806,0.9125,0.9509,0.6761,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl.Cl
21,CHEMBL592,LEVORPHANOL,257.4,0.8784,0.8736,1.0,0.6447,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13
22,CHEMBL139367,PERAMIVIR ANHYDROUS,328.4,0.8783,0.8897,0.9755,0.6611,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N
23,CHEMBL3989402,PERAMIVIR,382.5,0.878,0.889,0.9748,0.6625,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N.O.O.O
24,CHEMBL1068,OXCARBAZEPINE,252.3,0.8771,0.8703,0.9992,0.6468,NC(=O)N1c2ccccc2CC(=O)c2ccccc21
25,CHEMBL1200903,SECOBARBITAL SODIUM,260.3,0.8761,0.9086,0.9529,0.6573,C=CCC1(C(C)CCC)C(=O)[N-]C(=O)NC1=O.[Na+]
26,CHEMBL1201313,CHLOPHEDIANOL,289.8,0.8736,0.9146,0.9314,0.6761,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl
