Rank,ChEMBL_ID,Name,MW,Original_Indication,Combined_Score,Shape_Score,Size_Score,Allosteric_Score,SMILES
1,CHEMBL21,SULFANILAMIDE,172.2,Bacterial Infections,0.8174,0.8356,0.9926,0.4303,Nc1ccc(S(N)(=O)=O)cc1
2,CHEMBL3,NICOTINE,162.2,Tobacco Use Disorder; Smoking Cessation; Memory Disorders,0.7791,0.7614,0.9566,0.4598,CN1CCC[C@H]1c1cccnc1
3,CHEMBL427,MECHLORETHAMINE,156.1,Hodgkin Disease; Lymphoma; Mycosis Fungoides,0.7739,0.7429,0.9873,0.4092,CN(CCCl)CCCl
4,CHEMBL419,MAFENIDE,186.2,Osteomyelitis,0.748,0.7609,0.8856,0.4472,NCc1ccc(S(N)(=O)=O)cc1
5,CHEMBL459,METHYLDOPA,211.2,"Pre-Eclampsia; Hypertension; Diabetes Mellitus, Type 1",0.7352,0.7274,0.8724,0.4763,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
6,CHEMBL17,DICHLORPHENAMIDE,305.2,"Myotonic Disorders; Hypokalemic Periodic Paralysis; Paralysis, Hyperkalemic Periodic",0.7145,0.5581,0.977,0.5021,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
7,CHEMBL435,HYDROCHLOROTHIAZIDE,297.8,"Hypertension; Cardiovascular Diseases; Kidney Failure, Chronic",0.7127,0.7032,0.8366,0.4838,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
8,CHEMBL14,CARBACHOL,182.7,Presbyopia; Miosis; Cataract,0.709,0.7391,0.8049,0.4571,C[N+](C)(C)CCOC(N)=O.[Cl-]
9,CHEMBL416,METHOXSALEN,216.2,Lymphoma; Mycosis Fungoides; Graft vs Host Disease,0.6967,0.7265,0.7707,0.4889,COc1c2occc2cc2ccc(=O)oc12
10,CHEMBL25,ASPIRIN,180.2,Atrial Fibrillation; Duodenal Ulcer; Fever,0.6961,0.5049,0.9695,0.5317,CC(=O)Oc1ccccc1C(=O)O
11,CHEMBL433,VALPROATE SODIUM,166.2,Epilepsy; Seizures; Neuralgia,0.695,0.4656,1.0,0.5438,CCCC(CCC)C(=O)[O-].[Na+]
12,CHEMBL449,BUTABARBITAL,212.2,Unknown,0.6885,0.3776,0.9868,0.7134,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
13,CHEMBL7863,APROBARBITAL,210.2,Unknown,0.6883,0.471,0.968,0.5634,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
14,CHEMBL40,PHENOBARBITAL,232.2,Epilepsy; Seizures; Neonatal Abstinence Syndrome,0.6877,0.4612,0.964,0.5879,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
15,CHEMBL450,METHARBITAL,198.2,Epilepsy,0.6844,0.4314,0.9916,0.5761,CCC1(CC)C(=O)NC(=O)N(C)C1=O
16,CHEMBL268164,CYCLOBARBITAL,236.3,Unknown,0.6796,0.5147,0.9122,0.5444,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
17,CHEMBL403,SULBACTAM,233.2,Infections; Osteomyelitis; Cleft Palate,0.6767,0.3842,0.9775,0.6604,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
18,CHEMBL267936,MECAMYLAMINE,167.3,Hypertension; Macular Degeneration; Tobacco Use Disorder,0.6658,0.4009,0.9411,0.645,CNC1(C)C2CCC(C2)C1(C)C
19,CHEMBL7728,HEXOBARBITAL,236.3,Unknown,0.6656,0.6381,0.7688,0.5144,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
20,CHEMBL6622,ISOSORBIDE DINITRATE,236.1,Cardiovascular Diseases; Heart Failure; Diabetic Foot,0.6591,0.7331,0.6884,0.4524,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]
