timestamp,pdb_id,resolution_angstrom,experimental_method,publication_doi,organism,chain_count,residue_count,missing_residues,quality_status,rejection_reason,local_file_path
2026-04-21T15:01:04.076675,1UBQ,1.8,X-RAY DIFFRACTION,N/A,1,1,76,0,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1UBQ.pdb
2026-04-21T15:01:04.305202,1L2Y,,SOLUTION NMR,N/A,38,1,20,0,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1L2Y.pdb
2026-04-21T15:01:04.788985,2F21,1.5,X-RAY DIFFRACTION,N/A,1,1,153,16,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/2F21.pdb
2026-04-21T15:01:05.205985,1LYZ,2.0,X-RAY DIFFRACTION,N/A,1,1,129,0,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1LYZ.pdb
2026-04-21T15:01:05.757776,4HHB,1.74,X-RAY DIFFRACTION,N/A,1,4,574,0,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/4HHB.pdb
2026-04-21T15:01:06.453411,1TIM,2.5,X-RAY DIFFRACTION,N/A,1,2,494,0,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1TIM.pdb
2026-04-21T15:01:07.049890,1F88,2.8,X-RAY DIFFRACTION,N/A,1,2,643,60,REJECTED,Resolution 2.80 Å > 2.5 Å threshold,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1F88.pdb
2026-04-21T15:01:07.320823,2RH1,2.4,X-RAY DIFFRACTION,N/A,1,1,442,65,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/2RH1.pdb
2026-04-21T15:01:08.316455,4DKL,2.8,X-RAY DIFFRACTION,N/A,1,1,442,29,REJECTED,Resolution 2.80 Å > 2.5 Å threshold,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/4DKL.pdb
2026-04-21T15:01:08.737180,1MBN,2.0,X-RAY DIFFRACTION,N/A,1,1,153,0,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1MBN.pdb
