name,ra,dec,D,log_eN_noclu,log_eN_maxclu,ux_icrs,uy_icrs,uz_icrs,ux_sg,uy_sg,uz_sg,ra_dir,dec_dir,cos_no_max,dom_name,dom_kind,dom_share,flag
CamB,73.2796,67.0992,3.36,-3.54771,-2.61301,-0.986918,-0.0502851,-0.153181,-0.519298,0.825701,-0.220336,182.917,-8.8113,0.999019,Virgo,cluster,0.500109,robust
D512-2,218.335,26.998,15.2,-3.12722,-2.2066,-0.550488,0.632085,-0.545373,-0.46072,0.20016,-0.864681,131.053,-33.0501,0.999794,Virgo,cluster,0.638482,robust
D564-8,135.722,20.0756,8.79,-3.37461,-2.4562,-0.786988,-0.608961,-0.0990829,-0.588404,0.722776,0.362457,217.732,-5.68636,0.99899,Virgo,cluster,0.606314,robust
D631-7,119.254,14.3966,7.72,-3.51298,-2.58977,-0.834091,-0.544951,-0.0855602,-0.572564,0.764761,0.295486,213.158,-4.90824,0.998327,Virgo,cluster,0.57369,robust
DDO064,147.595,31.4883,6.8,-3.32895,-2.40845,-0.904621,-0.403774,-0.136483,-0.594711,0.79277,0.133549,204.053,-7.8444,0.999352,Virgo,cluster,0.617429,robust
DDO154,193.522,27.1496,4.04,-3.32276,-2.39859,-0.999299,-0.0329251,-0.0178332,-0.401362,0.893196,-0.202756,181.887,-1.02182,0.999544,Virgo,cluster,0.574942,robust
DDO161,195.82,-17.423,7.5,-3.20892,-2.29132,-0.94848,-0.0244865,0.31589,-0.0917935,0.989832,-0.10866,181.479,18.4146,0.999379,Virgo,cluster,0.638384,robust
DDO168,198.617,45.9198,4.25,-3.36079,-2.43445,-0.996804,-0.00675829,-0.0796053,-0.444734,0.861962,-0.243377,180.388,-4.56588,0.999544,Virgo,cluster,0.561059,robust
DDO170,198.974,25.4362,15.4,-2.69719,-1.78831,-0.316432,0.549719,-0.773098,-0.597333,-0.0998586,-0.795752,119.926,-50.6329,0.999938,Virgo,cluster,0.84655,robust
ESO079-G014,15.7144,-65.61,28.7,-3.72822,-2.78367,-0.78981,-0.168996,0.589611,0.154295,0.978496,0.136889,192.078,36.1294,0.995935,RXC J0319.7+4130,cluster,0.124101,soft
ESO116-G012,48.2698,-57.3573,13,-3.80631,-2.8553,-0.787487,0.522246,0.327297,0.165044,0.797763,-0.579944,146.448,19.1048,0.995848,Virgo,cluster,0.323271,soft
ESO444-G084,204.335,-28.0442,4.83,-3.36332,-2.43781,-0.986527,0.0147728,0.162931,-0.224493,0.954665,-0.195491,179.142,9.37704,0.999195,Virgo,cluster,0.545886,robust
ESO563-G021,131.821,-20.0357,60.8,-3.58737,-2.64829,0.197805,-0.974154,0.109076,-0.164346,-0.037669,0.985683,281.478,6.26203,0.997168,RXCJ1036.6-2731,cluster,0.136883,soft
F561-1,122.386,22.5594,66.4,-3.74242,-2.79384,0.361556,-0.86392,-0.350599,-0.461492,-0.392424,0.795631,292.71,-20.524,0.996873,RXC J0319.7+4130,cluster,0.18469,soft
F563-1,133.756,19.7517,48.9,-3.74939,-2.81754,0.312503,-0.865836,-0.390729,-0.515129,-0.365382,0.77533,289.846,-22.9999,0.997012,RXC J0319.7+4130,cluster,0.183127,soft
F563-V1,131.657,18.8903,54,-3.76823,-2.83714,0.378509,-0.873668,-0.305673,-0.419741,-0.387456,0.820789,293.424,-17.7986,0.997775,RXC J0319.7+4130,cluster,0.186071,soft
F563-V2,133.258,18.4383,59.7,-3.8427,-2.92621,0.376731,-0.914969,-0.14459,-0.295672,-0.312835,0.902614,292.379,-8.31352,0.997507,08492189+1904298,gal2mpp,0.300042,soft
F565-V2,144.403,21.7708,51.8,-3.76215,-2.82645,0.280246,-0.78261,-0.555863,-0.641142,-0.41518,0.645417,289.702,-33.7702,0.995626,RXC J0319.7+4130,cluster,0.159051,soft
F567-2,154.485,21.0614,79,-3.63568,-2.67147,0.177676,-0.949253,-0.259518,-0.481078,-0.180018,0.857996,280.602,-15.0415,0.99746,A1367,cluster,0.250426,soft
F568-1,156.425,22.4244,90.7,-3.54773,-2.56456,0.413849,-0.898965,-0.143496,-0.275346,-0.347242,0.896441,294.72,-8.2502,0.999392,A1367,cluster,0.220301,soft
F568-3,156.746,22.2267,82.4,-3.59325,-2.62658,0.127456,-0.953299,-0.273818,-0.513617,-0.140649,0.846413,277.615,-15.8916,0.997862,A1367,cluster,0.280433,soft
F568-V1,161.259,22.0543,80.6,-3.5789,-2.6329,-0.196636,-0.967249,-0.160511,-0.542262,0.200409,0.815958,258.509,-9.23656,0.993749,A1367,cluster,0.451151,soft
F571-8,173.476,19.355,53.3,-3.70346,-2.74386,0.202814,-0.718362,-0.665449,-0.742698,-0.398759,0.53795,285.766,-41.7168,0.995181,RXC J1259.7+2756,cluster,0.242846,soft
F571-V1,171.575,18.8317,80.1,-3.14818,-2.21286,-0.614894,-0.739152,0.27488,-0.245997,0.740994,0.624831,230.243,15.9549,0.999769,A1367,cluster,0.802942,robust
F574-1,189.555,22.2997,96.8,-3.08002,-2.1494,0.803251,-0.347935,0.483455,0.599141,-0.480972,0.640075,336.58,28.9113,0.999551,RXC J1259.7+2756,cluster,0.94466,robust
F574-2,191.697,21.8033,89.1,-3.1275,-2.21011,0.0765165,-0.3231,0.943266,0.731384,0.366652,0.575016,283.323,70.6075,0.999871,RXC J1259.7+2756,cluster,1.13257,robust
F579-V1,218.2,22.7661,89.5,-3.73164,-2.74951,-0.118205,0.781795,-0.612229,-0.305124,-0.231168,-0.923829,98.5978,-37.7508,0.987499,RXC J1259.7+2756,cluster,0.487706,soft
F583-1,239.365,20.6664,35.4,-3.62507,-2.67087,-0.314311,0.758218,-0.571239,-0.351386,-0.0351687,-0.93557,112.516,-34.8366,0.994755,Virgo,cluster,0.161483,soft
F583-4,238.05,18.785,53.3,-3.71245,-2.68249,-0.958594,0.282726,-0.0341268,-0.29239,0.819427,-0.492999,163.567,-1.9557,0.993725,15502269+1856207,gal2mpp,0.690293,robust
IC2574,157.098,68.4121,3.91,-3.34873,-2.44426,0.441762,0.837531,-0.32154,0.174438,-0.61489,-0.769079,62.1903,-18.7561,0.99839,09555243+6940469,gal2mpp,1.54946,robust
IC4202,197.132,24.7008,100.4,-2.70793,-1.79923,0.756392,0.604525,0.249842,0.705353,-0.630223,-0.324494,38.6326,14.4682,0.999733,RXC J1259.7+2756,cluster,0.924981,robust
KK98-251,307.637,60.3547,6.8,-3.58385,-2.64002,-0.919877,0.262065,-0.291803,-0.507009,0.676137,-0.534585,164.098,-16.9659,0.999653,Virgo,cluster,0.435695,soft
NGC0024,2.48559,-24.9631,7.3,-3.76477,-2.80821,-0.946137,0.323624,-0.00963403,-0.252647,0.814823,-0.521759,161.117,-0.551998,0.998581,Virgo,cluster,0.367663,soft
NGC0055,3.72334,-39.1966,2.11,-3.61704,-2.67591,-0.996073,0.0881329,0.00840411,-0.336215,0.88996,-0.308109,174.944,0.481526,0.998641,Virgo,cluster,0.468803,soft
NGC0100,6.01182,16.4864,13.5,-3.87794,-2.9075,-0.809736,0.560687,-0.173081,-0.261443,0.599515,-0.756458,145.3,-9.96701,0.999281,RXC J0319.7+4130,cluster,0.303399,soft
NGC0247,11.7856,-20.7604,3.7,-3.68671,-2.73975,-0.990128,0.137862,-0.0252983,-0.346057,0.865408,-0.362373,172.073,-1.44964,0.998496,Virgo,cluster,0.444616,soft
NGC0289,13.1765,-31.2058,20.8,-3.69927,-2.756,-0.848015,0.303588,0.434401,0.160015,0.918993,-0.360344,160.303,25.7472,0.998229,RXC J0319.7+4130,cluster,0.168512,soft
NGC0300,13.7228,-37.6844,2.08,-3.62104,-2.67997,-0.997461,0.0710235,0.00530165,-0.345249,0.891514,-0.293269,175.927,0.303764,0.998598,Virgo,cluster,0.473799,soft
NGC0801,30.9369,38.2587,80.7,-3.04326,-2.12512,-0.86234,0.113014,-0.493556,-0.710199,0.552209,-0.436672,172.534,-29.5746,0.999422,RXC J0319.7+4130,cluster,0.46455,soft
