#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-16T12:34:24 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-16T12:34:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/416/2840/catalog&-out.max=999999&-out=Name&-out=Ksmag&-out=Vcmb&-out=c11.5&-out=c12.5&-out=M1&-out=M2&-out=Ref&-out=_RA&-out=_DE	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74162840
#Name: J/MNRAS/416/2840
#Title: The 2M++ galaxy redshift catalogue (Lavaux+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/mnras/416/2840	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/416/2840	    IVOID of underlying data collection
#INFO	creator=Lavaux G.	    First author or institution
#INFO	cites=bibcode:2011MNRAS.416.2840L	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/416/2840	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74162840	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_416_2840_catalog:
#Name: J/MNRAS/416/2840/catalog
#Title: *The 2M++ catalogue
#Column	Name	(A16)	Name of the galaxy as given in the 2MASS-XSC database (Cat. VII/233), or ZOA fake galaxy	[ucd=meta.id;meta.main]
#Column	Ksmag	(F5.2)	Apparent magnitude in band K_S as defined in Section 2.2.	[ucd=phot.mag;em.IR.K]
#Column	Vcmb	(I5)	Total apparent velocity in CMB rest frame (G1)	[ucd=phys.veloc;pos.cmb]
#Column	c11.5	(F5.2)	Redshift incompleteness at magnitude K2M++<=11.5	[ucd=stat.fit.param]
#Column	c12.5	(F5.2)	? Redshift incompleteness at magnitude KM2++<=12.5 (2)	[ucd=stat.fit.param]
#Column	M1	(I1)	[0/1] Flag to indicate whether this galaxy lies in the non-exclusion region covered by the SDSS	[ucd=meta.code]
#Column	M2	(I1)	[0/1] Flag to indicate whether this galaxy lies in the non-exclusion region covered by the 6dFGRS	[ucd=meta.code]
#Column	Ref	(A19)	Reference bibcode ("zoa" for fake galaxies in the Zone of Avoidance)	[ucd=meta.bib.bibcode]
#Column	_RA	(F9.5)	Simbad column added by the CDS	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Simbad column added by the CDS	[ucd=pos.eq.dec;meta.main]
Name	Ksmag	Vcmb	c11.5	c12.5	M1	M2	Ref	_RA	_DE
 	mag	km/s	 	 	 	 	 	deg	deg
----------------	-----	-----	-----	-----	-	-	-------------------	---------	---------
01413509-8920041	11.09	 2471	 1.00	 0.00	0	1	20096dF...C...0000J	025.39621	-89.33447
23085574-8859141	11.03	 6179	 1.00	 0.00	0	1	20112MRS.CTIO.0000H	347.23225	-88.98725
14272069-8746200	 9.93	 2306	 1.00	 0.67	0	1	2004AJ....128...16K	216.83621	-87.77222
15433127-8740427	11.96	12702	 1.00	 1.00	0	1	20096dF...C...0000J	235.88029	-87.67853
17373975-8707342	12.05	13580	 1.00	 0.57	0	1	20096dF...C...0000J	264.41562	-87.12617
17423779-8701480	10.99	13496	 1.00	 0.57	0	1	20096dF...C...0000J	265.65746	-87.03000
17354756-8700086	11.53	12987	 1.00	 0.57	0	1	20112MRS.CTIO.0000H	263.94817	-87.00239
00145057-8659351	 9.94	 5076	 1.00	 1.00	0	1	20112MRS.CTIO.0000H	003.71071	-86.99308
02114180-8658003	12.22	18914	 1.00	 0.50	0	1	20096dF...C...0000J	032.92417	-86.96675
20103773-8651282	12.06	13369	 1.00	 0.67	0	1	20096dF...C...0000J	302.65721	-86.85783
07053709-8650277	11.31	12631	 1.00	 0.50	0	1	2006MNRAS.366..267F	106.40454	-86.84103
09153810-8646005	 9.92	 5163	 1.00	 0.00	0	1	20112MRS.CTIO.0000H	138.90875	-86.76681
17153186-8641168	11.38	13519	 1.00	 0.67	0	1	20096dF...C...0000J	258.88275	-86.68800
06054172-8637550	 8.34	 1859	 1.00	 0.78	0	1	20096dF...C...0000J	091.42383	-86.63194
13332317-8632151	11.49	12518	 1.00	 0.00	0	1	20112MRS.CTIO.0000H	203.34654	-86.53753
05184892-8623084	11.81	 4706	 1.00	 0.50	0	1	20096dF...C...0000J	079.70383	-86.38567
01054907-8621184	11.46	 4978	 1.00	 0.83	0	1	20096dF...C...0000J	016.45446	-86.35511
10464693-8617163	10.89	12291	 1.00	 0.00	0	1	20112MRS.CTIO.0000H	161.69554	-86.28786
20494245-8615391	12.11	18193	 1.00	 0.80	0	1	20096dF...C...0000J	312.42687	-86.26086
13054980-8614502	11.33	12099	 1.00	 0.00	0	1	2006MNRAS.366..267F	196.45750	-86.24728
20444782-8613170	12.41	18605	 1.00	 0.80	0	1	20096dF...C...0000J	311.19925	-86.22139
20300214-8611150	11.32	19144	 1.00	 0.80	0	1	20112MRS.CTIO.0000H	307.50892	-86.18750
06562136-8610215	11.59	12458	 1.00	 0.67	0	1	20096dF...C...0000J	104.08900	-86.17264
06464474-8605308	11.03	12423	 1.00	 0.69	0	1	20112MRS.CTIO.0000H	101.68642	-86.09189
08082540-8559459	12.48	12396	 1.00	 0.75	0	1	20096dF...C...0000J	122.10583	-85.99608
23133513-8557344	11.62	18734	 1.00	 0.67	0	1	20112MRS.CTIO.0000H	348.39637	-85.95956
05292500-8555430	11.09	 4715	 1.00	 0.56	0	1	20096dF...C...0000J	082.35417	-85.92861
