#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-16T12:26:23 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-16T12:26:23	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/152/157/table1&-out.max=999&-out=Name&-out=Dist&-out=e_Dist&-out=f_Dist&-out=L3.6&-out=MHI&-out=SimbadName&-out=_RA&-out=_DE	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520157
#Name: J/AJ/152/157
#Title: Mass models for 175 disk galaxies with SPARC (Lelli+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	creator=Lelli F.	    First author or institution
#INFO	cites=bibcode:2016AJ....152..157L	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/157	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520157	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_152_157_table1:
#Name: J/AJ/152/157/table1
#Title: *Galaxy sample
#Column	Name	(a11)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Dist	(F6.2)	[0.98/127.8] Assumed distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0.05/12.8] Mean error on Dist	[ucd=stat.error]
#Column	f_Dist	(I1)	[1/5] Flag giving the distance method (2)	[ucd=meta.code]
#Column	L3.6	(F7.3)	[0/490] Total luminosity at 3.6{mu}m (L_[3.6]_)	[ucd=phys.luminosity;em.IR]
#Column	MHI	(F7.3)	[0.01/40.1] Total HI mass (M_HI_)	[ucd=phys.mass]
#Column	SimbadName	(a13)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Position from SIMBAD database (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position from SIMBAD database (declination part)	[ucd=pos.eq.dec;meta.main]
Name	Dist	e_Dist	f_Dist	L3.6	MHI	SimbadName	_RA	_DE
 	Mpc	Mpc	 	GLsun	GMsun	 	deg	deg
-----------	------	-----	-	-------	-------	-------------	---------	---------
CamB       	  3.36	 0.26	2	  0.075	  0.012	NAME Cam B   	073.27958	+67.09917
D512-2     	 15.20	 4.56	1	  0.325	  0.081	ESDO 512-02  	218.33465	+26.99804
D564-8     	  8.79	 0.28	2	  0.033	  0.029	ESDO 564-8   	135.72232	+20.07561
D631-7     	  7.72	 0.18	2	  0.196	  0.290	ESDO 631-7   	119.25428	+14.39657
DDO064     	  6.80	 2.04	1	  0.157	  0.211	DDO064       	147.59487	+31.48828
DDO154     	  4.04	 0.20	2	  0.053	  0.275	DDO154       	193.52187	+27.14963
DDO161     	  7.50	 2.25	1	  0.548	  1.378	DDO161       	195.81973	-17.42303
DDO168     	  4.25	 0.21	2	  0.191	  0.413	DDO168       	198.61666	+45.91976
DDO170     	 15.40	 4.62	1	  0.543	  0.735	DDO170       	198.97408	+25.43615
ESO079-G014	 28.70	 7.17	1	 51.733	  3.140	ESO079-G014  	015.71436	-65.60999
ESO116-G012	 13.00	 3.90	1	  4.292	  1.083	ESO116-G012  	048.26977	-57.35725
ESO444-G084	  4.83	 0.48	2	  0.071	  0.135	ESO444-G084  	204.33500	-28.04417
ESO563-G021	 60.80	 9.10	1	311.177	 24.298	ESO563-G021  	131.82075	-20.03566
F561-1     	 66.40	10.00	1	  4.077	  1.622	LSB F561-1   	122.38583	+22.55944
F563-1     	 48.90	 9.80	1	  1.903	  3.200	LSB F563-1   	133.75583	+19.75167
F563-V1    	 54.00	10.80	1	  1.540	  0.610	VLSB F563-V01	131.65750	+18.89028
F563-V2    	 59.70	11.90	1	  2.986	  2.169	VLSB F563-V02	133.25833	+18.43833
F565-V2    	 51.80	10.40	1	  0.559	  0.699	VLSB F565-V02	144.40250	+21.77083
F567-2     	 79.00	11.80	1	  2.134	  2.449	LSB F567-2   	154.48458	+21.06139
F568-1     	 90.70	 9.70	1	  6.252	  4.498	LSB F568-1   	156.42542	+22.42444
F568-3     	 82.40	 8.24	1	  8.346	  3.195	LSB F568-3   	156.74583	+22.22667
F568-V1    	 80.60	 8.06	1	  3.825	  2.491	VLSB F568-V01	161.25860	+22.05432
F571-8     	 53.30	10.70	1	 10.164	  1.782	LSB F571-8   	173.47625	+19.35500
F571-V1    	 80.10	 8.00	1	  1.849	  1.217	VLSB F571-V01	171.57500	+18.83167
F574-1     	 96.80	 9.68	1	  6.537	  3.524	LSB F574-1   	189.55542	+22.29972
F574-2     	 89.10	 8.91	1	  2.877	  1.701	LSB F574-2   	191.69708	+21.80333
