| row | canonical | alt | registered (can/alt) | unit | lane | formula | verdict |
|---|---|---|---|---|---|---|---|
| a0 (canonical footing) | 9.36231e-11 | 9.36231e-11 | 9.3619e-11 / 9.3619e-11 | m/s^2 | G031 PART 4; G002 V7 (certified) | a0 = s_DE/2 = (c/2) sqrt(G rho_Lambda), kappa = 1/2 | PASS (canon +0.00% / alt +0.00%) |
| a0 (alt footing) | 1.1279e-10 | 1.1279e-10 | 1.1279e-10 / 1.1279e-10 | m/s^2 | G031 PART 4; L180 (certified) | a0 = s_DE/2 with kappa = 0.6 (the certified alternative footing) | PASS (canon +0.00% / alt +0.00%) |
| s = 2 a0 (canonical) | 1.87246e-10 | 2.2558e-10 | 1.8725e-10 / 2.2558e-10 | m/s^2 | L240 (s_DE = 1.873e-10, s_CRIT footing); G002 V7 | s = 2 a0 = c sqrt(G rho_Lambda) (canonical); alt footing 2 x 1.1279e-10 | PASS (canon +0.00% / alt +0.00%) |
| rho_Lambda (canonical) | 5.84518e-27 | 8.48347e-27 | 5.8447e-27 / 8.4835e-27 | kg/m^3 | G031 V1/PART 4 (registered prints 5.8447e-27 / 8.4835e-27) | rho_Lambda = 4 a0^2/(G c^2) | PASS (canon +0.01% / alt +0.00%) |
| Lambda_geom (canonical footing) | 1.09089e-52 | 1.58328e-52 | 1.0908e-52 / 1.5833e-52 | 1/m^2 | G031 PART 4 (registered prints 1.0908e-52 / 1.5833e-52) | Lambda_geom = 32 pi a0^2/c^4 = 8 pi G rho_Lambda/c^2 | PASS (canon +0.01% / alt +0.00%) |
| Z = sqrt(8 pi Omega_L / 3) | 2.39555 | 2.39555 | 2.3955 / 2.3955 | - | G019 V3 (exact, Omega_L = 0.685) | Z = sqrt(8 pi Omega_Lambda/3), the horizon-virial / framework-scale ratio | PASS (canon +0.00% / alt +0.00%) |
| r_M (MW baryons 6.5e10 Msun) | 9.83834 | 8.96351 | 9.84 / 8.96 | kpc | G003 V6 chain; G031 PART 4 (r_M = sqrt(G Mb/a0)) | r_M = sqrt(G Mb / a0) | PASS (canon +0.02% / alt +0.04%) |
| sigma_virial (MW baryons 6.5e10 Msun) | 119.21 | 124.892 | 119.2 / 124.9 | km/s | G031 V9/PART 4 (G031_gr_fluid_action.out, the Zimmerman temperature) | sigma^2 = G Mb/(2 r_M) = (1/2) sqrt(G Mb a0); sigma in km/s | PASS (canon +0.01% / alt +0.01%) |
| v_flat (MW baryons 6.5e10 Msun) | 168.589 | 176.625 | 169 / 177 | km/s | G031 V5/PART 4 (registered prints 169 / 177 km/s) | v_flat = (G Mb a0)^{1/4} (the deep-MOND BTFR amplitude) | PASS (canon +0.24% / alt +0.21%) |
