muse_id z r_kpc incl PA Mstar eMstar SFR eSFR
3 0.621661 5.308698095035334 51.93525905510012 52.40999984741211 10.08 0.01 0.422 0.115
4 0.76490206 5.54088459426078 37.156182814207504 64.16999816894531 10.05 0.05 0.907 0.145
7 0.61969745 4.665044304482209 37.156182814207504 43.189998626708984 9.417 0.035 0.517 0.23
11 1.0381529 6.134305223592834 59.24200227911282 -74.87999725341797 10.25 0.06 1.097 0.175
12 0.9969102 6.911241180891997 57.411184882060894 -72.4800033569336 10.48 0.07 -0.043 1.745
13 0.9970437 3.4973645787192438 37.156182814207504 -12.880000114440918 9.997 0.063 0.562 0.25
14 0.76511943 3.9251926421033096 37.156182814207504 69.5999984741211 9.302 0.125 0.257 0.055
15 0.6674239 5.766197845373288 83.43995988667604 32.56999969482422 10.23 0.0 -0.003 0.55
17 0.84404457 1.7500252306925006 57.411184882060894 59.970001220703125 9.352 0.02 0.177 0.09
21 0.89374506 3.7225882249828888 62.002337880731346 83.4000015258789 9.522 0.1 0.177 0.29
25 0.83223546 3.801222405314973 74.59928154562773 -16.610000610351562 9.257 0.065 -0.038 0.08
26 1.1348959 3.1632344668904215 43.68074381776564 54.790000915527344 9.757 0.1 0.602 0.28
28 0.7668062 1.0013278790971643 41.828669233991945 -59.20000076293945 9.852 0.075 -0.143 0.33
32 1.3067555 2.3531313730555783 64.79057904529591 -26.309999465942383 9.352 0.16 0.497 0.205
34 1.0377431 2.4367083726616268 57.411184882060894 -83.2699966430664 8.877 0.2 0.502 0.205
36 1.2160971 1.5553742847287786 33.36525772182935 -15.970000267028809 9.977 0.053 0.412 0.21
37 0.9813552 3.1523216441003012 57.411184882060894 -69.87000274658203 8.872 0.06 -0.098 0.405
38 0.76539826 1.7704160163883342 69.55076354117158 1.5800000429153442 8.627 0.03 -0.488 0.0
40 0.9798812 1.160957611575059 33.36525772182935 -81.91999816894531 9.102 0.095 -0.228 0.04
43 1.0998162 2.465373748358008 43.68074381776564 80.48999786376953 9.317 0.02 -0.018 0.11
45 0.83187884 5.146781983557327 90.0 59.09000015258789 9.032 0.095 -0.093 0.48
46 1.4135957 2.368215060019835 52.84772515973276 41.790000915527344 9.302 0.205 0.267 0.06
48 0.46805516 0.6138143952615712 39.96749566015436 -66.44000244140625 7.992 0.09 -1.193 0.345
56 1.3067205 1.4815971798638836 51.022341481448606 -70.3499984741211 9.022 0.005 -0.118 0.02
65 1.3072032 3.7477091656008614 69.55076354117158 -26.979999542236328 8.937 0.14 -0.073 0.1
66 0.95428216 1.5652057145129947 49.19437970442268 -23.299999237060547 8.447 0.08 -0.418 0.405
69 0.5438653 1.594554344188989 81.83861014787196 31.579999923706055 7.852 0.1 -0.713 0.42
72 1.0970231 3.6538102419821468 54.67216748560472 -21.989999771118164 8.792 0.075 -0.468 0.135
84 1.0963908 1.4443726887748571 69.55076354117158 74.31999969482422 8.842 0.11 -0.638 0.055
88 1.3209655 0.34898311650991676 36.213292909607006 -2.5 9.037 0.02 -0.333 0.01
89 1.0964006 1.1894853883262646 53.759952677878935 -85.47000122070312 8.752 0.07 -0.678 0.085
91 0.7189463 10.5283948350013 58.32590431138751 65.8499984741211 7.802 0.0 -1.018 0.0
92 1.4138048 1.5788243934436061 74.59928154562773 86.73999786376953 8.517 0.185 -0.303 0.07
93 0.61806136 1.906164440588813 70.52951109757946 61.400001525878906 7.852 0.185 -0.568 0.38
95 1.0197178 2.1762375133270626 79.14203723594564 -36.36000061035156 8.952 0.095 -0.218 0.31
96 0.62188864 0.7079422358436392 39.96749566015436 15.350000381469727 8.197 0.11 -0.958 0.765
116 1.2229768 1.2106621436571008 54.67216748560472 58.61000061035156 8.702 0.07 -0.653 0.135
181 0.7074188 0.6725812149447657 66.67314343624743 87.94000244140625 7.502 0.04 -1.618 0.03
859 0.45588568 9.012094670486958 39.96749566015436 -87.26000213623047 10.89 0.12 0.322 0.265
863 0.34579465 5.009370329213746 66.67314343624743 37.88999938964844 9.537 0.06 0.827 0.25
864 0.6686628 5.113242756286655 42.75577060143398 51.77000045776367 10.99 0.0 1.937 0.0
867 0.4354745 1.4141004360702254 31.448982536057542 -88.31999969482422 10.44 0.03 0.467 0.17
875 0.6666989 5.106969858744865 48.278962954227964 -13.199999809265137 10.12 0.08 1.007 0.125
876 0.33338323 2.0959610642959796 79.14203723594564 80.0 9.972 0.058 -0.298 0.19
884 0.7371281 1.4424864845111758 37.156182814207504 -40.56999969482422 10.07 0.07 0.832 0.05
887 0.42449337 4.005391560779798 70.52951109757946 -83.48999786376953 9.882 0.095 0.077 0.285
888 0.34341726 2.595211140960803 45.524898852128466 -46.11000061035156 9.442 0.105 -0.228 0.09
896 0.33684304 5.677710030229589 46.444384239052354 -37.529998779296875 8.922 0.115 -0.673 0.31
899 1.0967546 7.477220217299355 53.759952677878935 -40.66999816894531 10.47 0.1 1.257 0.145
901 0.52456486 3.5879172526565566 80.43128749989607 -84.58000183105469 9.452 0.035 -0.283 0.095
905 0.6673476 3.2113998288407886 60.15983908650999 -89.04000091552734 10.32 0.1 1.642 0.26
906 0.45851293 2.8519490061835464 57.411184882060894 -71.06999969482422 8.767 0.09 -0.013 0.16
909 0.7374525 4.783770032489498 41.828669233991945 -36.5 9.247 0.05 0.147 0.13
910 0.28003624 3.0111642127892786 65.72897188909893 -58.36000061035156 8.562 0.135 -0.743 0.26
911 0.6697986 4.897563553600425 89.99653438805784 -78.1500015258789 9.597 0.09 1.142 0.315
915 0.5228885 6.51276379274056 79.14203723594564 -70.48999786376953 8.957 0.045 0.032 0.215
916 1.2884591 5.743618968950983 40.899288580848925 5.619999885559082 10.35 0.04 0.847 0.045
918 0.43414354 2.940818286371795 54.67216748560472 -27.360000610351562 8.912 0.13 -0.338 0.2
925 1.295962 4.9634724189293316 47.36235533351673 4.010000228881836 10.4 0.05 1.137 0.08
926 0.66720974 1.8974815828264289 45.524898852128466 -70.8499984741211 9.257 0.12 0.062 0.275
927 0.52271396 1.5627947753657165 33.36525772182935 14.779999732971191 9.422 0.14 0.382 0.45
929 1.0959085 3.568153769256651 32.40897743859657 -40.880001068115234 9.387 0.145 0.722 0.28
931 0.31023577 3.0431213258615 77.9327286514766 -14.170000076293945 8.427 0.06 -0.703 0.17
933 0.96066546 4.868626858327876 46.444384239052354 15.399999618530273 9.602 0.08 0.227 0.04
934 1.0959116 3.8230239554396266 72.52763898897012 -75.58999633789062 9.877 0.025 0.457 0.03
936 0.66574275 3.57273374948845 35.26726679699608 -77.6500015258789 9.252 0.06 -0.113 0.13
937 0.734574 5.610787634466918 89.99653438805784 -64.13999938964844 9.347 0.075 0.177 0.09
939 1.2965388 5.66036481258171 69.55076354117158 51.9900016784668 10.14 0.12 0.927 0.1
940 0.8939183 1.294885280445074 45.524898852128466 57.599998474121094 10.2 0.01 0.307 0.49
941 0.6706303 2.413477650112597 56.49751534304808 -24.3700008392334 9.252 0.07 -0.153 0.115
943 0.6638881 4.6609742633106475 73.55244109634398 74.9800033569336 9.282 0.055 0.002 0.195
944 0.32327893 0.9778235069807525 47.36235533351673 15.390000343322754 8.292 0.09 -0.893 0.345
945 0.6050775 2.097661142393453 58.32590431138751 -8.4399995803833 8.742 0.21 -0.408 0.155
947 0.95294607 4.693930872744595 56.49751534304808 45.59000015258789 9.352 0.085 0.207 0.09
948 0.7353922 2.579008804754735 69.55076354117158 8.380000114440918 9.892 0.035 0.112 0.59
