name,flag,dom_share,firing,n_real,cone68_deg,cone90_deg,median_theta_deg
CamB,robust,0.5001,no,200,6.607,12.04,4.758
D512-2,robust,0.6385,no,200,16.34,23.11,11.97
D564-8,robust,0.6063,no,200,9.196,20.74,6.695
D631-7,robust,0.5737,no,200,8.379,16.96,6.157
DDO064,robust,0.6174,no,200,9.162,18.95,6.328
DDO154,robust,0.5749,no,200,6.426,15.29,3.859
DDO161,robust,0.6384,no,200,20.04,40.39,12.68
DDO168,robust,0.5611,no,200,9.19,22.06,6.01
DDO170,robust,0.8466,no,200,29.87,38.15,23.61
ESO079-G014,soft,0.1241,no,200,7.174,9.72,5.418
ESO116-G012,soft,0.3233,no,200,20.91,30.29,16.65
ESO444-G084,robust,0.5459,no,200,13.48,30.32,8.575
ESO563-G021,soft,0.1369,no,200,5.985,12.74,4.773
F561-1,soft,0.1847,no,200,10.84,15.69,7.469
F563-1,soft,0.1831,no,200,7.476,10.66,5.9
F563-V1,soft,0.1861,no,200,10.22,20.15,8.004
F563-V2,soft,0.3,no,200,15.01,49.92,11.22
F565-V2,soft,0.1591,no,200,8.801,24.04,6.646
F567-2,soft,0.2504,no,200,5.586,8.189,4.225
F568-1,soft,0.2203,no,200,7.981,10.2,6.83
F568-3,soft,0.2804,no,200,6.658,9.412,4.674
F568-V1,soft,0.4512,no,200,21.09,74.19,15.19
F571-8,soft,0.2428,no,200,12.22,19.52,8.453
F571-V1,robust,0.8029,no,200,11.51,32.08,7
F574-1,robust,0.9447,no,200,18.44,30.11,12.89
F574-2,robust,1.133,no,200,17.89,32.21,11.78
F579-V1,soft,0.4877,no,200,9.711,14.85,7.638
F583-1,soft,0.1615,no,200,4.874,6.77,3.956
F583-4,robust,0.6903,no,200,51.01,56.65,47.7
IC2574,robust,1.549,no,200,116.3,118.3,114.7
IC4202,robust,0.925,no,200,20,44.24,13.86
KK98-251,soft,0.4357,no,200,5.626,9.458,4.176
NGC0024,soft,0.3677,no,200,10.55,14.17,8.876
NGC0055,soft,0.4688,no,200,8.272,11.83,6.176
NGC0100,soft,0.3034,no,200,12.06,18.03,9.278
NGC0247,soft,0.4446,no,200,9.077,12.84,7.327
NGC0289,soft,0.1685,no,200,9.864,14.26,7.724
NGC0300,soft,0.4738,no,200,8.343,11.76,6.257
NGC0801,soft,0.4646,no,200,15.44,33.22,9.915
NGC0891,soft,0.4558,no,200,11.68,19.83,8.37
NGC1003,soft,0.4776,no,200,15.72,36.38,11.74
NGC1090,soft,0.4551,no,200,15.89,25.54,11.19
NGC1705,robust,0.5055,no,200,12.01,20.31,8.972
NGC2366,soft,0.4889,no,200,8.104,12.92,6.072
NGC2403,robust,0.5052,no,200,7.849,12.81,6.004
NGC2683,robust,0.5874,no,200,8.029,18.81,5.58
NGC2841,robust,0.5508,yes,200,8.656,15.97,6.619
NGC2903,robust,0.6142,yes,200,9.676,19.03,6.315
NGC2915,soft,0.486,no,200,9.51,18.36,7.014
NGC2955,soft,0.2181,no,200,17.32,31.58,12.41
NGC2976,robust,0.7719,no,200,53.63,68.35,50.62
NGC2998,robust,0.8087,no,200,78.96,85.55,74.34
NGC3109,robust,0.5245,no,200,7.778,14.75,5.714
NGC3198,robust,0.5984,yes,200,10.69,19.85,7.914
NGC3521,robust,0.6735,no,200,15.81,34.41,9.658
NGC3726,robust,0.5755,yes,200,16,23.59,12.81
NGC3741,robust,0.5633,no,200,6.519,13.8,4.728
NGC3769,robust,0.5678,no,200,17.9,27.22,13.42
NGC3877,robust,0.5737,no,200,18.26,28.87,14.01
NGC3893,robust,0.5594,no,200,21.71,29.32,15.39
NGC3917,soft,0.4841,no,200,30.32,58.71,22.05
NGC3949,robust,0.5635,no,200,21.32,31.73,16.19
NGC3953,robust,0.5207,no,200,26.13,44.35,19.2
NGC3972,robust,0.521,no,200,29.31,54.23,22.43
NGC3992,soft,0.4437,yes,200,10.94,17.97,8.491
NGC4010,robust,0.5708,no,200,19.79,30.34,14.7
