study,year,arxiv,survey,z_eff,z_range,N,relation,delta_b_dex_mass_axis,stat_err_dex,sys_est_dex,sys_terms,local_ref,slope_fixed,velocity_def,pressure_support,tracer,gbar_over_a0_typ,dilution_typ,usable_for_fork,fork_pred_canonicalLambda,fork_pred_canonicalCPL,fork_pred_alt_undiluted,fork_pred_alt_diluted,lcdm_halo_term,notes
Ubler+17,2017,1703.04321,KMOS3D,0.9,0.7-1.1,65,sTFR,-0.44,0.04,0.30,"M/L 0.15 (BC03+Chabrier); local-comparison velocity-convention mismatch ~0.1-0.2; selection (vrot/sig0>sqrt4.4)",Reyes+11,3.60,vcirc_max~2.2Rd,sigma0-corrected (2sig0^2 r/Rd),Halpha,1.7,0.23,partial,0.000,-0.009,-0.229,-0.053,-0.316,"authors flag possible underestimated systematics"
Ubler+17,2017,1703.04321,KMOS3D,0.9,0.7-1.1,65,bTFR,-0.44,0.04,0.35,"gas 0.20 (Tacconi scaling not measured); M/L 0.15; convention mismatch",Lelli+16b,3.75,vcirc_max~2.2Rd,sigma0-corrected,Halpha,1.7,0.23,partial,0.000,-0.009,-0.229,-0.053,-0.316,"disagrees with Jeanneau+26 0.00+-0.06 at same z"
Tiley+16,2016,1604.06103,KROSS,0.9,0.8-1.0,56,sTFR,-0.41,0.08,0.30,"selection V80/sigma>3; no PS correction; M/L",local fit,free/fixed,v80,none (strict rotators),Halpha,0.8,0.39,partial,0.000,-0.009,-0.229,-0.090,-0.316,"K-band TFR: no evolution in same paper"
Tiley+19,2019,1810.07202,KROSS vs matched SAMI,1.0,0.6-1.0,~250,sTFR,-0.09,0.06,0.20,"data-quality matching moves local rel by -0.50+-0.10 mag; M/L 0.2 uniform; no PS correction",matched SAMI identical pipeline,fixed local,v2.2 (1.3Re) beam-corr,none,Halpha,0.8,0.39,partial,0.000,-0.009,-0.229,-0.090,-0.316,"rot-dom (v/sig>1) subsample: +0.02+-0.06; the no-evolution counter-claim"
Pelliccia+17,2017,1606.01934,HR-COSMOS,0.9,0.75-1.0,~80,sTFR,0.0,,,"slit spectroscopy; qualitative 'mild if any' per Jeanneau+26",local,fixed,v2.2 slit,none,Halpha,,,no,0.000,-0.009,-0.229,,-0.316,"qualitative row"
Jeanneau+26,2026,2603.28856,MUSE-DARK II (lensed),0.9,0.56-1.37,95,sTFR,-0.42,0.05,0.20,"M* 0.15 (SED+magnification); robustness scan +-0.05; local-ref choice (see ManceraPina disagreement)",Reyes+11,3.70,vc(1.8Re) 3D GalPaK3D+lensing,Dalcanton-Stilp,OII,0.5,0.55,partial,0.000,-0.009,-0.229,-0.126,-0.316,"lowest-mass sample in hand M*=10^8.1-10.3"
Jeanneau+26,2026,2603.28856,MUSE-DARK II (lensed),0.9,0.56-1.37,95,bTFR,0.00,0.06,0.27,"gas NOT measured: Tacconi+20 molecular + NeutralUniverseMachine HI (0.8 dex scatter); local bTFR ZP +-0.16; convention +-0.06",Lelli+19,3.14,vc(2Re) 3D,Dalcanton-Stilp,OII,0.5,0.55,YES-best-in-hand,0.000,-0.009,-0.229,-0.126,-0.316,"cleanest baryonic zero-point in hand; honest band 0.00+-0.27"
ManceraPina+26,2026,2511.08685,KROSS+KMOS3D reproc. w/ JWST imaging,0.9,0.8-1.0,43,sTFR,+0.10,0.07,0.25,"local-ref choice (Marasco+25 bends at low mass) drives sign; AD corr 0.02-0.09 in logV; Halpha tracer reliability flagged by authors",Marasco+25,free (3.82 vs 5.21 local),Vcirc_flat (>2Re),asymmetric-drift (beta=1),Halpha,1.0,0.33,partial,0.000,-0.009,-0.229,-0.076,-0.316,"OPPOSITE SIGN to rows above; ~2sigma shallower slope claim"
Ubler+17,2017,1703.04321,KMOS3D,2.3,1.9-2.7,46,sTFR,-0.42,0.05,0.30,"as z0.9 row",Reyes+11,3.60,vcirc_max,sigma0-corrected,Halpha,2.3,0.18,partial,0.000,0.086,-0.536,-0.095,-0.652,
Ubler+17,2017,1703.04321,KMOS3D,2.3,1.9-2.7,46,bTFR,-0.27,0.05,0.35,"gas 0.20 scaling; M/L 0.15; convention",Lelli+16b,3.75,vcirc_max,sigma0-corrected,Halpha,2.3,0.18,partial,0.000,0.086,-0.536,-0.095,-0.652,"agrees with Amvrosiadis+25 -0.26+-0.19"
