z,gbar_over_a0canon,pred_ALT_own_a0_diluted,pred_ALT_undiluted,lcdm_halo_undiluted,gap_diluted,gap_undiluted
0.8502,0.239,-0.1772,-0.2172,-0.3012,-0.1240,-0.0840
1.2839,0.078,-0.3039,-0.3214,-0.4243,-0.1204,-0.1029
1.2687,0.371,-0.2442,-0.3179,-0.4203,-0.1760,-0.1024
1.0961,0.057,-0.2650,-0.2769,-0.3733,-0.1084,-0.0964
0.6529,0.456,-0.1128,-0.1689,-0.2386,-0.1257,-0.0696
1.1040,0.175,-0.2436,-0.2788,-0.3755,-0.1319,-0.0967
1.3432,0.303,-0.2715,-0.3352,-0.4397,-0.1682,-0.1045
1.3463,0.097,-0.3138,-0.3359,-0.4405,-0.1267,-0.1046
0.6056,0.283,-0.1207,-0.1573,-0.2228,-0.1022,-0.0655
0.6879,0.329,-0.1321,-0.1775,-0.2500,-0.1179,-0.0725
0.7798,0.062,-0.1891,-0.2000,-0.2794,-0.0903,-0.0794
1.1612,0.044,-0.2830,-0.2925,-0.3914,-0.1084,-0.0989
1.3445,0.386,-0.2570,-0.3355,-0.4400,-0.1830,-0.1045
0.6069,0.052,-0.1499,-0.1577,-0.2233,-0.0734,-0.0656
1.1612,0.246,-0.2431,-0.2925,-0.3914,-0.1483,-0.0989
1.3670,0.034,-0.3328,-0.3407,-0.4458,-0.1130,-0.1051
1.3401,0.004,-0.3335,-0.3345,-0.4389,-0.1054,-0.1044
1.0465,0.160,-0.2335,-0.2650,-0.3593,-0.1258,-0.0943
1.0473,0.156,-0.2344,-0.2652,-0.3595,-0.1251,-0.0944
1.3398,0.082,-0.3157,-0.3344,-0.4388,-0.1231,-0.1044
1.2562,0.398,-0.2372,-0.3149,-0.4170,-0.1798,-0.1020
1.4497,0.158,-0.3234,-0.3596,-0.4666,-0.1432,-0.1070
1.2774,0.068,-0.3045,-0.3199,-0.4226,-0.1180,-0.1027
0.5802,0.254,-0.1186,-0.1511,-0.2143,-0.0957,-0.0632
1.1967,0.179,-0.2634,-0.3009,-0.4011,-0.1376,-0.1001
1.0603,0.031,-0.2618,-0.2683,-0.3632,-0.1014,-0.0949
1.0463,0.019,-0.2610,-0.2649,-0.3592,-0.0982,-0.0943
1.0616,0.207,-0.2284,-0.2686,-0.3636,-0.1351,-0.0950
1.0345,0.009,-0.2602,-0.2621,-0.3559,-0.0957,-0.0938
1.2033,0.245,-0.2524,-0.3025,-0.4028,-0.1504,-0.1004
0.8040,0.004,-0.2053,-0.2059,-0.2870,-0.0817,-0.0810
1.2728,0.067,-0.3037,-0.3188,-0.4214,-0.1176,-0.1025
1.0834,0.489,-0.1900,-0.2739,-0.3698,-0.1798,-0.0959
1.0502,0.411,-0.1940,-0.2659,-0.3603,-0.1663,-0.0945
0.5478,0.312,-0.1063,-0.1432,-0.2033,-0.0970,-0.0601
0.6245,0.192,-0.1350,-0.1620,-0.2292,-0.0942,-0.0672
1.2941,0.106,-0.3002,-0.3238,-0.4270,-0.1268,-0.1031
1.0339,0.054,-0.2508,-0.2619,-0.3557,-0.1049,-0.0938
1.0599,0.234,-0.2234,-0.2682,-0.3631,-0.1397,-0.0949
1.0319,0.325,-0.2027,-0.2614,-0.3551,-0.1524,-0.0937
0.8414,0.023,-0.2109,-0.2151,-0.2985,-0.0876,-0.0834
0.6031,0.155,-0.1350,-0.1567,-0.2220,-0.0870,-0.0653
0.5474,0.213,-0.1163,-0.1431,-0.2032,-0.0869,-0.0601
0.9610,0.072,-0.2303,-0.2443,-0.3345,-0.1043,-0.0903
0.7830,0.143,-0.1768,-0.2008,-0.2804,-0.1036,-0.0796
0.7288,0.001,-0.1874,-0.1875,-0.2632,-0.0758,-0.0757
1.2280,0.114,-0.2835,-0.3083,-0.4095,-0.1260,-0.1012
1.4285,0.073,-0.3377,-0.3548,-0.4613,-0.1236,-0.1065
1.2281,0.004,-0.3075,-0.3083,-0.4095,-0.1020,-0.1012
1.0351,0.001,-0.2620,-0.2622,-0.3560,-0.0940,-0.0938
1.1227,0.092,-0.2639,-0.2833,-0.3808,-0.1169,-0.0975
0.6167,0.460,-0.1060,-0.1600,-0.2266,-0.1205,-0.0665
1.1226,0.014,-0.2802,-0.2833,-0.3807,-0.1006,-0.0975
0.8705,0.373,-0.1632,-0.2222,-0.3074,-0.1442,-0.0852
0.7712,0.326,-0.1491,-0.1979,-0.2767,-0.1276,-0.0788
1.3030,0.011,-0.3233,-0.3259,-0.4293,-0.1060,-0.1034
0.6724,0.468,-0.1153,-0.1737,-0.2449,-0.1296,-0.0713
0.8442,0.218,-0.1790,-0.2158,-0.2994,-0.1204,-0.0836
1.2325,0.205,-0.2663,-0.3094,-0.4107,-0.1443,-0.1013
1.4293,0.058,-0.3412,-0.3550,-0.4615,-0.1203,-0.1065
0.8467,0.227,-0.1781,-0.2164,-0.3002,-0.1220,-0.0838
