recno,Cluster,IdR21,IdHFFDS,RAJ2000,DEJ2000,zR21,muR21,S/NMax,RPSF,Reff,Incl,FB/T,b_logM*,logM*,B_logM*,b_logSFR,logSFR,B_logSFR,logMHI,logMMol,logMBar,logV1_8,s_logV1_8,logV2_0,s_logV2_0,sigma0,s_sigma0,SimbadName
1,"A2744",2526,"1322",3.600154,-30.413618,1.17435,2.825397,23.073866,0.289348,0.142364,61.104834,0.1281,8.595616,8.704139,8.834826,0.335,0.405862,0.477908,9.703925,9.391829,9.904631,1.901178,0.019965,1.93491,0.025315,40.342843,1.080534,"[RCL2021] A2744       2526"
2,"A2744",2709,"1708",3.57697,-30.413462,1.366681,1.735082,25.648929,0.28047,0.344966,55.978654,0.0,10.206627,10.231774,10.262179,-2.521,-1.134818,-0.431724,6.067628,8.993618,10.256201,2.387816,0.010093,2.396835,0.01087,61.759583,1.314812,"[RCL2021] A2744       2709"
3,"A2744",2885,"1623",3.587053,-30.412422,0.850171,2.495482,9.891052,0.304312,0.54389,53.853882,0.3608,9.027158,9.091013,9.145479,-0.4257,-0.222375,-0.025336,8.599514,9.081098,9.452723,2.051548,0.057076,2.058339,0.062425,18.945448,5.358654,"[RCL2021] A2744       2885"
4,"A2744",2962,"1670",3.587071,-30.411255,1.283886,3.659673,10.654344,0.284292,0.192681,77.987791,4.0E-6,8.281247,8.359914,8.438512,-0.6159,-0.452985,-0.282069,8.659061,8.897083,9.168543,1.672912,0.061995,1.715818,0.058928,33.504794,1.913937,"[RCL2021] A2744       2962"
5,"A2744",3517,"2019",3.57891,-30.410023,1.268654,2.344288,16.047192,0.284995,0.19087,90.0,0.2234,8.762619,8.796393,8.827237,0.3446,0.460517,0.582191,9.674417,9.461075,9.916037,1.887013,0.037159,1.908593,0.043175,43.307545,1.334063,"[RCL2021] A2744       3517"
6,"A2744",4365,"2713",3.599709,-30.406566,1.096095,3.85203,14.776783,0.29296,0.184659,60.612313,3.0E-6,8.284261,8.352963,8.387842,-0.6131,-0.447939,-0.295946,8.735129,8.853972,9.171219,1.625325,0.068165,1.664374,0.06144,24.393484,2.240763,"[RCL2021] A2744       4365"
7,"A2744",4888,"3029",3.575753,-30.40538,0.652874,1.566888,33.828777,0.313419,0.391234,78.740567,0.3709,9.495408,9.560896,9.625571,0.3404,0.481672,0.632007,9.216836,9.497996,9.92601,2.040975,0.010537,2.053395,0.012147,41.583458,1.416653,"[RCL2021] A2744       4888"
8,"A2744",5460,"3128",3.598667,-30.404936,1.104013,3.841156,9.87132,0.292595,0.214084,68.783359,4.0E-6,8.176637,8.281192,8.393069,-0.3428,-0.226339,-0.10098,9.093119,8.951885,9.366485,1.821872,0.033742,1.830496,0.038137,14.947111,2.830676,"[RCL2021] A2744       5460"
9,"A2744",6615,"4039",3.576958,-30.400847,1.343154,2.553274,32.073633,0.281556,0.15334,31.359801,2.0E-6,8.341703,8.41775,8.503186,0.3142,0.424795,0.519337,9.862817,9.370016,9.995525,1.826044,0.021509,1.834853,0.024775,37.368292,0.637634,"[RCL2021] A2744       6615"
10,"A2744",6921,"4391",3.57457,-30.40011,1.346293,2.264448,9.481597,0.281411,0.465112,39.040179,3.42E-4,9.407361,9.466901,9.52387,0.4243,0.613787,0.828242,9.235901,9.707512,9.98905,1.927472,0.02905,1.933716,0.031256,26.502604,1.903838,"[RCL2021] A2744       6921"
11,"A2744",7826,"4696",3.592634,-30.397118,0.605567,2.125449,13.169775,0.315603,0.320971,76.22141,2.0E-6,8.67567,8.75923,8.835245,0.02073,0.170599,0.298436,9.54998,9.106311,9.732374,1.922652,0.023374,1.937627,0.026549,18.899554,5.241267,"[RCL2021] A2744       7826"
12,"A2744",8184,"5036",3.594752,-30.397148,0.944509,2.441187,12.163503,0.299957,0.627458,69.495189,0.03667,10.441395,10.472383,10.511856,0.05228,0.182953,0.304404,7.99065,9.656171,10.535333,2.271913,0.004752,2.276156,0.005042,35.417502,1.1085,"[RCL2021] A2744       8184"
13,"A2744",8235,"4746",3.600358,-30.39616,0.946811,1.763308,17.001108,0.299851,0.979976,90.0,0.0,9.81385,9.854864,9.894849,-0.7728,-0.371606,-0.093525,7.584664,9.221282,9.947537,2.476268,0.003127,2.482089,0.003297,40.063433,2.253052,"[RCL2021] A2744       8235"
14,"A2744",8334,"4894",3.579086,-30.395882,0.687857,2.223919,24.080521,0.311804,0.293255,76.565552,1.0E-6,8.535039,8.614716,8.715117,-0.1146,0.053165,0.171678,9.449373,9.042124,9.636287,1.9225,0.017291,1.950298,0.018446,13.34888,3.228229,"[RCL2021] A2744       8334"
