Cluster,IdR21,z,mu,Re_arcsec,R2.0_kpc,logV2.0,s_logV2.0,logMstar,logMHI,logMMol,logMbar,g_obs_ms2,g_bar_canon_ms2,gbar_over_a0canon,dilution_canon,dilution_alt_own_a0,delta_b_dex,pred_ALT_dex,pred_CPL_dex
A2744,2885,0.8502,2.495,0.5439,8.331,2.0583,0.0624,9.091,8.600,9.081,9.453,5.089e-11,2.234e-11,0.239,0.677,0.743,-0.5505,-0.1772,-0.0083
A2744,2962,1.2839,3.660,0.1927,3.224,1.7158,0.0589,8.360,8.659,8.897,9.169,2.716e-11,7.308e-12,0.078,0.865,0.901,0.2409,-0.3039,0.0123
A2744,3517,1.2687,2.344,0.1909,3.189,1.9086,0.0432,8.796,9.674,9.461,9.916,6.670e-11,3.468e-11,0.371,0.574,0.646,0.3831,-0.2442,0.0076
A2744,4365,1.0961,3.852,0.1847,3.016,1.6644,0.0614,8.353,8.735,8.854,9.171,2.290e-11,5.304e-12,0.057,0.898,0.927,0.4051,-0.2650,0.0019
A2744,4888,0.6529,1.567,0.3912,5.432,2.0534,0.0121,9.561,9.217,9.498,9.926,7.629e-11,4.270e-11,0.456,0.523,0.595,-0.0617,-0.1128,-0.0111
A2744,5460,1.1040,3.841,0.2141,3.502,1.8305,0.0381,8.281,9.093,8.952,9.366,4.240e-11,1.635e-11,0.175,0.741,0.800,0.0787,-0.2436,0.0019
A2744,6615,1.3432,2.553,0.1533,2.578,1.8349,0.0248,8.418,9.863,9.370,9.996,5.877e-11,2.833e-11,0.303,0.623,0.693,0.6941,-0.2715,0.0113
A2744,6921,1.3463,2.264,0.4651,7.820,1.9337,0.0313,9.467,9.236,9.708,9.989,3.054e-11,9.083e-12,0.097,0.837,0.880,0.3772,-0.3138,0.0154
A2744,7826,0.6056,2.125,0.3210,4.310,1.9376,0.0265,8.759,9.550,9.106,9.732,5.642e-11,2.650e-11,0.283,0.638,0.708,0.1082,-0.1207,-0.0146
A2744,8334,0.6879,2.224,0.2933,4.162,1.9503,0.0184,8.615,9.449,9.042,9.636,6.194e-11,3.083e-11,0.329,0.603,0.674,-0.0276,-0.1321,-0.0120
A2744,8853,0.7798,3.883,0.1834,2.730,1.6538,0.0913,8.080,9.328,8.792,9.457,2.411e-11,5.845e-12,0.062,0.889,0.920,0.7244,-0.1891,-0.0139
