plateifu,plate,ifudsgn,snr_med,sigma_e,vsig_glob,url
8940-6102,8940,6102,65.0,125.9,0.351,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/8940/6102/manga-8940-6102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
7977-1901,7977,1901,38.1,127.7,0.199,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/7977/1901/manga-7977-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
10226-1902,10226,1902,37.8,73.3,0.259,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/10226/1902/manga-10226-1902-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
8997-12705,8997,12705,33.2,118.4,0.176,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/8997/12705/manga-8997-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
9505-1902,9505,1902,32.9,89.2,0.208,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/9505/1902/manga-9505-1902-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
7979-1902,7979,1902,31.5,109.1,0.301,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/7979/1902/manga-7979-1902-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
8439-1902,8439,1902,31.2,110.0,0.278,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/8439/1902/manga-8439-1902-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
8980-3701,8980,3701,31.1,109.7,0.162,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/8980/3701/manga-8980-3701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
8147-1901,8147,1901,31.0,72.2,0.220,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/8147/1901/manga-8147-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
11953-3701,11953,3701,30.9,84.2,0.278,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/11953/3701/manga-11953-3701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
10512-1902,10512,1902,29.8,104.8,0.108,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/10512/1902/manga-10512-1902-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
9195-1902,9195,1902,29.5,74.4,0.342,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/9195/1902/manga-9195-1902-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
8711-1901,8711,1901,27.8,83.4,0.178,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/8711/1901/manga-8711-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
9492-1902,9492,1902,26.3,130.8,0.118,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/9492/1902/manga-9492-1902-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
11956-1902,11956,1902,26.2,87.4,0.305,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/11956/1902/manga-11956-1902-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
8654-1902,8654,1902,26.2,87.5,0.252,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/8654/1902/manga-8654-1902-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
8078-1902,8078,1902,62.5,176.4,0.302,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/8078/1902/manga-8078-1902-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
8940-3702,8940,3702,33.8,135.4,0.310,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/8940/3702/manga-8940-3702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
9869-1901,9869,1901,33.1,190.3,0.285,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/9869/1901/manga-9869-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
9000-1901,9000,1901,33.0,165.8,0.394,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/9000/1901/manga-9000-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
8721-1901,8721,1901,28.3,181.5,0.216,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/8721/1901/manga-8721-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
11948-3703,11948,3703,27.7,153.0,0.366,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/11948/3703/manga-11948-3703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
11956-1901,11956,1901,27.4,166.6,0.265,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/11956/1901/manga-11956-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
8080-1901,8080,1901,27.3,151.3,0.348,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/8080/1901/manga-8080-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
10494-1902,10494,1902,26.6,144.2,0.390,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/10494/1902/manga-10494-1902-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
11830-1901,11830,1901,25.7,160.2,0.396,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/11830/1901/manga-11830-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
8601-1901,8601,1901,25.5,185.9,0.260,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/8601/1901/manga-8601-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
9510-1902,9510,1902,25.5,166.1,0.249,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/9510/1902/manga-9510-1902-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
9095-3704,9095,3704,25.4,174.5,0.329,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/9095/3704/manga-9095-3704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
9873-12703,9873,12703,25.2,140.5,0.239,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/9873/12703/manga-9873-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
8247-1901,8247,1901,24.1,170.1,0.390,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/8247/1901/manga-8247-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
9499-1901,9499,1901,23.6,155.0,0.297,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/9499/1901/manga-9499-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
8612-1901,8612,1901,108.3,382.4,0.163,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/8612/1901/manga-8612-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
7991-1901,7991,1901,67.6,471.5,0.168,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/7991/1901/manga-7991-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
9500-1901,9500,1901,60.7,450.0,0.307,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/9500/1901/manga-9500-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
8449-1901,8449,1901,30.4,236.8,0.339,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/8449/1901/manga-8449-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
9036-3702,9036,3702,26.4,208.5,0.302,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/9036/3702/manga-9036-3702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
8083-1902,8083,1902,25.0,219.0,0.113,https://data.sdss.org/sas/dr17/manga/spectro/analysis/v3_1_1/3.1.0/HYB10-MILESHC-MASTARSSP/8083/1902/manga-8083-1902-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz
