plateifu,ok,n_spaxels,sigma_e_resolved,vsig_resolved,sigma_maj,sigma_min,P1_sigmaj_over_sigmin,P2_dlnsig_dlnR,n_P2_spaxels,n_maj,n_min
10226-1902,1,380,72.774,0.097682,76.141,74.761,1.0185,0.12632,86,12,10
10494-1902,1,406,144.12,0.22245,144.7,141.81,1.0204,-0.13648,240,28,29
10512-1902,1,370,104.75,0.044377,107.87,102.22,1.0552,0.050355,83,12,10
10846-1902,1,374,221,0.037253,213.81,215.92,0.99024,-0.20357,245,30,28
11742-3703,1,802,242.94,0.17429,231.19,241.59,0.95693,-0.1479,462,57,58
11830-1901,1,385,159.98,0.11712,154.88,nan,nan,-0.26246,64,8,6
11948-3703,1,730,152.99,0.15046,150.32,154.34,0.97394,-0.089215,100,13,14
11953-3701,1,574,84.186,0.10961,88.176,nan,nan,0.044213,60,8,6
11956-1901,1,384,166.6,0.10234,nan,nan,nan,0.010371,47,5,6
11956-1902,1,369,87.39,0.12746,86.517,nan,nan,-0.067908,70,10,6
11970-1902,1,380,204.45,0.10243,196.73,189.41,1.0387,-0.3309,190,22,22
12683-1902,1,372,206.74,0.1128,197.6,205.66,0.96077,-0.18504,84,12,12
7977-1901,1,379,127.69,0.037036,nan,nan,nan,-0.033292,36,6,6
7979-1902,1,407,108.96,0.093075,104.81,108.97,0.96181,-0.1849,85,12,10
7991-1901,1,378,461.2,0.52872,nan,nan,nan,-1.6329,33,5,6
8078-1902,1,408,176.22,0.12099,174.71,171.52,1.0186,-0.26158,90,10,12
8080-1901,1,366,151.2,0.1606,nan,nan,nan,-0.047236,28,2,2
8083-1902,1,397,218.87,0.020297,216.26,217.31,0.99516,-0.17063,162,18,20
8143-3704,1,694,254.58,0.090301,238.66,238.42,1.001,-0.26199,395,54,52
8147-1901,1,347,72.049,0.03099,72.311,68.192,1.0604,-0.19323,108,13,12
8247-1901,1,400,169.89,0.18417,159.73,167.37,0.95438,-0.17592,163,22,18
8439-1902,1,391,109.97,0.086847,111.07,108.41,1.0245,-0.053177,81,11,10
8449-1901,1,401,236.63,0.13001,228.73,235.28,0.97213,-0.18671,130,14,20
8601-1901,1,382,185.79,0.1145,177.31,186.15,0.9525,-0.1164,172,22,20
8612-1901,1,391,382.21,0.060456,nan,383.12,nan,-0.024655,62,6,10
8654-1902,1,395,87.399,0.04263,nan,nan,nan,-0.077659,56,4,6
8711-1901,1,356,83.316,0.01811,nan,nan,nan,0.055232,44,5,6
8721-1901,1,383,181.45,0.047123,nan,nan,nan,-0.12682,40,6,6
8725-1902,1,398,211.17,0.025453,212.18,212.36,0.99913,0.0039889,284,40,36
8726-1901,1,389,232.76,0.12427,227.51,227.83,0.9986,-0.19001,215,26,30
8940-3702,1,818,135.4,0.12741,133,135.96,0.97821,-0.11017,79,8,10
8940-6102,1,1322,125.79,0.1729,127.99,127.35,1.005,0.046708,158,22,16
8980-3701,1,733,109.65,0.065437,106.16,109.65,0.96816,-0.060634,73,8,10
8997-12705,1,2430,118.3,0.10889,117.38,115.05,1.0203,-0.21062,181,22,25
9000-1901,1,418,164.52,0.18298,137.7,168.3,0.81819,-0.41246,102,12,14
9028-1901,1,375,212.44,0.13614,220.32,204.97,1.0749,-0.091207,117,14,14
9029-3703,1,771,217.17,0.14977,226.24,206.41,1.0961,-0.15399,243,36,30
9036-3702,1,788,208.37,0.12663,208.43,201.85,1.0326,-0.089762,372,46,46
9095-3704,1,753,174.11,0.23395,162.66,166.45,0.97728,-0.28644,338,37,40
9195-1902,1,362,74.291,0.052308,nan,nan,nan,0.09452,54,6,6
9488-6104,1,1317,244.98,0.019396,242.14,245.14,0.98773,-0.14932,94,10,12
9492-1902,1,384,130.77,0.069635,127.8,133.02,0.96074,-0.088435,86,10,8
9499-1901,1,398,154.92,0.095747,nan,nan,nan,0.011418,43,4,6
9500-1901,1,439,443.52,0.2201,nan,nan,nan,-0.96215,32,5,4
9505-1902,1,415,89.201,0.070926,nan,nan,nan,0.030226,46,6,6
9510-1902,1,385,166.03,0.099044,163.28,163.74,0.99721,-0.10911,99,12,13
9869-1901,1,381,190.14,0.095555,182.78,188.38,0.97027,-0.26981,112,12,14
9873-12703,1,1629,140.4,0.017689,147.32,133.88,1.1004,-0.053572,134,16,18
