plateifu,mangaid,plate,ifudsgn,objra,objdec,z,snr_med,sb_1re,sigma_e,vsig_glob,ba,sersic_n,th50_arcsec,re_kpc,log_mstar,log_mdyn,gbar_canon,y_canon,delta_canon,delta_canon_imfA,delta_canon_imfB,gbar_alt,y_alt,delta_alt,delta_alt_imfA,delta_alt_imfB,cut_primary,cut_variant
8612-1901,1-594755,8612,1901,253.468,39.7602,0.0349309,108.304,15.6784,382.406,0.163239,0.822555,6,1.74995,1.21666,11.0901,11.3155,5.79535e-09,61.9162,0.22191,0.0328061,0.0822918,5.79535e-09,51.2863,0.221195,0.0323424,0.0817726,1,1
8982-9101,1-457811,8982,9101,201.714,26.5912,0.0234728,74.4798,6.38291,120.063,0.451515,0.774806,6,1.31014,0.620572,9.81127,10.0169,1.17209e-09,12.5224,0.188971,0.00441326,0.198944,1.17209e-09,10.3725,0.185668,0.00221919,0.195567,0,1
7991-1901,1-24092,7991,1901,258.548,57.9761,0.0926206,67.6029,3.60688,471.486,0.167731,0.97638,5.93849,1.20423,2.07459,10.8245,11.7292,1.08132e-09,11.5526,0.886611,0.702506,0.724371,1.08132e-09,9.56923,0.883055,0.700139,0.721885,1,1
11827-1901,1-592801,11827,1901,213.839,49.3264,0.0265217,66.8755,5.66814,151.792,0.462452,0.907958,6,1.74396,0.929935,10.5715,10.3963,3.0049e-09,32.1036,-0.181856,-0.369847,-0.201749,3.0049e-09,26.592,-0.183211,-0.370732,-0.203045,0,1
8940-6102,1-604970,8940,6102,120.867,25.1027,0.0275682,64.9735,2.68822,125.901,0.351313,0.901509,4.06424,2.65101,1.46753,10.1865,10.432,4.97284e-10,5.31286,0.208005,0.0302355,0.211848,4.97284e-10,4.40074,0.20099,0.0254159,0.204777,1,1
8078-1902,1-109167,8078,1902,42.2169,-0.524053,0.0246344,62.4608,1.89975,176.404,0.301653,0.9438,6,1.91322,0.949749,10.3016,10.5359,1.54745e-09,16.5326,0.22163,0.035738,0.182947,1.54745e-09,13.6943,0.219078,0.0340542,0.180605,1,1
9500-1901,1-385623,9500,1901,131.725,25.3701,0.0507934,60.6902,3.20466,450.041,0.306871,0.956665,6,1.11804,1.10918,10.2549,11.4168,1.01901e-09,10.8868,1.14283,0.959082,0.986797,1.01901e-09,9.01778,1.13908,0.956578,0.984135,1,1
8137-3703,1-338746,8137,3703,116.855,43.9186,0.0317491,46.9909,1.56718,139.554,0.52223,0.897304,4.10339,2.01842,1.28036,10.4708,10.4621,1.25727e-09,13.4324,-0.0242804,-0.209207,-0.0332032,1.25727e-09,11.1263,-0.0273767,-0.211259,-0.0362391,0,1
8940-1902,1-218041,8940,1902,120.987,25.4807,0.0727756,45.948,1.08571,152.177,0.591484,0.869445,3.9192,2.14551,2.97187,10.8731,10.903,5.89267e-10,6.29559,-0.00206634,-0.181571,-0.02121,5.89267e-10,5.21475,-0.00814941,-0.185715,-0.0270525,0,1
8655-6104,1-638033,8655,6104,358.55,0.37703,0.0266337,42.0538,2.99733,237.702,0.598305,0.775033,2.3444,2.46585,1.32025,10.6453,10.938,1.767e-09,18.8782,0.281556,0.095136,0.204746,1.767e-09,15.6372,0.279304,0.0936538,0.202849,0,1
8609-1902,1-445333,8609,1902,246.656,13.6834,0.0344313,41.899,2.31888,119.472,0.465256,0.92842,5.67329,2.21699,1.52024,10.6738,10.4018,1.42299e-09,15.2029,-0.285822,-0.471346,-0.275163,1.42299e-09,12.5929,-0.288583,-0.47317,-0.277989,0,1
8710-12702,1-378729,8710,12702,118.017,50.1308,0.0239561,40.5993,1.70339,168.667,0.536774,0.728306,6,2.0351,0.983238,10.1913,10.512,1.12006e-09,11.9665,0.303323,0.119016,0.270658,1.12006e-09,9.91205,0.299879,0.116726,0.267453,0,1
10510-1901,1-189283,10510,1901,178.779,55.2427,0.0197115,40.4781,1.92452,177.477,0.536636,0.779601,5.64411,1.59273,0.636419,9.85351,10.3673,1.22829e-09,13.1227,0.497885,0.313079,0.4587,1.22829e-09,10.8698,0.494721,0.31098,0.455799,0,1
8945-3702,1-279617,8945,3702,173.362,47.2867,0.0455539,40.3866,1.62596,92.1242,0.579767,0.875817,2.13463,1.64032,1.46855,9.83256,10.161,2.19813e-10,2.34843,0.251364,0.0853568,0.289289,2.19813e-10,1.94524,0.238322,0.0758676,0.275313,0,1
8710-1902,1-378687,8710,1902,117.835,49.8511,0.0213641,39.6418,1.29972,192.291,0.406003,0.805396,6,1.39375,0.602399,9.78294,10.4131,1.16531e-09,12.4499,0.613404,0.428879,0.564196,1.16531e-09,10.3125,0.610084,0.426672,0.561217,0,1
9489-6103,1-584895,9489,6103,125.213,21.0551,0.0155474,38.6446,2.42693,187.796,0.541406,0.799335,6,2.00048,0.633668,9.94498,10.4146,1.52944e-09,16.3402,0.45667,0.270828,0.41006,1.52944e-09,13.5349,0.45409,0.269125,0.407734,0,1
7977-1901,1-115062,7977,1901,330.855,12.6759,0.0260569,38.0586,1.04248,127.717,0.198602,0.865932,6,1.29971,0.681282,9.92999,10.1111,1.27824e-09,13.6564,0.165804,-0.0192056,0.168033,1.27824e-09,11.3118,0.162755,-0.0212265,0.164969,1,1
10226-1902,1-36585,10226,1902,38.1976,0.678102,0.0228311,37.7942,2.37556,73.2964,0.259226,0.664178,2.91771,2.30116,1.06101,8.97385,9.8212,5.83024e-11,0.622888,0.639411,0.502655,0.690319,5.83024e-11,0.51595,0.613311,0.480885,0.662639,1,1
8935-1902,1-457206,8935,1902,196.454,28.1065,0.0244084,37.7808,1.59112,191.536,0.468919,0.819658,5.99996,1.50827,0.742059,9.97184,10.5003,1.18642e-09,12.6755,0.511923,0.3273,0.463181,1.18642e-09,10.4993,0.508657,0.325131,0.460247,0,1
8443-1901,1-422898,8443,1901,207.769,25.0831,0.0294147,36.5891,2.19526,150.703,0.463124,0.966453,6,2.14186,1.26229,10.5243,10.5227,1.46309e-09,15.6313,-0.0150628,-0.200711,-0.0337495,1.46309e-09,12.9477,-0.0177522,-0.202488,-0.0363297,0,1
8335-1902,1-252147,8335,1902,218.168,40.9542,0.0180881,35.742,1.55577,83.2416,0.540495,0.667122,3.70571,1.86418,0.68488,9.70876,9.74161,7.59974e-10,8.11938,0.00763576,-0.174078,0.0623359,7.59974e-10,6.72543,0.0027557,-0.177366,0.0568513,0,1
11868-1901,1-543647,11868,1901,249.471,26.2613,0.0522561,35.6053,1.08985,175.008,0.593784,0.892168,6,0.889638,0.906431,11.0826,10.5088,1.02612e-08,109.628,-0.575798,-0.765432,-0.614364,1.02612e-08,90.8067,-0.576204,-0.765695,-0.614737,0,1
8146-1901,1-201355,8146,1901,117.054,28.2251,0.0270561,34.646,1.82081,85.7549,0.505872,0.92292,1.7091,2.92598,1.59064,10.2166,10.1334,4.53657e-10,4.84677,-0.123925,-0.300661,-0.0746015,4.53657e-10,4.01467,-0.131489,-0.305885,-0.0829655,0,1
9880-1902,1-456969,9880,1902,195.363,27.9992,0.025495,34.4394,1.53105,158.658,0.45366,0.884803,2.58895,1.62804,0.835549,10.0083,10.3882,1.01777e-09,10.8736,0.360786,0.177042,0.335894,1.01777e-09,9.00684,0.357028,0.174536,0.332335,0,1
11984-1902,1-273335,11984,1902,256.621,20.4618,0.0464186,34.273,1.1859,141.004,0.473022,0.876139,6,1.19584,1.08982,10.3872,10.4011,1.43146e-09,15.2934,0.000164327,-0.185386,-0.0101009,1.43146e-09,12.6678,-0.00258053,-0.1872,-0.012784,0,1
8940-3702,1-163992,8940,3702,120.033,26.7068,0.0472097,33.7612,0.717423,135.426,0.309674,0.85992,5.13665,1.9092,1.76792,10.3978,10.5762,5.57311e-10,5.95418,0.144722,-0.0342374,0.139775,5.57311e-10,4.93196,0.138344,-0.0385934,0.133463,1,1
9862-1902,1-456933,9862,1902,194.926,27.9247,0.0230392,33.4658,1.91237,184.981,0.472693,0.897389,6,1.5933,0.741142,10.0243,10.4695,1.34197e-09,14.3373,0.43056,0.245311,0.38603,1.34197e-09,11.8759,0.427645,0.243381,0.383389,0,1
8997-12705,1-149507,8997,12705,172.156,50.8274,0.0322763,33.2056,2.42873,118.372,0.175943,0.953317,6,2.77487,1.7883,10.6723,10.4643,1.02487e-09,10.9494,-0.226999,-0.410785,-0.215308,1.02487e-09,9.06963,-0.230733,-0.413275,-0.219139,1,1
8319-1902,1-285062,8319,1902,199.382,47.6766,0.0269767,33.1307,1.53972,138.089,0.500782,0.887822,6,2.40312,1.30269,10.3698,10.4605,9.62404e-10,10.2821,0.0705532,-0.112839,0.0630343,9.62404e-10,8.51685,0.0666002,-0.11548,0.0591455,0,1
9869-1901,1-135193,9869,1901,246.96,40.9374,0.0308858,33.1172,1.90475,190.339,0.285413,0.867558,6,2.23994,1.38367,10.5519,10.7654,1.29738e-09,13.8609,0.198417,0.0133327,0.150326,1.29738e-09,11.4813,0.195409,0.0113402,0.147622,1,1
9000-1901,1-614567,9000,1901,171.401,54.3826,0.0206863,32.9885,2.6551,165.764,0.394309,0.738313,6,2.36301,0.989733,9.85237,10.4998,5.06531e-10,5.41166,0.610623,0.432654,0.581354,5.06531e-10,4.48258,0.603715,0.427912,0.574854,1,1
9505-1902,1-387045,9505,1902,139.777,27.9146,0.0284499,32.9415,1.11677,89.2306,0.20819,0.783808,6,1.54709,0.882886,9.80079,9.91225,5.65264e-10,6.03915,0.0781885,-0.100911,0.123562,5.65264e-10,5.00234,0.071887,-0.105213,0.116635,1,1
11941-1902,1-594515,11941,1902,247.467,40.8251,0.0289734,32.924,2.06242,192.204,0.477321,0.874691,3.4617,2.09757,1.21829,10.4335,10.7186,1.27424e-09,13.6137,0.269718,0.0847237,0.220423,1.27424e-09,11.2765,0.26666,0.0826968,0.217681,0,1
11760-1902,1-283903,11760,1902,192.769,48.4086,0.0494253,32.7798,1.4511,85.8402,0.511126,0.906142,6,1.57371,1.52165,10.3307,10.115,6.44702e-10,6.88785,-0.245141,-0.425478,-0.194685,6.44702e-10,5.70533,-0.250773,-0.429298,-0.200949,0,1
9875-1901,1-456832,9875,1901,194,28.187,0.018675,32.476,1.42245,155.825,0.586254,0.859905,5.97767,1.72118,0.652398,9.74971,10.2651,9.20355e-10,9.83286,0.494363,0.311264,0.471818,9.20355e-10,8.14474,0.490248,0.30851,0.4679,0,1
9887-1901,1-297219,9887,1901,239.179,29.8132,0.0842475,31.9055,1.62182,211.002,0.475732,0.981302,2.40874,1.66461,2.63384,10.9697,11.1345,9.37197e-10,10.0128,0.144072,-0.0391483,0.0836517,9.37197e-10,8.29378,0.140023,-0.0418558,0.0801028,0,1
7979-1902,1-115262,7979,1902,334.06,12.3955,0.0679362,31.4653,1.25603,109.06,0.300679,0.977562,2.38389,1.82398,2.37188,10.8833,10.5157,9.4708e-10,10.1184,-0.388024,-0.571312,-0.366195,9.4708e-10,8.38124,-0.392035,-0.573993,-0.3704,1,1
8439-1902,1-156061,8439,1902,143.697,48.7476,0.0259393,31.21,0.880265,110.003,0.277586,0.859392,6,1.92512,1.0047,9.8992,10.1502,5.47522e-10,5.8496,0.216693,0.0379123,0.236832,5.47522e-10,4.84533,0.21022,0.0334869,0.230081,1,1
8980-3701,1-235983,8980,3701,223.636,42.3854,0.0184537,31.0999,1.50818,109.704,0.162077,0.840946,3.7391,1.89711,0.710751,9.78299,9.99748,8.37199e-10,8.94443,0.191472,0.00903054,0.212451,8.37199e-10,7.40884,0.186993,0.00602351,0.207765,1,1
8997-1902,1-149193,8997,1902,170.166,50.8273,0.0276203,31.059,1.87551,265.863,0.532262,0.777568,6,2.93133,1.62568,10.6164,11.1257,1.09034e-09,11.6489,0.491426,0.307273,0.401553,1.09034e-09,9.64901,0.487896,0.304924,0.398657,0,1
8147-1901,1-201217,8147,1901,116.214,26.579,0.023827,30.9913,1.73565,72.1716,0.219982,0.982715,3.66887,2.06671,0.993283,9.95291,9.77912,6.33917e-10,6.77261,-0.203688,-0.383873,-0.132344,6.33917e-10,5.60988,-0.209403,-0.387753,-0.138982,1,1
11953-3701,1-283130,11953,3701,189.06,42.6367,0.0284903,30.8738,1.04326,84.2456,0.277745,0.751533,2.89726,1.80068,1.02901,9.82177,9.92883,4.36719e-10,4.6658,0.0648938,-0.111394,0.11615,4.36719e-10,3.86477,0.057092,-0.116794,0.107494,1,1
9188-1901,1-51001,9188,1901,48.1547,-7.57285,0.0359661,30.83,1.67598,94.4405,0.45982,0.97685,2.0422,3.62432,2.59129,10.7555,10.4292,5.91269e-10,6.31698,-0.358306,-0.537843,-0.319636,5.91269e-10,5.23247,-0.364372,-0.541975,-0.326214,0,1
8449-1901,1-488532,8449,1901,167.422,21.7404,0.0322203,30.3663,1.71044,236.798,0.339441,0.863959,5.50724,2.44401,1.57245,10.5749,11.0107,1.05942e-09,11.3186,0.417316,0.233331,0.342108,1.05942e-09,9.37544,0.413693,0.230918,0.339036,1,1
11015-1902,1-456628,11015,1902,195.033,28.0786,0.0241407,30.2064,1.86635,181.753,0.428901,0.811471,2.52945,2.60238,1.26672,10.3596,10.687,9.94371e-10,10.6236,0.30779,0.124191,0.265923,9.94371e-10,8.79974,0.303952,0.121629,0.26242,0,1
10512-1902,1-77006,10512,1902,135.588,3.61574,0.0239051,29.7993,1.48768,104.804,0.108303,0.775088,6,2.07099,0.998509,10.0177,10.1054,7.28283e-10,7.7808,0.0614384,-0.119936,0.0878632,7.28283e-10,6.44498,0.0563724,-0.123355,0.0825033,1,1
9195-1902,1-42615,9195,1902,28.6051,12.6632,0.0446608,29.543,1.00848,74.3793,0.34225,0.927093,2.26433,1.50215,1.31988,10.0195,9.92876,4.18534e-10,4.47152,-0.134598,-0.31037,-0.0689701,4.18534e-10,3.70384,-0.142672,-0.315972,-0.0781839,1,1
9485-1901,1-122002,9485,1901,120.778,37.0236,0.0712221,29.32,1.23662,100.823,0.463137,0.961223,1.90389,2.24397,3.04743,10.7468,10.5564,4.18973e-10,4.4762,-0.234196,-0.40998,-0.2042,4.18973e-10,3.70772,-0.242263,-0.415577,-0.212772,0,1
9048-1902,1-295542,9048,1902,246.256,24.2632,0.0503021,28.7181,1.25004,113.385,0.592956,0.875606,6,1.86296,1.83138,10.4384,10.4372,5.70308e-10,6.09304,-0.0341861,-0.213374,-0.0176481,5.70308e-10,5.04698,-0.0404404,-0.217641,-0.0241228,0,1
8243-1902,1-47224,8243,1902,132.104,53.9187,0.0427367,28.6732,0.892386,209.432,0.58485,0.905867,5.39524,1.52522,1.28535,10.3019,10.8164,8.45451e-10,9.03259,0.491764,0.309251,0.432538,8.45451e-10,7.48186,0.487323,0.306271,0.428633,0,1
8085-1902,1-38567,8085,1902,53.4337,-0.527285,0.0326055,28.5444,1.14635,221.81,0.538659,0.639267,6,2.82707,1.8398,10.6149,11.022,8.48556e-10,9.06577,0.384378,0.20184,0.317986,8.48556e-10,7.50934,0.379952,0.19887,0.314154,0,1
8721-1901,1-48772,8721,1901,135.343,55.0408,0.0456506,28.3298,0.916139,181.491,0.21649,0.939451,5.79311,1.35,1.21106,10.333,10.6662,1.02306e-09,10.9301,0.314226,0.130451,0.272493,1.02306e-09,9.05362,0.310486,0.127957,0.269079,1,1
8604-1901,1-211079,8604,1901,247.438,39.8105,0.0304269,28.0862,1.53535,200.789,0.462188,0.8862,6,2.50034,1.52242,10.5193,10.8533,9.94214e-10,10.6219,0.314519,0.13092,0.260176,9.94214e-10,8.79836,0.31068,0.128358,0.256768,0,1
8711-1901,1-379255,8711,1901,118.267,52.7432,0.0184619,27.8006,1.01272,83.424,0.178174,0.981411,4.69397,1.35801,0.508999,9.48074,9.61462,8.13909e-10,8.69561,0.110241,-0.0719947,0.164872,8.13909e-10,7.20274,0.105648,-0.0750813,0.159708,1,1
11948-3703,1-249779,11948,3703,249.643,31.873,0.0642432,27.7138,1.30209,153.029,0.366306,0.754301,5.99929,2.34207,2.89253,10.8109,10.8961,5.38975e-10,5.75828,0.050518,-0.128102,0.0308087,5.38975e-10,4.76969,0.0439586,-0.13259,0.0245142,1,1
8948-6103,1-148949,8948,6103,165.198,49.9019,0.0258115,27.4869,1.40678,125.946,0.446018,0.783273,5.39939,1.82329,0.947011,9.95719,10.242,7.04284e-10,7.5244,0.257759,0.0766601,0.261644,7.04284e-10,6.2326,0.252543,0.0731347,0.256384,0,1
11956-1901,1-151418,11956,1901,186.992,53.0428,0.0302098,27.4083,1.08919,166.621,0.265067,0.730056,6,1.58515,0.958537,10.029,10.4904,8.11058e-10,8.66515,0.437674,0.255465,0.406956,8.11058e-10,7.1775,0.433067,0.252368,0.402644,1,1
8319-1901,1-234388,8319,1901,200.282,48.6977,0.0455014,27.3959,0.724825,147.4,0.434556,0.894264,6,1.62984,1.45758,10.2659,10.5659,6.05146e-10,6.46524,0.268864,0.0891076,0.253576,6.05146e-10,5.35528,0.262918,0.0850618,0.247819,0,1
12080-3701,1-35264,12080,3701,30.5332,-1.15652,0.0421115,27.3668,0.848404,148.533,0.402084,0.91236,3.96616,1.24629,1.0357,10.1883,10.4242,1.00261e-09,10.7117,0.216489,0.0328378,0.199853,1.00261e-09,8.87267,0.212679,0.0302959,0.196179,0,1
8080-1901,1-37922,8080,1901,47.9852,-0.0325629,0.0376312,27.2563,0.662704,151.258,0.34791,0.78819,5.93929,1.24806,0.931785,9.9566,10.3941,7.26501e-10,7.76176,0.411159,0.229805,0.39253,7.26501e-10,6.42921,0.406082,0.226378,0.387652,1,1
9500-1902,1-385715,9500,1902,132.271,25.8587,0.0275342,27.239,0.925758,71.4155,0.489494,0.911605,5.87384,1.40972,0.779456,9.63112,9.66469,4.90695e-10,5.24247,-0.00433971,-0.181963,0.0669633,4.90695e-10,4.34244,-0.0114324,-0.18684,0.0587551,0,1
9503-9101,1-556679,9503,9101,119.977,24.4104,0.0610514,27.1476,1.13037,192.388,0.592188,0.659729,3.64043,2.26483,2.66815,10.842,11.0599,6.80536e-10,7.27069,0.189901,0.00909106,0.141763,6.80536e-10,6.02245,0.184526,0.00545351,0.136914,0,1
