# FIREWALL: at N~237 the achieved sensitivity at AQUAL amplitude is ~1-1.5 sigma (n=16 gave 0.3 sigma; sqrt(237/16)=3.85x). NEITHER pre-registered kill condition (3-sigma AQUAL-vs-BranchB, N~1157 canonical a0=9.36e-11 / N~1424 alt a0=1.13e-10) CAN TRIGGER on this sample. Input vectors only, not a verdict.
# SIGN TRAP: pre-registered A_i = 2(v_rec - v_appr)/(v_rec + v_appr) (RECEDING side), psi from the RECEDING-side kinematic major axis; perside_extractor.py's pilot printout used the OPPOSITE ordering -- the firing lane must convert and hand-verify on a raw mom1 map.
# amplitudes are OUR OWN scale; +0.100 dex global offset to the Chae Table-3 scale REPORTED NOT APPLIED. unit vector / pointing = maxclu (PRIMARY) bracket. usable = cone68<30 deg AND |b|>=5 (2M++ ZoA cloned fill). readers: skip lines starting with #.
name,field,ra_deg,dec_deg,cz_bary_kms,cz_cmb_kms,D_mpc,gal_b_deg,hr_only_cz,ux_icrs,uy_icrs,uz_icrs,usgx,usgy,usgz,point_ra_deg,point_dec_deg,angle_noclu_maxclu_deg,g_noclu_ms2,g_maxclu_ms2,eN_noclu_chae12,eN_maxclu_chae12,eN_noclu_can936,eN_maxclu_can936,eN_noclu_alt113,eN_maxclu_alt113,dom_name,dom_kind,dom_share,attractor,angle_to_attractor_deg,sep_attr_mpc,cone68_deg,cone90_deg,n_real,zoa_flag,usable
J094524-480828,Vela,146.35000,-48.14111,912.2,1173.3,16.07,3.96,no,-0.683701,-0.505589,0.526244,0.024574,0.888227,0.458747,216.482,31.752,5.14,2.7621e-14,2.1896e-13,2.3017e-04,1.8247e-03,2.9509e-04,2.3393e-03,2.4443e-04,1.9377e-03,Virgo,cluster,0.472,"Vela SC (behind ZoA, cz~18000; NOT in 2M++/MCXC reach)",,,12.32,18.57,200,in_mask,no
J094944-471059,Vela,147.43333,-47.18306,5361.7,5628.2,77.10,5.17,no,0.127482,-0.613927,0.779000,0.509643,0.278274,0.814142,281.731,51.169,2.25,3.9710e-14,3.4984e-13,3.3092e-04,2.9153e-03,4.2426e-04,3.7376e-03,3.5142e-04,3.0959e-03,RXC J1324.7-5736,cluster,0.067,"Vela SC (behind ZoA, cz~18000; NOT in 2M++/MCXC reach)",,,2.95,3.98,200,edge,yes
J100036-465940,Vela,150.15000,-46.99444,3696.3,3967.4,54.35,6.46,no,-0.158421,-0.667708,0.727371,0.339568,0.518117,0.785015,256.653,46.666,1.85,4.5789e-14,3.7804e-13,3.8158e-04,3.1503e-03,4.8920e-04,4.0389e-03,4.0521e-04,3.3455e-03,RXCJ1036.6-2731,cluster,0.190,"Vela SC (behind ZoA, cz~18000; NOT in 2M++/MCXC reach)",,,5.32,7.31,200,edge,yes
J100123-434533,Vela,150.34583,-43.75917,3558.2,3841.8,52.63,9.12,no,-0.038352,-0.778046,0.627035,0.260454,0.377796,0.888501,267.178,38.832,1.46,5.2966e-14,4.3922e-13,4.4138e-04,3.6601e-03,5.6587e-04,4.6925e-03,4.6872e-04,3.8869e-03,RXCJ1036.6-2731,cluster,0.234,"Vela SC (behind ZoA, cz~18000; NOT in 2M++/MCXC reach)",,,9.76,12.93,200,edge,yes
J100239-452950,Vela,150.66250,-45.49722,3514.2,3791.8,51.94,7.87,no,-0.297339,-0.591086,0.749805,0.332963,0.645194,0.687649,243.296,48.573,2.40,5.1768e-14,4.3230e-13,4.3140e-04,3.6025e-03,5.5307e-04,4.6186e-03,4.5812e-04,3.8257e-03,RXCJ1036.6-2731,cluster,0.206,"Vela SC (behind ZoA, cz~18000; NOT in 2M++/MCXC reach)",,,10.94,13.32,200,edge,yes
J100342-270137,Hydra,150.92500,-27.02694,954.5,1287.5,17.64,22.49,no,-0.403543,-0.841491,0.359230,-0.128972,0.597097,0.791733,244.380,21.053,4.19,2.9398e-14,2.2739e-13,2.4498e-04,1.8949e-03,3.1408e-04,2.4293e-03,2.6016e-04,2.0123e-03,Virgo,cluster,0.671,Abell 1060 (Hydra),92.08,34.33,15.04,22.39,200,clear,yes
J100351-273417,Hydra,150.96250,-27.57139,2788.9,3120.8,42.75,22.10,no,-0.089109,-0.929017,-0.359148,-0.660088,0.014984,0.751039,264.521,-21.048,2.46,4.8956e-14,3.9185e-13,4.0797e-04,3.2654e-03,5.2303e-04,4.1864e-03,4.3324e-04,3.4677e-03,RXCJ1036.6-2731,cluster,0.583,Abell 1060 (Hydra),66.63,10.80,25.51,42.44,200,clear,yes
J100426-282638,Hydra,151.10833,-28.44389,1086.3,1416.6,19.41,21.51,no,-0.349625,-0.925330,0.146718,-0.320531,0.465565,0.824930,249.302,8.437,2.90,3.5267e-14,2.7277e-13,2.9389e-04,2.2731e-03,3.7679e-04,2.9142e-03,3.1210e-04,2.4139e-03,Virgo,cluster,0.470,Abell 1060 (Hydra),89.73,32.58,18.94,26.32,200,clear,yes
J100437-490338,Vela,151.15417,-49.06056,3404.2,3668.3,50.25,5.22,no,-0.212119,-0.655867,0.724461,0.320965,0.563973,0.760865,252.078,46.424,1.97,4.7184e-14,3.9123e-13,3.9320e-04,3.2603e-03,5.0410e-04,4.1798e-03,4.1756e-04,3.4622e-03,RXCJ1248.7-4118,cluster,0.185,"Vela SC (behind ZoA, cz~18000; NOT in 2M++/MCXC reach)",,,5.62,7.84,200,edge,yes
J100539-282633,Hydra,151.41250,-28.44250,1046.9,1377.7,18.87,21.68,no,0.024755,-0.861972,0.506351,0.151455,0.277391,0.948744,271.645,30.421,6.09,2.2095e-14,1.7359e-13,1.8412e-04,1.4466e-03,2.3606e-04,1.8546e-03,1.9553e-04,1.5362e-03,10042611-2826384,gal2mpp,0.869,Abell 1060 (Hydra),117.89,33.09,38.73,49.04,200,clear,no
