# LANE W1 per-side asymmetries, ALL per-side-capable WALLABY galaxies
# FIREWALL: N~237 -> ~1-1.5 sigma at AQUAL amplitude; NEITHER pre-registered
#   kill condition (3-sigma AQUAL-vs-BranchB, N~1157 canonical a0=9.36e-11 /
#   N~1424 alt a0=1.13e-10) CAN TRIGGER on this sample. a0 does not enter
#   this extraction; both footings enter at the confrontation stage only.
# CONVENTION: A_preregistered = 2(v_rec - v_appr)/(v_rec + v_appr), receding-
#   side tied (side determined EMPIRICALLY; pa_flipped flags anti-aligned PA).
#   A_raw_extractor = 2(v_app - v_rec)/(v_app + v_rec) as printed by the pilot
#   extractor (OPPOSITE ordering). PA_wkapp = Deg+22 PA_model_g, 'Position
#   angle in equatorial coordinates (East of North)' (arXiv:2211.07333 Tab.4).
# QC frozen BEFORE extraction: see QC_FROZEN.md.
jname,ra,dec,cz,field,hires,tr,inc,pa_wkapp,pa_flipped,n_outer,v_rec,v_appr,A_raw_extractor,A_preregistered,sigma_boot,sanity_ratio,weight,n_models_available,model_file,qc_pass,qc_reason
J094524-480828,146.351848,-48.141222,874.9,Vela,False,1,75.9,34.6,False,5,47.08038544075453,30.18070574129344,-0.43746935076650384,0.43746935076650384,0.021557453591217326,1.0144241377137149,mom0,1,WALLABY_J094524-480828_Vela_Kin_TR1_AvgMod.txt,False,inc 75.9 >= 70
J094944-471059,147.432463,-47.184432,5360.5,Vela,False,1,39.7,348.3,False,4,135.57653990534288,136.527628757466,0.0069906231631585835,-0.0069906231631585835,0.010293921732806207,0.9725865618957628,mom0,1,WALLABY_J094944-471059_Vela_Kin_TR1_AvgMod.txt,True,pass
J100036-465940,150.152547,-46.993251,3692.9,Vela,False,1,44.9,108.5,False,3,72.6024904383941,79.48109961084212,0.09045826930073272,-0.09045826930073272,0.023486160209777427,0.8791378459414784,mom0,1,WALLABY_J100036-465940_Vela_Kin_TR1_AvgMod.txt,False,n_outer 3 < 4
J100123-434533,150.348234,-43.758356,3548.7,Vela,False,1,31.8,247.0,False,4,101.93163354381996,100.59948482397697,-0.013155002851698136,0.013155002851698136,0.009269035485121355,0.9846783295287305,mom0,1,WALLABY_J100123-434533_Vela_Kin_TR1_AvgMod.txt,True,pass
J100239-452950,150.661304,-45.497967,3507.6,Vela,False,1,57.2,41.5,False,4,134.5941064504336,144.69973643583498,0.07236557656243427,-0.07236557656243427,0.010353139322029315,0.8644610293510891,mom0,1,WALLABY_J100239-452950_Vela_Kin_TR1_AvgMod.txt,True,pass
J100342-270137,150.924682,-27.027617,950.6,Hydra,False,2,74.2,57.9,False,8,106.69011741589364,98.86136251472401,-0.07617317962207977,0.07617317962207977,0.01156919411141856,1.0102218107349823,mom0,1,WALLABY_J100342-270137_Hydra_Kin_TR2_AvgMod.txt,False,inc 74.2 >= 70
J100351-273417,150.964699,-27.570651,2788.2,Hydra,False,2,40.1,192.6,False,3,210.28415694592354,187.6189263053301,-0.11392337277407634,0.11392337277407634,0.0196993945270076,0.9411642474975063,mom0,1,WALLABY_J100351-273417_Hydra_Kin_TR2_AvgMod.txt,False,n_outer 3 < 4
J100426-282638,151.108751,-28.443982,1091.2,Hydra,False,2,75.1,268.8,False,6,97.25944208203616,121.87435383940722,0.22465646299665423,-0.22465646299665423,0.01254383770572763,0.9794876768680754,mom0,1,WALLABY_J100426-282638_Hydra_Kin_TR2_AvgMod.txt,False,inc 75.1 >= 70
J100437-490338,151.152957,-49.060653,3401.4,Vela,False,1,84.9,175.9,False,1,91.57377568993077,94.4112489205915,0.03051292152798631,-0.03051292152798631,0.09351961433791227,1.0813082826193154,mom0,1,WALLABY_J100437-490338_Vela_Kin_TR1_AvgMod.txt,False,inc 84.9 >= 70
J100539-282633,151.413185,-28.445015,1039.0,Hydra,False,2,68.4,9.5,False,4,37.70307807690947,49.33645371599094,0.2673124590504834,-0.2673124590504834,0.02423176989297234,0.9335076129473668,mom0,1,WALLABY_J100539-282633_Hydra_Kin_TR2_AvgMod.txt,True,pass
J100542-480241,151.427861,-48.044936,4007.7,Vela,False,1,82.2,176.3,False,4,110.96345562701497,98.29488485135037,-0.12108067708751002,0.12108067708751002,0.037054609017403164,0.9175711708252869,mom0,1,WALLABY_J100542-480241_Vela_Kin_TR1_AvgMod.txt,False,inc 82.2 >= 70
J100656-450242,151.734137,-45.045388,3904.0,Vela,False,1,71.7,248.1,False,4,191.53819022083127,184.76287372471396,-0.036010084186728596,0.036010084186728596,0.021056604371987368,0.9928945822068108,mom0,1,WALLABY_J100656-450242_Vela_Kin_TR1_AvgMod.txt,False,inc 71.7 >= 70
J100748-430145,151.949771,-43.025635,6258.4,Vela,False,1,34.7,346.8,False,2,69.17519248697508,39.74738668303447,-0.5403435362654941,0.5403435362654941,0.07435484744120165,0.6071845424019001,mom0,1,WALLABY_J100748-430145_Vela_Kin_TR1_AvgMod.txt,False,"sanity ratio 0.607 outside [0.8,1.2]"
J100801-473847,152.005468,-47.647261,3344.6,Vela,False,1,81.0,309.6,False,3,87.06118657445586,64.85130479122692,-0.29240362768806744,0.29240362768806744,0.028730489778509987,0.902928940952873,mom0,1,WALLABY_J100801-473847_Vela_Kin_TR1_AvgMod.txt,False,inc 81.0 >= 70
J100916-431959,152.320938,-43.331127,4585.4,Vela,False,1,56.3,256.8,False,5,134.70806440238977,123.2466127753806,-0.08886407296356538,0.08886407296356538,0.008380859468974988,0.9866351207418617,mom0,1,WALLABY_J100916-431959_Vela_Kin_TR1_AvgMod.txt,True,pass
J100938-255850,152.409158,-25.980174,3070.8,Hydra,False,2,27.6,240.2,False,2,93.12314417444574,25.061106258915494,-1.1517953985570586,1.1517953985570586,0.11837645610055277,0.5788673152552393,mom0,1,WALLABY_J100938-255850_Hydra_Kin_TR2_AvgMod.txt,False,"sanity ratio 0.579 outside [0.8,1.2]"
J101035-254920,152.645687,-25.823216,2505.3,Hydra,False,2,25.9,145.0,False,3,77.71861312848776,30.187222914856942,-0.8809790453694817,0.8809790453694817,0.040501871416530597,0.8982731738526554,mom0,1,WALLABY_J101035-254920_Hydra_Kin_TR2_AvgMod.txt,False,n_outer 3 < 4
