g03g production: alt, a0 = 1.130e-10, xi = 0.05 pc, g_ext,obs = 1.778e-10 (y_e = 1.574); box 144 kAU/192^3 (s <= 15 kAU) or 288 kAU/256^3
  M_tot = 1.0 s =   3.0 kAU theta =   0: gamma_force = 1.0006  tangential 0.000  ((21, 21, 17) it, dpsi 9e-07, common 1.3e-03)  [54 s]
  M_tot = 1.0 s =   3.0 kAU theta =  45: gamma_force = 1.0014  tangential 0.001  ((21, 21, 17) it, dpsi 9e-07, common 1.6e-03)  [90 s]
  M_tot = 1.0 s =   3.0 kAU theta =  90: gamma_force = 1.0022  tangential 0.000  ((21, 21, 17) it, dpsi 8e-07, common 1.8e-03)  [126 s]
  M_tot = 1.0 s =   5.0 kAU theta =   0: gamma_force = 1.0022  tangential 0.000  ((21, 21, 17) it, dpsi 7e-07, common 2.0e-03)  [161 s]
  M_tot = 1.0 s =   5.0 kAU theta =  45: gamma_force = 1.0046  tangential 0.003  ((21, 21, 17) it, dpsi 7e-07, common 3.5e-03)  [196 s]
  M_tot = 1.0 s =   5.0 kAU theta =  90: gamma_force = 1.0072  tangential 0.000  ((21, 21, 17) it, dpsi 5e-07, common 4.2e-03)  [232 s]
  M_tot = 1.0 s =   7.0 kAU theta =   0: gamma_force = 1.0059  tangential 0.000  ((21, 21, 17) it, dpsi 6e-07, common 1.9e-03)  [267 s]
  M_tot = 1.0 s =   7.0 kAU theta =  45: gamma_force = 1.0105  tangential 0.007  ((21, 21, 17) it, dpsi 5e-07, common 6.2e-03)  [302 s]
  M_tot = 1.0 s =   7.0 kAU theta =  90: gamma_force = 1.0153  tangential 0.000  ((21, 21, 16) it, dpsi 8e-07, common 7.3e-03)  [337 s]
  M_tot = 1.0 s =  10.0 kAU theta =   0: gamma_force = 1.0142  tangential 0.000  ((21, 21, 16) it, dpsi 8e-07, common 4.3e-04)  [369 s]
  M_tot = 1.0 s =  10.0 kAU theta =  45: gamma_force = 1.0215  tangential 0.017  ((21, 21, 16) it, dpsi 9e-07, common 9.5e-03)  [400 s]
