g03g production: canonical, a0 = 9.360e-11, xi = 0.03 pc, g_ext,obs = 1.778e-10 (y_e = 1.900); box 144 kAU/192^3 (s <= 15 kAU) or 288 kAU/256^3
  M_tot = 1.0 s =   3.0 kAU theta =   0: gamma_force = 1.0002  tangential 0.000  ((21, 21, 18) it, dpsi 6e-07, common 1.4e-03)  [55 s]
  M_tot = 1.0 s =   3.0 kAU theta =  45: gamma_force = 1.0016  tangential 0.001  ((21, 21, 18) it, dpsi 6e-07, common 1.8e-03)  [91 s]
  M_tot = 1.0 s =   3.0 kAU theta =  90: gamma_force = 1.0031  tangential 0.000  ((21, 21, 18) it, dpsi 6e-07, common 2.0e-03)  [128 s]
  M_tot = 1.0 s =   5.0 kAU theta =   0: gamma_force = 1.0013  tangential 0.000  ((21, 21, 18) it, dpsi 5e-07, common 1.8e-03)  [164 s]
  M_tot = 1.0 s =   5.0 kAU theta =  45: gamma_force = 1.0054  tangential 0.005  ((21, 21, 17) it, dpsi 1e-06, common 4.3e-03)  [199 s]
  M_tot = 1.0 s =   5.0 kAU theta =  90: gamma_force = 1.0099  tangential 0.000  ((21, 21, 17) it, dpsi 8e-07, common 5.3e-03)  [234 s]
  M_tot = 1.0 s =   7.0 kAU theta =   0: gamma_force = 1.0053  tangential 0.000  ((21, 21, 17) it, dpsi 9e-07, common 7.6e-04)  [269 s]
  M_tot = 1.0 s =   7.0 kAU theta =  45: gamma_force = 1.0123  tangential 0.013  ((21, 21, 17) it, dpsi 8e-07, common 8.4e-03)  [305 s]
  M_tot = 1.0 s =   7.0 kAU theta =  90: gamma_force = 1.0198  tangential 0.000  ((21, 21, 17) it, dpsi 6e-07, common 9.3e-03)  [341 s]
  M_tot = 1.0 s =  10.0 kAU theta =   0: gamma_force = 1.0152  tangential 0.000  ((21, 21, 17) it, dpsi 7e-07, common 4.0e-03)  [373 s]
  M_tot = 1.0 s =  10.0 kAU theta =  45: gamma_force = 1.0240  tangential 0.028  ((21, 21, 17) it, dpsi 8e-07, common 1.3e-02)  [404 s]
