RAJ2000,DEJ2000,Ktmag,cz
10.68471,41.26875,0.743,-300
11.88806,-25.28880,3.765,243
148.88826,69.06526,3.803,-34
201.36565,-43.01871,3.901,547
196.36366,-49.46790,4.421,563
23.46210,30.65994,4.087,-179
148.96846,69.67970,4.610,203
56.70214,68.09611,4.362,31
204.25383,-29.86576,4.595,513
189.99789,-11.62307,4.944,1024
10.67427,40.86517,5.040,-200
192.72145,41.12015,5.100,308
194.18207,21.68266,5.315,408
308.71805,60.15368,5.248,40
187.44499,8.00041,5.388,997
202.46957,47.19526,5.484,463
184.74008,47.30372,5.458,448
50.67412,-37.20820,5.580,1760
198.95554,42.02929,5.602,484
40.66988,-0.01329,5.776,1137
190.91670,11.55261,5.730,1117
49.32750,-41.10807,5.653,788
166.45247,-0.03590,5.763,801
10.09198,41.68530,5.557,-241
187.70593,12.39110,5.804,1307
151.30824,-7.71858,5.867,663
170.06261,12.99129,5.869,727
210.80243,54.34875,5.509,246
35.63711,42.34832,5.915,528
61.94545,69.81243,5.890,895
339.26709,34.41592,5.996,816
143.04213,21.50083,6.025,556
169.73315,13.09221,6.057,807
189.08669,25.98739,6.055,1230
140.51106,50.97648,6.057,638
287.44208,-63.85754,5.920,841
170.07091,13.58949,6.064,825
186.35022,18.19108,6.134,729
145.63867,-3.69914,6.236,1919
186.54922,12.94597,6.093,-244
40.10005,39.06325,6.217,637
187.99673,14.42041,6.254,2281
138.08124,-24.17260,6.248,686
186.26575,12.88696,6.208,1060
64.04361,-55.78014,6.276,1201
161.95667,12.58163,6.261,911
133.17227,33.42180,6.316,411
192.61089,25.50076,6.168,1206
202.49829,47.26613,6.238,465
161.69060,11.81994,6.311,897
41.57941,-30.27491,6.243,1271
54.62118,-35.45074,6.302,1425
114.21415,65.60255,6.177,131
192.14961,-5.80085,6.357,1241
197.73463,37.05894,6.439,946
192.25911,-8.66435,6.489,1277
188.51262,7.69914,6.465,448
3.72334,-39.19663,6.244,129
183.97685,13.14940,6.513,131
