#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-06-05T23:06:22 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-06-05T23:06:22	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/199/26&-out=RAJ2000,DEJ2000,cz,Ktmag&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21990026
#Name: J/ApJS/199/26
#Title: The 2MASS Redshift Survey (2MRS) (Huchra+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/apjs/199/26	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/199/26	    IVOID of underlying data collection
#INFO	creator=Huchra J.P.	    First author or institution
#INFO	cites=bibcode:2012ApJS..199...26H	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/199/26	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21990026	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_199_26_table3:
#Name: J/ApJS/199/26/table3
#Title: 2MRS catalog
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	cz	(I5)	? Redshift, corrected to solar system barycenter reference frame	[ucd=phys.veloc;pos.heliocentric]
#Column	Ktmag	(F6.3)	Extinction-corrected total extrapolated Ks mag	[ucd=phot.mag;em.IR.K]
RAJ2000	DEJ2000	cz	Ktmag
deg	deg	km/s	mag
---------	---------	-----	------
010.68471	+41.26875	 -300	 0.743
011.88806	-25.28880	  243	 3.765
148.88826	+69.06526	  -34	 3.803
201.36565	-43.01871	  547	 3.901
196.36366	-49.46790	  563	 4.421
023.46210	+30.65994	 -179	 4.087
148.96846	+69.67970	  203	 4.610
056.70214	+68.09611	   31	 4.362
204.25383	-29.86576	  513	 4.595
189.99789	-11.62307	 1024	 4.944
010.67427	+40.86517	 -200	 5.040
192.72145	+41.12015	  308	 5.100
194.18207	+21.68266	  408	 5.315
308.71805	+60.15368	   40	 5.248
187.44499	+08.00041	  997	 5.388
202.46957	+47.19526	  463	 5.484
184.74008	+47.30372	  448	 5.458
050.67412	-37.20820	 1760	 5.580
198.95554	+42.02929	  484	 5.602
040.66988	-00.01329	 1137	 5.776
190.91670	+11.55261	 1117	 5.730
049.32750	-41.10807	  788	 5.653
166.45247	-00.03590	  801	 5.763
010.09198	+41.68530	 -241	 5.557
187.70593	+12.39110	 1307	 5.804
151.30824	-07.71858	  663	 5.867
170.06261	+12.99129	  727	 5.869
210.80243	+54.34875	  246	 5.509
035.63711	+42.34832	  528	 5.915
061.94545	+69.81243	  895	 5.890
339.26709	+34.41592	  816	 5.996
143.04213	+21.50083	  556	 6.025
169.73315	+13.09221	  807	 6.057
189.08669	+25.98739	 1230	 6.055
140.51106	+50.97648	  638	 6.057
287.44208	-63.85754	  841	 5.920
170.07091	+13.58949	  825	 6.064
186.35022	+18.19108	  729	 6.134
145.63867	-03.69914	 1919	 6.236
186.54922	+12.94597	 -244	 6.093
040.10005	+39.06325	  637	 6.217
187.99673	+14.42041	 2281	 6.254
138.08124	-24.17260	  686	 6.248
186.26575	+12.88696	 1060	 6.208
064.04361	-55.78014	 1201	 6.276
161.95667	+12.58163	  911	 6.261
133.17227	+33.42180	  411	 6.316
192.61089	+25.50076	 1206	 6.168
202.49829	+47.26613	  465	 6.238
161.69060	+11.81994	  897	 6.311
041.57941	-30.27491	 1271	 6.243
054.62118	-35.45074	 1425	 6.302
114.21415	+65.60255	  131	 6.177
192.14961	-05.80085	 1241	 6.357
197.73463	+37.05894	  946	 6.439
192.25911	-08.66435	 1277	 6.489
188.51262	+07.69914	  448	 6.465
003.72334	-39.19663	  129	 6.244
183.97685	+13.14940	  131	 6.513
053.40191	-36.14066	 1664	 6.366
146.41164	-31.19109	 1088	 6.374
189.43166	+11.81809	 1517	 6.472
177.75743	-28.80621	 1807	 6.471
190.53337	+32.54151	  606	 6.459
190.70778	+02.68778	  938	 6.412
054.71721	-26.33784	 1297	 6.490
076.92643	-37.51305	  968	 6.645
189.20757	+13.16287	 -235	 6.565
169.56792	-32.81260	  720	 6.570
129.35260	-55.12374	 1051	 6.610
168.32129	-26.75499	 1367	 6.680
186.11761	+07.31752	 1243	 6.632
131.28436	-33.79476	 2102	 6.690
185.72874	+15.82238	 1571	 6.580
228.97369	+56.32885	  667	 6.753
160.99055	+11.70361	  756	 6.655
193.09213	-01.19969	 1239	 6.710
055.04960	-18.58038	 1779	 6.678
188.91618	+12.55604	  340	 6.713
162.07040	+12.62930	  704	 6.741
190.50967	+11.64693	  410	 6.735
063.01806	-32.87421	 1040	 6.724
128.34517	-22.97367	 1693	 6.794
186.86066	+11.10754	  916	 6.771
063.93843	-55.59236	 1202	 6.780
197.15636	-49.50641	 1453	 6.781
009.74154	+48.33738	 -202	 6.497
054.71632	-35.59439	 1873	 6.816
331.96841	+31.35915	  952	 6.818
007.59122	-33.24535	 1602	 6.838
221.23335	+01.95474	 1724	 6.864
344.29453	-36.46248	 1713	 6.799
171.53577	+43.58592	  770	 6.848
226.62317	+55.76331	  672	 6.868
054.11496	-34.97630	 1855	 6.863
259.24780	-62.82055	 1109	 6.897
182.02507	+65.17413	 1356	 6.848
209.03015	+05.25474	 1139	 6.924
185.47896	+04.47359	 1566	 6.835
038.86555	-09.35601	 1550	 6.990
186.61293	+31.22352	  716	 6.939
114.09934	-69.53082	 1466	 6.796
183.45122	+14.90047	 -142	 6.876
188.53540	+02.65381	 1736	 6.925
054.62412	-23.02769	 1636	 6.886
036.90609	-01.15628	 1340	 6.901
065.00175	-54.93781	 1504	 6.883
013.72283	-37.68438	  144	 6.375
057.08638	+70.13288	 1200	 7.003
076.31023	-37.98075	 1175	 7.002
226.62206	+01.60537	 1630	 6.929
191.28615	-00.46191	 1523	 7.046
184.70677	+14.41649	 2407	 6.915
169.22774	+18.05181	  960	 6.987
282.24118	-65.17344	  946	 7.026
051.57217	-21.33537	 1570	 7.041
184.96111	+29.61470	  930	 7.024
332.31769	-47.16666	 1750	 7.030
020.44520	+05.25672	 2272	 6.953
094.65713	+78.35702	  893	 7.029
199.95851	-27.41009	 2143	 7.100
179.39993	+53.37452	 1048	 6.927
133.90721	+78.22308	 1400	 6.940
137.58397	+07.03777	 1350	 7.043
187.85014	+25.77498	 1344	 6.991
167.87903	+55.67412	  699	 7.035
198.36473	+36.59365	  875	 6.952
024.17405	+15.78346	  657	 6.820
067.91473	-54.60227	 1063	 7.074
137.90627	+60.03721	 1373	 6.981
179.58571	-50.97707	 4229	 7.168
253.19304	-59.21694	 1499	 7.063
023.57598	-29.41849	 1481	 7.024
000.81228	+16.14523	 1059	 7.068
200.49023	-36.63021	  468	 6.898
178.45428	+52.32654	 1052	 7.036
200.07051	-21.82758	 1659	 7.017
187.12347	+17.08495	 1954	 7.038
187.25011	+13.97856	 1210	 7.136
021.19883	+09.53884	 2379	 7.134
071.42730	-59.24741	 1331	 7.012
151.45065	-67.37798	 1713	 7.034
309.30872	+66.10563	 1424	 7.088
065.49509	-56.97475	 1041	 7.103
359.45761	-32.59103	  227	 6.848
180.47154	-18.87720	 1705	 7.161
185.02841	+29.28050	  649	 7.142
218.16991	-44.17461	 1233	 7.105
296.23416	-14.79758	  -57	 6.641
187.45366	+13.42932	 2244	 7.147
192.20532	-41.31109	 2958	 7.103
055.50647	-47.22208	  991	 7.055
167.49054	-37.53934	 3030	 7.150
139.82732	+69.20334	  696	 7.216
343.75394	-39.66137	 1709	 7.228
040.43847	+00.44318	 1006	 7.139
319.75104	-48.56201	 2285	 7.226
207.31334	+60.19041	 1754	 7.155
153.44031	+03.42467	 1183	 7.199
348.03162	-28.53960	 1549	 7.271
150.49135	+55.68000	 1116	 7.258
199.52112	-26.83722	 2028	 7.265
187.50945	+13.63645	 1355	 7.216
188.86012	+14.49632	  486	 7.102
035.76904	-21.23385	 1485	 7.220
153.56291	+03.46612	 1238	 7.272
140.75441	-32.44976	 1664	 7.280
302.47531	-48.37955	 2855	 7.297
267.36047	+70.14434	   25	 7.285
187.01622	+09.80362	  532	 7.286
204.38362	+08.88506	 1151	 7.244
186.94022	+13.00859	   71	 7.255
178.23065	+36.98635	  928	 7.309
025.75979	+13.64568	  856	 7.313
095.41574	-27.23374	 1514	 7.078
186.91875	+13.07900	  801	 7.287
028.25218	-13.73868	 1620	 7.265
180.09848	-01.10000	 1430	 7.321
200.44267	-27.43052	 1815	 7.131
184.84692	+05.82471	 2238	 7.257
349.59842	-42.37057	 1575	 7.311
029.83159	+19.00754	 2472	 7.171
165.07739	+13.90123	  677	 7.364
179.48395	+55.45355	 1040	 7.359
188.87294	-03.79321	 1019	 7.379
022.83648	-06.86806	 1872	 7.289
182.76819	+50.48468	  774	 7.355
193.23354	+11.23080	  984	 7.291
190.83391	+01.97836	 1335	 7.402
045.30903	+44.89721	 1954	 7.373
150.82976	+68.73373	   14	 7.280
188.18994	+00.11504	 1128	 7.321
187.04633	+44.09356	  207	 7.244
154.22359	+73.40069	 2802	 7.400
110.97812	-27.52906	 1782	 7.339
182.63608	+39.40576	  995	 7.371
040.26999	-08.25583	 1590	 7.442
215.08311	+03.93359	 1507	 7.380
183.77098	+33.19728	 1086	 7.402
187.65154	+41.64363	  565	 7.344
191.27489	+03.05571	  785	 7.417
