rank,z,logMstar,VC_kms,Reff_kpc,V_over_sigma,g_over_a0
1,0.885,9.61,43,3.3,2.0,0.16
2,0.893,9.58,88,6.2,2.6,0.34
3,0.839,9.35,78,4.4,2.3,0.37
4,0.809,9.75,105,7.2,2.4,0.42
5,0.85,9.31,89,5.0,2.6,0.43
6,0.835,9.65,88,4.4,2.1,0.49
7,0.837,10.3,102,5.4,2.3,0.52
8,0.807,9.78,79,3.2,2.1,0.53
9,0.961,9.6,82,3.4,2.8,0.54
10,0.887,9.71,92,4.2,2.7,0.55
11,0.925,9.85,100,4.2,2.0,0.66
12,0.838,10.03,101,4.2,4.7,0.67
13,0.928,9.87,123,6.0,2.4,0.69
14,0.916,9.71,121,5.7,3.2,0.69
15,0.914,10.21,129,6.2,2.4,0.72
16,0.831,9.99,139,7.2,2.9,0.73
17,0.82,9.38,122,5.3,2.7,0.77
18,0.845,9.85,123,5.3,3.1,0.77
19,0.895,10.13,97,3.3,2.0,0.79
20,0.838,10.41,95,3.1,4.4,0.79
21,0.808,10.03,107,3.7,3.5,0.84
22,0.953,10.07,138,6.1,2.7,0.85
23,0.898,9.78,113,4.1,2.4,0.85
24,0.997,10.03,135,5.7,3.1,0.87
25,0.84,9.43,130,5.2,2.2,0.88
26,0.837,9.83,104,3.3,3.2,0.89
27,0.861,9.63,117,4.1,3.2,0.92
28,0.823,10.73,114,3.8,2.9,0.93
29,0.991,10.34,133,5.1,3.0,0.94
30,0.82,10.46,124,4.3,3.8,0.97
31,0.96,10.3,143,5.7,4.0,0.97
