#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T03:04:39 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T03:04:39	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/AJ/160/271/table1&-out.max=unlimited&-out=AGC,Flag,RAJ2000,DEJ2000,RVel,Dist,e_Dist,b/a,e_b/a,imag	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51600271
#Name: J/AJ/160/271
#Title: A catalog of ~30000 galaxies with ALFALFA-SDSS (Durbala+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/aj/160/271	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/160/271	    IVOID of underlying data collection
#INFO	creator=Durbala A.	    First author or institution
#INFO	cites=bibcode:2020AJ....160..271D	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/160/271	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51600271	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-12-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_160_271_table1:
#Name: J/AJ/160/271/table1
#Title: Basic optical properties of cross-listed objects in the ALFALFA-SDSS catalog
#Column	AGC	(I6)	[1/749512] AGC catalog identifier	[ucd=meta.id;meta.main]
#Column	Flag	(I1)	[0/3] Photometry flag (1)	[ucd=meta.code.error]
#Column	RAJ2000	(F10.6)	[0.003/360] Right Ascension (J2000) (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	[-0.21/36.4] Declination (J2000) (2)	[ucd=pos.eq.dec;meta.main]
#Column	RVel	(I5)	[-430/17823] HI profile midpoint heliocentric radial velocity	[ucd=spect.dopplerVeloc;spect.line;pos.heliocentric]
#Column	Dist	(F5.1)	[0.3/260] Distance from Haynes+, 2018, J/ApJ/861/49	[ucd=pos.distance]
#Column	e_Dist	(F4.1)	[0/30.9] Uncertainty in Dist	[ucd=stat.error]
#Column	b/a	(F5.2)	[0.05/1]? Axial ratio b/a from SDSS r band	[ucd=phys.angSize;arith.ratio]
#Column	e_b/a	(F6.2)	[0.01/865]? Uncertainty in b/a (4)	[ucd=stat.error]
#Column	imag	(F5.2)	[9.58/30.89]? SDSS i band cmodel magnitude	[ucd=phot.mag;em.opt.I]
AGC	Flag	RAJ2000	DEJ2000	RVel	Dist	e_Dist	b/a	e_b/a	imag
 	 	deg	deg	km/s	Mpc	Mpc	 	 	mag
------	-	----------	---------	-----	-----	----	-----	------	-----
     1	1	000.656670	+16.65222	 5839	 82.8	 2.2	 0.77	  0.01	15.07
     3	1	000.692920	+18.88583	 7883	107.6	 2.3	 0.47	  0.01	13.08
     4	1	000.737080	+04.20889	 8621	118.0	 2.3	 0.64	  0.01	13.88
     6	1	000.790420	+21.95972	 6561	 88.8	 2.2	 0.73	  0.01	13.52
     7	1	000.796670	+15.96500	11223	155.2	 2.2	 0.37	  0.01	13.27
     8	1	000.811670	+16.14556	 1050	 13.2	 1.3	 0.79	  0.01	10.46
    10	1	000.835420	+08.61861	11941	165.4	 2.1	 0.89	  0.01	13.41
    11	1	000.839580	+22.10250	 4445	 62.8	 2.4	 0.72	  0.01	14.80
    12	1	000.835000	+29.79722	 6980	 95.0	 2.4	 0.59	  0.01	14.26
    13	1	000.871670	+27.35139	 7749	105.9	 2.2	 0.78	  0.01	13.52
    14	1	000.896250	+23.20028	 7247	 98.6	 2.2	 0.68	  0.01	13.17
    15	1	000.936250	+04.29806	11566	160.1	 2.1	 0.36	  0.01	14.23
    16	1	000.953750	+07.47861	 5243	 74.1	 2.4	 1.00	  0.01	11.85
    17	1	000.930000	+15.21805	  876	 20.3	 4.3	 0.65	  0.01	15.11
    19	1	000.995830	+20.75194	 2308	 33.2	 4.2	 0.30	  0.01	12.16
    21	1	001.037080	+07.37889	 6198	 87.7	 2.3	 0.89	  0.01	13.51
    22	1	001.020830	+10.29417	 7749	105.6	 2.2	 0.62	  0.01	14.06
    23	1	001.054170	+10.79028	 7974	108.8	 2.2	 0.47	  0.01	13.37
    24	1	001.061250	+22.58778	 4446	 48.1	 9.1	 0.60	  0.01	14.26
    25	1	001.104580	+06.17778	 5072	 78.7	15.2	 0.22	  0.01	14.55
    26	1	001.102080	+31.47194	 4955	 42.1	 8.3	 0.61	  0.01	12.95
    27	1	001.121250	+05.84556	 3113	 44.5	 9.2	 0.48	  0.01	13.84
    30	1	001.136250	+33.55917	 4766	 68.7	 4.2	 0.26	  0.01	14.76
    31	1	001.217500	+17.19222	 1034	 12.7	 4.3	 0.73	  0.01	13.75
    34	1	001.275830	+06.92000	 6139	105.7	21.8	 0.73	  0.01	12.29
    35	1	001.288330	+06.25944	 3100	 43.4	 4.3	 0.90	  0.04	15.62
    36	1	001.307500	+06.77194	 6288	 94.6	20.3	 0.64	  0.01	12.87
    37	1	001.362500	+05.17639	 5627	 79.5	 2.2	 0.77	  0.01	14.08
    38	1	001.365420	+05.22222	 5294	 74.7	 2.2	 0.59	  0.01	12.57
    40	1	001.451670	+27.44889	 7522	102.6	 2.2	 0.70	  0.01	13.34
    41	1	001.483330	+22.49195	 6594	 89.3	 2.3	 0.26	  0.01	14.82
    42	1	001.526670	+13.12472	 5483	 77.5	 2.2	 0.81	  0.04	15.82
