# Bar rotation rate R = R_corotation / R_bar from the CALIFA Tremaine-Weinberg series.
# Transcribed (2026-09-03) from the arXiv LaTeX sources of the published tables.  Every number appears in print.
#   paper 1 = Aguerri et al. 2015, A&A 576, A102 (arXiv:1501.05498), Table 4: 15 strongly barred CALIFA galaxies,
#             four values of R per galaxy from four TW variants (light/mass-weighted photometric integral x
#             velocity-map/pseudo-slit kinematic integral).  Errors are the printed asymmetric +/- values.
#   paper 2 = Cuomo et al. 2019, A&A 632, A51 (arXiv:1909.01023), "Bar pattern speeds in CALIFA galaxies II.
#             The case of weakly barred galaxies", Table 3:
#             16 weakly barred (SAB) CALIFA galaxies successfully analysed with TW, one R each.
# Column R_variant: which of the four (paper 1) TW estimators; "single" for paper 2.
paper	galaxy	bartype	R_variant	R	eR_lo	eR_hi
1	NGC0036	SB	1	0.9	0.2	0.3
1	NGC0036	SB	2	0.6	0.2	0.3
1	NGC0036	SB	3	0.6	0.1	0.2
1	NGC0036	SB	4	0.6	0.1	0.2
1	NGC1645	SB	1	1.3	0.5	1.7
1	NGC1645	SB	2	0.8	0.2	0.4
1	NGC1645	SB	3	1.1	0.4	1.1
1	NGC1645	SB	4	0.8	0.3	0.7
1	NGC3300	SB	1	1.5	0.4	0.6
1	NGC3300	SB	2	1.6	0.4	0.5
1	NGC5205	SB	1	0.6	0.1	0.2
1	NGC5205	SB	2	0.7	0.1	0.2
1	NGC5205	SB	3	0.9	0.2	0.3
1	NGC5205	SB	4	0.7	0.1	0.1
1	NGC5378	SB	1	0.6	0.2	0.5
1	NGC5378	SB	2	0.6	0.2	0.4
1	NGC5378	SB	3	0.6	0.3	0.5
1	NGC5378	SB	4	0.7	0.3	0.4
1	NGC5406	SB	1	0.7	0.2	0.6
1	NGC5406	SB	2	0.5	0.1	0.2
1	NGC5406	SB	3	1.4	0.6	1.5
1	NGC5406	SB	4	1.3	0.4	0.7
1	NGC5947	SB	1	1.0	0.4	0.8
1	NGC5947	SB	2	0.5	0.2	0.2
1	NGC5947	SB	3	0.9	0.4	0.5
1	NGC5947	SB	4	1.0	0.4	0.6
1	NGC6497	SB	1	0.4	0.1	0.1
1	NGC6497	SB	2	0.3	0.1	0.1
1	NGC6497	SB	3	0.6	0.1	0.2
1	NGC6497	SB	4	0.5	0.1	0.1
1	NGC6941	SB	1	0.9	0.3	0.9
1	NGC6941	SB	2	0.6	0.2	0.5
1	NGC6941	SB	3	1.1	0.4	1.3
1	NGC6941	SB	4	0.6	0.1	0.2
1	NGC6945	SB	1	1.2	0.3	0.6
1	NGC6945	SB	2	0.8	0.1	0.2
1	NGC6945	SB	3	1.3	0.3	0.4
1	NGC6945	SB	4	0.9	0.1	0.2
1	NGC7321	SB	1	1.3	0.3	0.5
1	NGC7321	SB	2	1.0	0.3	0.4
1	NGC7321	SB	3	1.1	0.3	0.4
1	NGC7321	SB	4	1.2	0.4	0.5
1	NGC7563	SB	1	1.2	0.3	0.7
1	NGC7563	SB	2	1.9	0.7	1.7
1	NGC7563	SB	3	1.1	0.3	0.6
1	NGC7563	SB	4	2.3	0.8	1.8
1	NGC7591	SB	1	1.4	0.5	1.0
1	NGC7591	SB	2	1.0	0.3	0.5
1	NGC7591	SB	3	1.3	0.4	0.6
1	NGC7591	SB	4	1.7	0.6	1.3
1	UGC03253	SB	1	1.1	0.3	0.4
1	UGC03253	SB	2	0.7	0.2	0.2
1	UGC03253	SB	3	0.9	0.2	0.2
1	UGC03253	SB	4	0.9	0.2	0.2
1	UGC12185	SB	1	0.9	0.3	0.4
1	UGC12185	SB	2	1.2	0.5	0.6
1	UGC12185	SB	3	0.9	0.4	0.4
1	UGC12185	SB	4	1.0	0.4	0.5
2	IC1528	SAB	single	0.76	0.22	0.14
2	IC1683	SAB	single	0.71	0.21	0.21
2	IC5309	SAB	single	0.63	0.45	0.36
2	MCG-02-02-030	SAB	single	1.32	0.53	0.36
2	NGC0192	SAB	single	1.08	0.13	0.10
2	NGC0364	SAB	single	0.83	0.26	0.22
2	NGC0551	SAB	single	1.17	0.71	0.39
2	NGC2449	SAB	single	1.27	0.14	0.11
2	NGC2553	SAB	single	0.515	0.110	0.077
2	NGC2880	SAB	single	0.74	0.19	0.15
2	NGC3994	SAB	single	1.06	0.31	0.22
2	NGC5971	SAB	single	0.56	0.32	0.15
2	NGC6278	SAB	single	1.07	0.25	0.26
2	NGC6427	SAB	single	2.8	1.8	1.0
2	UGC3944	SAB	single	1.28	5.7	3.8
2	UGC8231	SAB	single	1.01	2.0	1.6
